Node;Betweeness Centrality
CPT-GREYSS1-TSN500-CPUTSPR;0.0
CPT-GREYSS1-TSN495-UCTVH;0.0
JNB-GREY2-TSN99-CSMI;0.0
SLB-TSN750-DOA-ELSEN;0.0
PTA-GREYS2-TSN509-UP-MAMC;0.0
BFN-GREY1-TSN246-UFSPSY;0.0
ISD1-PE1-ISD1-PR1;0.0
CPT-TSN793-NSFAS-CBD;0.0
CPT3-PE1-CPT3-PR1;0.0
CPT3-PE1-CPT3-PR2;0.0
NC-SAAO-TSN91-SUTH;0.0
SMT-TSN590-IMT;0.0
CPT-TSN943-DHA-WYNBERG;0.0
PZB-GREY1-TSN10-DUTRC;0.0
ELS-GREY1-TSN393-WSU-CAM;0.0
PTA-GREYN1-TSN354-TUT-MONITOR;0.0
PTA-CSIR-SCALAB;0.0
DBN-GREY1-TSN13-CAO;0.0
ZEE1-OR1;0.0
RCB-TSN20-AHRI-SOM-1;0.0
VDP-GREY1-TSN90-VUTMC;0.0
CPT-GREYSLB1-TSN292-ARCINFR;0.0
PTD-TSN216-WSU-PTD-PE;0.0
LCD-TSN186-UNISAM;0.0
MFK-TSN32-NWUM;0.0
ZEH-TSN938-DHA-POTCH;0.0
PTA-GREYS3-TSN8-CHE;0.0
PTA-GREYS2-TSN299-ARCIAE;0.0
PTA-CSIR-TWR;0.0
CPT-GREYCBD1-TSN650-NLSA-CFB;0.0
CPT-GREYSS2-TSN800-UWC-CASAS;0.0
CPT8-PE1;0.0
CPT-GREYSS1-TSN804-SKAO-BRP;0.0
PTA-TSN15-HARTRAO;0.0
PTA-GREYS1-TSN301-DST;0.0
PTA-GREYS1-TSN30-NRF;0.0
PTA3-PE1;0.0
PTA4-PE1;0.0
PTA-GREYN2-TSN282-INNHUB;0.0
MTZ1-IR1-MTZ1-RR1;0.0
ISD1-PE1-ISD1-RR1;0.0
LDN1-IR1-LDN1-PR1;0.0
DUR-TSN19-MUT;0.0
BFN-GREY1-TSN173-UNISAB;0.0
PZB-TSN534-HSRC-SW;0.0
PZB-TSN670-ARC-CACWL;0.0
PZB-TSN267-SAEON-GWFN;0.0
PTA-TSN397-ARCPPRI;0.0
PTA-GREYS3-TSN259-SAWS;0.0
CPT-GREYSLB1-TSN103-CSIR;0.0
JNB-NHLS-TSN677-SAND;0.0
JNB-GREY2-TSN171-UJSO;0.0
UTT-TSN362-WSU-MHRC;0.0
UTT-TSN189-UNISA-MTH;0.0
AMS1-IR1-AMS1-PR1;0.0
POL-GREY1-TSN309-UNISA-PHUB;0.0
POL-GREY1-TSN313-UL-POLH;0.0
JNB-GREY-TSN285-WITS-RMH;0.0
JNB-GREY-TSN284-WITS-HJH;0.0
ISD1-PE2-ISD1-PR3;0.0
CPT1-IR1-CPT1-PR1;0.0
CPT1-IR1-CPT1-RR1;0.0
CPT1-LG1;0.0
DUR3-PE1-DUR3-PR1;0.0
NLP-TSN537-ARC-ITSC;0.0
DBN-TSN935-DHA-UMGENI;0.0
UTT-TSN363-WSU-ZAM;0.0
PTA-TSN940-DHA-SOSH;0.0
THY-TSN87-UNIVEN-SSB;0.0
PTA-GREYN1-TSN399-TUT-ZAR;0.0
