Node;Core Number
CPT-GREYSS1-TSN500-CPUTSPR;1
CPT-GREYSS1-TSN495-UCTVH;1
TERACO-TSN462-RDB;1
SLB-TSN750-DOA-ELSEN;1
PTA-GREYS2-TSN509-UP-MAMC;1
BFN-GREY1-TSN246-UFSPSY;1
ISD1-PE1-ISD1-PR1;1
CPT3-PE1-CPT3-PR1;1
CPT3-PE1-CPT3-PR2;1
NC-SAAO-TSN91-SUTH;1
SMT-TSN590-IMT;1
CPT-TSN943-DHA-WYNBERG;1
PTA-GREYN1-TSN354-TUT-MONITOR;1
PTA-CSIR-SCALAB;1
RCB-TSN596-WRLHS-ALTSO;1
RCB-TSN20-AHRI-SOM-1;1
VDP-GREY1-TSN90-VUTMC;1
CPT-GREYSLB1-TSN292-ARCINFR;1
LCD-TSN186-UNISAM;1
THY-TSN87-UNIVEN-MC-PE;1
MFK-TSN32-NWUM;1
ZEH-TSN938-DHA-POTCH;1
PTA-CSIR-TWR;1
PTA-TSN15-HARTRAO;1
MTZ1-IR1-MTZ1-RR1;1
ISD1-PE1-ISD1-RR1;1
LDN1-IR1-LDN1-PR1;1
BFN-GREY1-TSN173-UNISAB;1
PZB-TSN534-HSRC-SW;1
PZB-TSN670-ARC-CACWL;1
PZB-TSN267-SAEON-GWFN;1
PTA-TSN397-ARCPPRI;1
CPT-GREYSLB1-TSN103-CSIR;1
UTT-TSN362-WSU-MHRC;1
UTT-TSN189-UNISA-MTH;1
AMS1-IR1-AMS1-PR1;1
ISD1-PE2-ISD1-PR3;1
CPT1-IR1-CPT1-PR1;1
CPT1-IR1-CPT1-RR1;1
CPT1-LG1;1
DUR3-PE1-DUR3-PR1;1
NLP-TSN537-ARC-ITSC;1
DBN-TSN935-DHA-UMGENI;1
UTT-TSN363-WSU-ZAM;1
PTA-TSN940-DHA-SOSH;1
THY-TSN87-UNIVEN-SSB;1
CPT9-PE2;1
DBN-GREY1-TSN498-CAPRISA-ECRS;2
DBN-GREY1-TSN497-CAPRISA-DDMRI;2
DBN-GREY1-TSN151-DUTC;2
DBN-GREY1-TSN176-UNISAM;2
DBN-GREY1-TSN232-NMMS;2
CPT-GREYSS1-TSN145-CPUTM;2
CPT4-PE1;2
TENET-TSN118-AIMS;2
CPT-GREYSS1-TSN39-SAAO;2
JNB-GREY2-TSN99-CSMI;2
JNB-GREY2-TSN42-UJBU;2
JNB3-PE1;2
JNB-GREY2-TSN42-UJBU-2;2
JNB-GREY2-TSN295-CSIR-CTF;2
JNB-GREY1-TSN110-WITSE;2
JNB-GREY1-TSN112-WITSM;2
JNB-TSN44-UJ-DF-PE;2
HMS-TSN28-SANSA;2
GRJ-TSN459-NMU-GC;2
CPT2-PE1;2
VDP-GREY2-TSN484-DFA-VDBP;2
VDP-GREY2-TSN139-NWUFAR;2
VDP1-PE1;2
