Node;Core Strength
DBN-GREY1-TSN497-CAPRISA-DDMRI;1
DBN-GREY1-TSN232-NMMS;1
CPT-GREYSS1-TSN500-CPUTSPR;1
CPT-GREYSS1-TSN145-CPUTM;1
CPT4-PE1;1
TENET-TSN118-AIMS;1
CPT-GREYSS1-TSN495-UCTVH;1
JNB-GREY2-TSN99-CSMI;1
JNB-GREY2-TSN295-CSIR-CTF;1
JNB-GREY1-TSN110-WITSE;1
JNB-GREY1-TSN112-WITSM;1
HMS-TSN28-SANSA;1
VDP-GREY2-TSN484-DFA-VDBP;1
VDP-GREY2-TSN139-NWUFAR;1
TENET-TSN470-DFA-WYN;1
SLB-TSN750-DOA-ELSEN;1
BTH-TSN504-ARC-SGI;1
PTA-GREYS2-TSN499-DFASAMCOR;1
PTA-GREYS2-TSN257-SANBI;1
PTA-GREYS2-TSN509-UP-MAMC;1
BFN2-PE1;1
BFN-GREY1-TSN246-UFSPSY;1
BFN-GREY1-TSN244-UFSNATH;1
PTA-GREYS2-TSN40-USAF;1
UTW-TSN468-WSUQ;1
WTS-TSN467-WSUW;1
ISD1-PE1-ISD1-PR1;1
CPT-TSN793-NSFAS-CBD;1
CPT3-PE1-CPT3-PR1;1
CPT3-PE1-CPT3-PR2;1
NC-SAAO-TSN91-SUTH;1
SMT-TSN590-IMT;1
CPT-GREYSLB1-TSN235-ILABS-FAURE-PE1;1
CPT-GREYSS2-TSN170-UCTSSI;1
CPT-GREYSS2-TSN270-UCTGSR;1
CPT-TSN943-DHA-WYNBERG;1
PZB-GREY1-TSN383-DUTI;1
PZB-GREY1-TSN384-SANBIP;1
PZB-GREY1-TSN10-DUTRC;1
BFN-GREY1-TSN242-UFSSC;1
BFN-GREY1-TSN245-UFSPELH;1
ELS-GREY1-TSN108-WSU-CHS;1
ELS3-PE1;1
ELS-GREY1-TSN177-UNISAE;1
ELS-GREY1-TSN393-WSU-CAM;1
ELS1-PE1;1
PTA-GREYN2-TSN395-TUT-ZET;1
PTA-GREYN2-TSN141-UPGC;1
PTA-GREYN1-TSN354-TUT-MONITOR;1
PTA-GREYN1-TSN391-TUT-KOSMOS;1
PTA-GREYN1-TSN203-UNISA-SN;1
PTA-GREYN1-TSN353-TUT-TEMPO;1
PTA-GREYN1-TSN315-BREYTEN;1
PTA-GREYN1-TSN161-TUT-SOSN;1
PTA-GREYN1-TSN162-TUT-SOSS;1
PTA-GREYN1-TSN49-TUT-ERC-GAR;1
PTA-CSIR-SCALAB;1
PTA1-PE1;1
KRO-TSN182-UNISAKRO;1
VDP-GREY2-TSN598-VUT-EMF;1
CPT-GREYBEL1-TSN493-CGSB;1
CPT-GREYBEL1-TSN585-UWC-FCHS;1
CPT-GREYBEL1-TSN34-CPUTB;1
DBN-GREY1-TSN375-SANBI;1
DBN-GREY1-TSN11-DUTS;1
DBN-GREY1-TSN150-DUTB;1
DBN-GREY1-TSN132-MRC;1
DBN-GREY1-TSN662-CAPRISA-KDH;1
DBN-GREY1-TSN13-CAO;1
DBN-GREY1-TSN97-CSIR;1
