Node;Core Number;Core Strength;Core Influence
DBN-GREY1-TSN498-CAPRISA-ECRS;2;2;0.0636857992608202
DBN-GREY1-TSN497-CAPRISA-DDMRI;2;1;0.04245719950721362
DBN-GREY1-TSN151-DUTC;2;2;0.0636857992608202
DBN-GREY1-TSN176-UNISAM;2;2;0.06368579926082013
DBN-GREY1-TSN232-NMMS;2;1;0.04245719950721367
CPT-GREYSS1-TSN500-CPUTSPR;1;1;0.021228599753607323
CPT-GREYSS1-TSN145-CPUTM;2;1;0.04245719950721493
CPT4-PE1;2;1;0.042457199507213536
CPT1-IR1;3;4;0.12737159852164034
TENET-TSN118-AIMS;2;1;0.04245719950721365
CPT-GREYSS1-TSN495-UCTVH;1;1;0.021228599753606997
CPT-GREYSS1-TSN39-SAAO;2;2;0.06368579926082123
JNB-GREY2-TSN99-CSMI;2;1;0.04245719950721384
JNB-GREY2-TSN42-UJBU;2;3;0.08491439901442814
JNB3-PE1;2;5;0.12737159852164093
JNB-GREY2-TSN42-UJBU-2;2;2;0.06368579926082125
JNB-GREY2-TSN295-CSIR-CTF;2;1;0.0424571995072145
JNB-GREY1-TSN110-WITSE;2;1;0.04245719950721462
JNB-GREY1-TSN112-WITSM;2;1;0.0424571995072146
JNB-TSN44-UJ-DF-PE;2;2;0.06368579926082156
HMS-TSN28-SANSA;2;1;0.04245719950721363
GRJ-TSN459-NMU-GC;2;2;0.0636857992608203
CPT2-PE1;2;10;0.23351459728967564
VDP-GREY2-TSN484-DFA-VDBP;2;1;0.04245719950721325
VDP-GREY2-TSN139-NWUFAR;2;1;0.04245719950721315
VDP1-PE1;2;4;0.10614299876803349
CPT-GREYSS1-TSN463-DFA-PLN;2;2;0.06368579926082049
CPT3-PE1;3;4;0.1273715985216406
CPT1-LAB1;2;2;0.06368579926081977
TENET-TSN470-DFA-WYN;2;1;0.0424571995072137
TERACO-TSN462-RDB;1;2;0.042457199507213536
SLB-TSN750-DOA-ELSEN;1;1;0.02122859975360679
PHU-TSN247-UFSQ;2;2;0.06368579926082063
BTH-TSN504-ARC-SGI;2;1;0.04245719950721388
DUR3-PE1;3;4;0.12737159852164032
WEL1-PE1;2;2;0.06368579926082073
PTA-GREYS2-TSN499-DFASAMCOR;2;1;0.04245719950722374
