Node;Betweeness Centrality
CPT3-PE1;0.3061759925877166
PTA1-PE1;0.3010087640025796
MTZ1-IR1;0.2993660448145758
CPT1-IR1;0.27110057485132266
DUR3-PE1;0.2589982911425765
ISD1-PE1;0.22989919596593514
PTA2-PE1;0.18964046831393033
JNB2-PE1;0.17552669811701307
CPT2-PE1;0.07640241602749219
PTA-GREYS2-TSN257-SANBI;0.0662260587212646
DUR1-PE1;0.06572827115296367
CPT6-PE1;0.062170568616379686
BFN1-PE1;0.06119887472933664
PTA-GREYS2-TSN499-DFASAMCOR;0.060424248556493296
PTA-GREYN1-TSN298-ARCOVI;0.056606841652523374
PZB1-PE1;0.05646235699612353
PTA-GREYN1-TSN75-UPO;0.05027642211718392
ELS1-PE1;0.05010545611236531
PTA-GREYS2-TSN409-TUT-SKINNER-PE;0.04944228511018547
PTA-GREYN1-TSN538-TUT-ADT;0.04879956761677194
PTA-GREYS2-TSN260-CGS;0.0475055512562689
PTA-GREYN1-TSN162-TUT-SOSS;0.044551969421276066
PTA-GREYN1-TSN204-UNISA-SRB;0.04210814656006891
CPT9-PE1;0.04167146319037721
JNB3-PE1;0.03896107552601704
CPT-GREYSS1-TSN272-UCTDOR;0.03848271891560207
PTA-GREYS2-TSN355-TUT-LEGAE;0.036265729580415684
ISD1-PE2;0.03608943129907004
