Node;Core Strength
CPT2-PE1;10
ISD1-PE1;6
DUR1-PE1;6
DUR2-PE1;6
JNB1-PE1;6
JNB3-PE1;5
PZB1-PE1;5
ZEH1-PE1;5
MTZ1-IR1;5
CPT1-IR1;4
VDP1-PE1;4
CPT3-PE1;4
DUR3-PE1;4
BFN3-PE1;4
ELS2-PE1;4
PTA-GREYN1-TSN74-UP-MED-PE;4
BIY-TSN65-UFH-BHISHO-PE;4
CPT-GREYBEL1-TSN22-MRCCPT-PE;4
CPT6-PE1;4
POL1-PE1;4
JNB-GREY2-TSN42-UJBU;3
JNB2-PE1;3
UTT-TSN86-WSU-NMD-PE;3
PLZ1-PE1;3
CAR-TSN237-SKA-CAR-PE;3
CPT9-PE1;3
CPT-GREYSS2-TSN236-SARAO-PE;3
PTA-TSN455-SITA-CENT-PE;3
THY-TSN87-UNIVEN-MC-PE;3
CPT-GREYSS1-TSN169-UCTRHR;3
CPT5-PE1;3
POL-GREY1-TSN56-TUT-POLC;3
CPT-GREYBEL1-TSN207-USBS-PE;3
DBN-GREY1-TSN498-CAPRISA-ECRS;2
DBN-GREY1-TSN151-DUTC;2
DBN-GREY1-TSN176-UNISAM;2
CPT-GREYSS1-TSN39-SAAO;2
JNB-GREY2-TSN42-UJBU-2;2
JNB-TSN44-UJ-DF-PE;2
GRJ-TSN459-NMU-GC;2
CPT-GREYSS1-TSN463-DFA-PLN;2
CPT1-LAB1;2
TERACO-TSN462-RDB;2
PHU-TSN247-UFSQ;2
WEL1-PE1;2
PTA-GREYS2-TSN260-CGS;2
BFN1-PE1;2
PTA-GREYS2-TSN973-UNIVEN-COL;2
PTA-GREYS2-TSN261-ARC-HO-PE;2
CPT7-PE1;2
PLZ2-PE1;2
LDN1-IR1;2
ISD1-PE2;2
CPT3-PE2;2
PZB-GREY1-TSN193-UNISAP;2
PZB-GREY1-TSN385-CGSP;2
PTA-GREYN2-TSN254-UP-HILL-PE;2
PTA-GREYN1-TSN389-SMU-MC-PE;2
DBN-GREY1-TSN222-TIA-PWC;2
DBN-GREY1-TSN366-UKZNE-PE;2
RCB-TSN596-WRLHS-ALTSO;2
PTA-GREYS3-TSN403-ASSAF;2
GRH1-PE1;2
CPT-GREYSS1-TSN272-UCTDOR;2
CPT-GREYBEL1-TSN147-CPUTT;2
CPT-GREYCBD1-TSN24-NLSA;2
CPT-GREYCBD1-TSN18-IZMU;2
CPT-GREYCBD2-TSN164-UCTBS;2
CPT-GREYCBD1-TSN4-CPUTCPT;2
CPT-GREYCBD1-TSN163-UCT-HID;2
