Node;Core Number;Core Strength;Core Influence
DBN-GREY1-TSN498-CAPRISA-ECRS;1;3;0.4677036594985074
DBN-GREY1-TSN497-CAPRISA-DDMRI;1;2;0.31180243966567184
DBN-GREY1-TSN151-DUTC;1;1;0.1559012198328357
DBN-GREY1-TSN176-UNISAM;1;1;0.1559012198328357
DBN-GREY1-TSN232-NMMS;1;1;0.15590121983283584
CPT-GREYSS1-TSN500-CPUTSPR;1;1;0.02579768984852376
CPT-GREYSS1-TSN145-CPUTM;1;1;0.02579768984852397
CPT4-PE1;2;1;0.0073344900115506016
CPT1-IR1;2;1;0.007334490011550363
TENET-TSN118-AIMS;2;1;0.0073344900115506016
CPT-GREYSS1-TSN495-UCTVH;1;1;0.0036672450057731133
CPT-GREYSS1-TSN39-SAAO;1;2;0.007334490011546605
JNB-GREY2-TSN99-CSMI;2;1;0.1162141179707113
JNB-GREY2-TSN42-UJBU;2;1;0.11621411797071123
JNB3-PE1;2;1;0.11621411797071131
JNB-GREY2-TSN42-UJBU-2;1;1;0.05810705898535561
JNB-GREY2-TSN295-CSIR-CTF;1;2;0.11621411797071009
JNB-GREY1-TSN110-WITSE;1;2;0.11621411797070884
JNB-GREY1-TSN112-WITSM;1;2;0.11621411797070812
JNB-TSN44-UJ-DF-PE;1;1;0.05810705898535385
HMS-TSN28-SANSA;2;1;0.0073344900115498105
GRJ-TSN459-NMU-GC;2;2;0.011001735017324881
CPT2-PE1;2;1;0.007334490011549789
VDP-GREY2-TSN484-DFA-VDBP;2;1;0.012125224950493318
VDP-GREY2-TSN139-NWUFAR;2;1;0.012125224950493245
VDP1-PE1;2;1;0.01212522495049329
CPT-GREYSS1-TSN463-DFA-PLN;1;3;0.011001735017321606
CPT3-PE1;2;5;0.022003470034649242
CPT1-LAB1;1;1;0.003667245005773751
TENET-TSN470-DFA-WYN;2;1;0.007334490011550276
TERACO-TSN462-RDB;1;2;0.007334490011547904
SLB-TSN750-DOA-ELSEN;1;1;0.003667245005773605
PHU-TSN247-UFSQ;2;2;0.011001735017320094
