Node;Core Number;Core Strength;Core Influence
DBN-GREY1-TSN498-CAPRISA-ECRS;2;2;0.015961372499195867
DBN-GREY1-TSN497-CAPRISA-DDMRI;2;1;0.01064091499946372
DBN-GREY1-TSN151-DUTC;2;2;0.015961372499195804
DBN-GREY1-TSN176-UNISAM;2;1;0.010640914999464004
DBN-GREY1-TSN232-NMMS;2;1;0.01064091499946348
CPT-GREYSS1-TSN500-CPUTSPR;1;1;0.0053204574997325746
CPT-GREYSS1-TSN145-CPUTM;1;3;0.01596137249919741
CPT4-PE1;2;1;0.010640914999463498
CPT1-IR1;2;7;0.042563659997854664
TENET-TSN118-AIMS;2;1;0.010640914999463427
CPT-GREYSS1-TSN495-UCTVH;1;1;0.0053204574997314635
CPT-GREYSS1-TSN39-SAAO;2;1;0.010640914999462986
JNB-GREY2-TSN99-CSMI;2;1;0.13284966093299144
JNB-GREY2-TSN42-UJBU;2;1;0.1328496609329913
JNB3-PE1;2;1;0.13284966093299141
JNB-GREY2-TSN42-UJBU-2;1;1;0.0664248304664957
JNB-GREY2-TSN295-CSIR-CTF;1;2;0.1328496609329931
JNB-GREY1-TSN110-WITSE;1;2;0.1328496609329941
JNB-GREY1-TSN112-WITSM;1;2;0.13284966093299494
JNB-TSN44-UJ-DF-PE;1;1;0.06642483046649753
HMS-TSN28-SANSA;2;1;0.010640914999463076
GRJ-TSN459-NMU-GC;2;2;0.015961372499194645
CPT2-PE1;2;5;0.03192274499838932
VDP-GREY2-TSN484-DFA-VDBP;2;1;0.010640914999462363
VDP-GREY2-TSN139-NWUFAR;2;1;0.010640914999462405
VDP1-PE1;2;4;0.026602287498656188
CPT-GREYSS1-TSN463-DFA-PLN;2;1;0.01064091499946304
CPT3-PE1;2;15;0.08512731999570484
CPT1-LAB1;1;1;0.005320457499731513
TENET-TSN470-DFA-WYN;2;1;0.010640914999463227
TERACO-TSN462-RDB;1;2;0.010640914999463343
SLB-TSN750-DOA-ELSEN;1;1;0.005320457499731681
PHU-TSN247-UFSQ;2;2;0.015961372499195232
BTH-TSN504-ARC-SGI;2;1;0.010640914999463636
DUR3-PE1;2;5;0.031922744998389714
WEL1-PE1;2;1;0.010640914999463636
PTA-GREYS2-TSN499-DFASAMCOR;2;1;0.010640914999463437
PTA-GREYS2-TSN257-SANBI;2;1;0.010640914999464825
PTA-GREYS2-TSN260-CGS;2;2;0.01596137249919309
PTA-GREYS2-TSN509-UP-MAMC;1;1;0.005320457499731906
BFN2-PE1;2;2;0.015961372499194507
BFN3-PE1;2;3;0.021281829998926173
BFN1-PE1;2;3;0.021281829998925892
BFN-GREY1-TSN246-UFSPSY;1;1;0.005320457499731676
BFN-GREY1-TSN244-UFSNATH;1;1;0.005320457499731722
JNB2-PE1;2;3;0.02128182999892592
PTA-GREYS2-TSN40-USAF;1;2;0.0106409149994611
PTA-GREYS2-TSN973-UNIVEN-COL;2;1;0.010640914999461683
PTA-GREYS2-TSN261-ARC-HO-PE;1;1;0.00532045749973046
UTW-TSN468-WSUQ;1;2;0.36991343590987363
UTT-TSN86-WSU-NMD-PE;1;1;0.18495671795493684
WTS-TSN467-WSUW;1;1;0.18495671795493676
PLZ1-PE1;2;3;0.021281829998926118
