Node;Betweeness Centrality
CPT3-PE1;0.34427929165983645
MTZ1-IR1;0.3233218088226647
PTA1-PE1;0.21690579614760214
CPT1-IR1;0.2123203363166506
DUR3-PE1;0.17971453757948438
JNB2-PE1;0.09096405108646782
DUR2-PE1;0.09066214524948236
CPT6-PE1;0.07050861764564542
CPT2-PE1;0.07027968496969424
DUR1-PE1;0.0600675705322276
PTA-GREYS2-TSN257-SANBI;0.05252073186784257
BFN3-PE1;0.05066092454535267
BFN1-PE1;0.048188413023216255
ISD1-PE1;0.04806127428215099
ELS1-PE1;0.046872790916492324
PTA-GREYS2-TSN499-DFASAMCOR;0.0455004168312053
ZEH1-PE1;0.044228516572863016
CPT-GREYSS1-TSN272-UCTDOR;0.04255572770776146
CPT-GREYCBD1-TSN24-NLSA;0.03850204027905757
PZB1-PE1;0.03811446038640984
PTA-GREYN1-TSN298-ARCOVI;0.03795357816682024
