Node;Core Number;Core Strength;Core Influence
DBN-GREY1-TSN498-CAPRISA-ECRS;2;2;0.06092076990801588
DBN-GREY1-TSN497-CAPRISA-DDMRI;2;1;0.04061384660534404
DBN-GREY1-TSN151-DUTC;2;2;0.060920769908016016
DBN-GREY1-TSN176-UNISAM;2;2;0.060920769908016016
DBN-GREY1-TSN232-NMMS;2;1;0.04061384660534422
CPT-GREYSS1-TSN500-CPUTSPR;1;1;0.020306923302671757
CPT-GREYSS1-TSN145-CPUTM;2;1;0.0406138466053436
CPT4-PE1;2;1;0.040613846605344624
CPT1-IR1;3;4;0.12184153981603364
TENET-TSN118-AIMS;2;1;0.04061384660534458
CPT-GREYSS1-TSN495-UCTVH;1;1;0.020306923302671774
CPT-GREYSS1-TSN39-SAAO;2;2;0.06092076990801541
JNB-GREY2-TSN99-CSMI;2;1;0.0406138466053443
JNB-GREY2-TSN42-UJBU;2;3;0.08122769321068841
JNB3-PE1;2;5;0.12184153981603292
JNB-GREY2-TSN42-UJBU-2;2;2;0.06092076990801659
JNB-GREY2-TSN295-CSIR-CTF;2;1;0.04061384660534414
JNB-GREY1-TSN110-WITSE;2;1;0.040613846605344124
JNB-GREY1-TSN112-WITSM;2;1;0.040613846605344256
JNB-TSN44-UJ-DF-PE;2;2;0.06092076990801658
HMS-TSN28-SANSA;2;1;0.0406138466053444
GRJ-TSN459-NMU-GC;2;2;0.060920769908016564
CPT2-PE1;2;10;0.22337615632939423
VDP-GREY2-TSN484-DFA-VDBP;2;1;0.040613846605344256
VDP-GREY2-TSN139-NWUFAR;2;1;0.0406138466053441
VDP1-PE1;2;4;0.10153461651336085
CPT-GREYSS1-TSN463-DFA-PLN;2;2;0.060920769908015766
CPT3-PE1;3;4;0.12184153981603367
CPT1-LAB1;2;2;0.060920769908015364
TENET-TSN470-DFA-WYN;2;1;0.040613846605344624
TERACO-TSN462-RDB;1;2;0.04061384660534466
SLB-TSN750-DOA-ELSEN;1;1;0.020306923302672378
PHU-TSN247-UFSQ;2;2;0.060920769908016884
BTH-TSN504-ARC-SGI;2;1;0.040613846605344554
DUR3-PE1;3;4;0.12184153981603361
WEL1-PE1;2;2;0.060920769908016925
PTA-GREYS2-TSN499-DFASAMCOR;2;1;0.04061384660534547
PTA-GREYS2-TSN257-SANBI;2;1;0.040613846605345845
PTA-GREYS2-TSN260-CGS;2;2;0.06092076990801754
PTA-GREYS2-TSN509-UP-MAMC;1;1;0.020306923302672763
BFN2-PE1;3;1;0.060920769908016814
BFN3-PE1;3;4;0.12184153981603364
BFN1-PE1;3;2;0.08122769321068914
BFN-GREY1-TSN246-UFSPSY;1;1;0.020306923302672312
BFN-GREY1-TSN244-UFSNATH;2;1;0.04061384660534477
JNB2-PE1;3;2;0.08122769321068928
PTA-GREYS2-TSN40-USAF;2;1;0.04061384660534393
PTA-GREYS2-TSN973-UNIVEN-COL;2;2;0.060920769908016925
PTA-GREYS2-TSN261-ARC-HO-PE;2;2;0.060920769908014864
UTW-TSN468-WSUQ;2;1;0.040613846605344506
UTT-TSN86-WSU-NMD-PE;2;3;0.08122769321068887
WTS-TSN467-WSUW;2;1;0.04061384660534457
PLZ1-PE1;2;3;0.0812276932106888
ISD1-PE1-ISD1-PR1;1;1;0.020306923302672267
ISD1-PE1;3;4;0.12184153981603359
CPT7-PE1;2;2;0.060920769908016655
