Node;Core Number;Core Strength;Core Influence
PTA2;2;9;0.2109591970537034
ISANDO;2;3;0.08438367882147947
PTA-TSN377-ARC-IRENE-PE;2;1;0.04219183941074089
JNB-TSN199-UNISA-SBL-PE;2;1;0.0421918394107407
PTA1;2;10;0.23205511675907425
MTZ;2;5;0.12657551823222002
NLP-TSN344-UMP-DC2-PE;1;1;0.021095919705370492
PTA-GREYN1-TSN161-TUT-SOSN;2;1;0.04219183941073925
PTA-GREYN1-TSN162-TUT-SOSS;2;1;0.04219183941074006
PTA-GREYN1-TSN49-TUT-ERC-GAR;2;1;0.042191839410738355
PTA-GREYN1-TSN75-UPO;2;1;0.04219183941074034
PTA-TSN940-DHA-SOSH;1;1;0.021095919705369715
PTA-GREYN1-TSN184-UNISA-LTC;2;1;0.042191839410735676
PTA-GREYN1-TSN200-UNISA-SSE;2;1;0.04219183941073594
PTA-GREYN1-TSN201-UNISA-SSW;2;1;0.04219183941073597
PTA-GREYN1-TSN315-BREYTEN;2;1;0.042191839410736204
PTA-GREYN1-TSN27-NLSA-PTA;2;1;0.042191839410736315
PTA-GREYN1-TSN203-UNISA-SN;2;1;0.04219183941073838
PTA-GREYN1-TSN204-UNISA-SRB;2;1;0.04219183941073896
PTA-GREYN1-TSN391-TUT-KOSMOS;2;1;0.04219183941073754
PTA-GREYN1-TSN538-TUT-ADT;2;1;0.042191839410739895
PTA-GREYN1-TSN74-UP-MED-PE;2;4;0.10547959852684208
PTA-GREYN1-TSN298-ARCOVI;2;1;0.04219183941074056
PTA-GREYN1-TSN353-TUT-TEMPO;2;1;0.04219183941073716
PTA-GREYN1-TSN354-TUT-MONITOR;1;1;0.021095919705368473
PTA-GREYN1-TSN389-SMU-MC-PE;2;2;0.06328775911610615
PTA-GREYN1-TSN399-TUT-ZAR;2;1;0.04219183941073713
PTA-GREYS2-TSN261-ARC-HO-PE;2;2;0.06328775911610526
PTA-GREYS2-TSN263-MRC-MC-PE;2;2;0.06328775911610555
PTA-GREYN2-TSN141-UPGC;2;1;0.04219183941074096
