Node;Core Strengths
CPT1;12
CPT3;12
DUR3;11
PTA1;10
JNB2;10
PTA2;9
CPT2;7
DUR2;6
JNB1;6
MTZ;5
BFN1;5
DUR1;5
ISD1;5
JNB3;5
PZB1;5
PTA-GREYN1-TSN74-UP-MED-PE;4
CPT-GREYBEL1-TSN22-MRCCPT-PE;4
ELS1;4
ELS3;4
ELS2;4
ISANDO;3
PTA-TSN455-SITA-CENT-PE;3
BFN2;3
BFN3;3
CPT6;3
CPT-GREYBEL1-TSN207-USBS-PE;3
CPT9;3
CPT-GREYSS2-TSN236-SARAO-PE;3
DUR;3
JNB-GREY2-TSN42-UJBU;3
PTA-GREYN1-TSN389-SMU-MC-PE;2
PTA-GREYS2-TSN261-ARC-HO-PE;2
PTA-GREYS2-TSN263-MRC-MC-PE;2
PTA-GREYN2-TSN254-UP-HILL-PE;2
PTA-GREYS2-TSN409-TUT-SKINNER-PE;2
BLOEM2;2
CPT-GREYBEL1-TSN147-CPUTT;2
CPT-GREYCBD1-TSN163-UCT-HID;2
CPT-GREYCBD1-TSN18-IZMU;2
CPT-GREYCBD1-TSN4-CPUTCPT;2
CPT-GREYCBD1-TSN24-NLSA;2
CPT5;2
CPT-GREYSS2-TSN165-UCTLGR;2
CPT7;2
DBN-GREY1-TSN222-TIA-PWC;2
DBN-GREY1-TSN366-UKZNE-PE;2
JNB-TSN44-UJ-DF-PE;2
JNB-TSN76-UNISA-FLORIDA-PE;2
JNB-GREY2-TSN42-UJBU-2;2
JNB5-TSN249;2
PZB-GREY1-TSN385-CGSP;2
PZB-GREY1-TSN193-UNISAP;2
VDP1;2
PTA-TSN377-ARC-IRENE-PE;1
JNB-TSN199-UNISA-SBL-PE;1
NLP-TSN344-UMP-DC2-PE;1
PTA-GREYN1-TSN161-TUT-SOSN;1
PTA-GREYN1-TSN162-TUT-SOSS;1
PTA-GREYN1-TSN49-TUT-ERC-GAR;1
PTA-GREYN1-TSN75-UPO;1
PTA-TSN940-DHA-SOSH;1
PTA-GREYN1-TSN184-UNISA-LTC;1
PTA-GREYN1-TSN200-UNISA-SSE;1
PTA-GREYN1-TSN201-UNISA-SSW;1
PTA-GREYN1-TSN315-BREYTEN;1
PTA-GREYN1-TSN27-NLSA-PTA;1
PTA-GREYN1-TSN203-UNISA-SN;1
PTA-GREYN1-TSN204-UNISA-SRB;1
PTA-GREYN1-TSN391-TUT-KOSMOS;1
PTA-GREYN1-TSN538-TUT-ADT;1
PTA-GREYN1-TSN298-ARCOVI;1
PTA-GREYN1-TSN353-TUT-TEMPO;1
PTA-GREYN1-TSN354-TUT-MONITOR;1
PTA-GREYN1-TSN399-TUT-ZAR;1
PTA-GREYN2-TSN141-UPGC;1
