Node;Betweenness Centrality
2;0.0
4;0.0
23;0.0
32;0.0
35;0.0
39;0.0
47;0.0
57;0.0
58;0.0
59;0.0
60;0.0
61;0.0
63;0.0
64;0.0
65;0.0
66;0.0
67;0.0
68;0.0
69;0.0
6;0.0004389815627743635
17;0.0004389815627743635
28;0.0004389815627743635
29;0.0004389815627743635
52;0.0004389815627743635
55;0.0004389815627743635
27;0.0008047995317529996
7;0.0012437810945273632
50;0.001434006438396254
51;0.0028533801580333624
15;0.0030728709394205445
13;0.0035850160959906346
11;0.004089844893181152
9;0.004206906643254315
62;0.005867720222417326
38;0.007023705004389816
20;0.009511267193444556
56;0.010059994146912495
48;0.014071449475312517
36;0.014888791337430497
34;0.01885425812115891
54;0.01891278899619549
21;0.023046532045654128
41;0.023741586186713494
25;0.024948785484342945
16;0.025387767047117357
53;0.026119402985074626
30;0.028533801580333626
31;0.028533801580333626
5;0.036972699527572254
49;0.037437810945273646
42;0.04832455370207785
24;0.04953175299970743
18;0.062335381913959605
33;0.06533508925958442
37;0.06624963418203102
26;0.07470002926543741
12;0.07715937121117103
19;0.0865525314603455
40;0.08775973075797484
10;0.0893149797232326
45;0.09968539654667836
43;0.11234269827333919
46;0.12119549312262218
22;0.13571846649107394
14;0.1493133074125172
8;0.17774990593252232
44;0.22129269618295078
3;0.5419405075463021
1;0.5422289811446966
