Node;Core Number;Core Strength;Core Influence
1;2;6;0.4698092386498159
2;1;1;0.06711560552140225
3;2;1;0.13423121104280433
4;2;2;0.20134681656420647
5;2;1;0.1342312110428047
6;2;1;0.1342312110428047
7;2;2;0.201346816564207
8;2;6;0.46980923864981694
9;2;1;0.13423121104280386
10;2;1;0.13423121104280397
11;2;1;0.13423121104280408
12;2;1;0.13423121104280694
13;2;1;0.134231211042806
14;2;1;0.1342312110428077
15;2;5;0.4026936331284141
16;2;1;0.1342312110428047
17;2;1;0.13423121104280744
18;2;1;0.13423121104280772
19;2;1;0.13423121104280625
20;1;1;0.06711560552140232
21;2;1;0.13423121104280464
22;2;1;0.13423121104280467
23;2;1;0.13423121104280455
24;1;1;0.06711560552140217
25;1;1;0.06711560552140217
26;1;1;0.06711560552140221
27;1;1;0.0671156055214022
