Node;Core Number;Core Strength;Core Influence
1;2;3;0.47471266327754125
2;1;1;0.11867816581938548
3;2;3;0.47471266327754136
4;1;1;0.11867816581938516
5;1;1;0.11867816581938535
6;2;1;0.2373563316387706
7;2;1;0.23735633163877073
8;2;1;0.23735633163877098
9;2;3;0.4747126632775414
10;2;1;0.23735633163877076
11;1;1;0.11867816581938526
12;1;1;0.11867816581938523
13;1;1;0.11867816581938544
14;1;1;0.11867816581938523
1;2;3;0.4747126632775414
2;1;1;0.11867816581938509
3;2;3;0.4747126632775412
4;1;1;0.11867816581938538
5;1;1;0.11867816581938488
6;2;1;0.23735633163877046
7;2;1;0.23735633163877123
8;2;1;0.23735633163877104
9;2;3;0.4747126632775417
10;2;1;0.2373563316387703
11;1;1;0.11867816581938485
12;1;1;0.11867816581938495
13;1;1;0.11867816581938527
14;1;1;0.11867816581938548
