Name;Algebraic Connectivity;Multiplicity of the one eigenvalue;Density of eigenvalues around 1;Multiplicity of the zero eigenvalue
Graph_files/isis-links.json_sample1;-7.458256945897017e-16;16;0.27586206896551724;10
Graph_files/isis-links.json_sample2;-1.5155194397102858e-15;30;0.27522935779816515;18
Graph_files/isis-links.json_sample3;-1.8072462875594164e-15;31;0.20666666666666667;16
Graph_files/isis-links.json_sample4;-2.3839591402871465e-15;24;0.12972972972972974;14
Graph_files/isis-links.json_sample5;-7.281066354682928e-16;30;0.13953488372093023;10
Graph_files/isis-links.json_sample6;-1.0896235223316168e-15;34;0.14107883817427386;5
Graph_files/isis-links.json_sample7;3.809036589803966e-16;31;0.11923076923076924;3
Graph_files/isis-links.json_sample8;0.023789348363202335;25;0.08992805755395683;1
Graph_files/isis-links.json_;0.024682839418305763;23;0.08214285714285714;1
Graph_files/TGF_Files/bfn.tgf_;0.387319351243301;8;0.47058823529411764;1
Graph_files/TGF_Files/cpt.tgf_;0.07630552919285967;12;0.17391304347826086;1
Graph_files/TGF_Files/dur.tgf_;0.2159093314955836;5;0.18518518518518517;1
Graph_files/TGF_Files/els.tgf_;0.5340408632573866;5;0.35714285714285715;1
Graph_files/TGF_Files/jnb.tgf_;0.22359960790215574;8;0.25;1
Graph_files/TGF_Files/pta.tgf_;0.05663163428322995;4;0.06557377049180328;1
Graph_files/TGF_Files/pzb.tgf_;0.77546617721373;4;0.36363636363636365;1
Graph_files/TGF_Files/vdp.tgf_;0.7029294556367258;3;0.375;1
