Node;Core Strength
CPT2-PE1;6
DUR1-PE1;4
DUR2-PE1;4
JNB3-PE1;3
UTT-TSN86-WSU-NMD-PE;3
PLZ1-PE1;3
PZB1-PE1;3
PTA-GREYN1-TSN74-UP-MED-PE;3
ZEH1-PE1;3
BIY-TSN65-UFH-BHISHO-PE;3
THY-TSN87-UNIVEN-MC-PE;3
CPT-GREYBEL1-TSN22-MRCCPT-PE;3
JNB1-PE1;3
DBN-GREY1-TSN498-CAPRISA-ECRS;2
DBN-GREY1-TSN151-DUTC;2
DBN-GREY1-TSN176-UNISAM;2
CPT1-IR1;2
JNB-GREY2-TSN42-UJBU;2
JNB-GREY2-TSN42-UJBU-2;2
JNB-TSN44-UJ-DF-PE;2
GRJ-TSN459-NMU-GC;2
VDP1-PE1;2
CPT-GREYSS1-TSN463-DFA-PLN;2
CPT3-PE1;2
TERACO-TSN462-RDB;2
DUR3-PE1;2
BFN3-PE1;2
JNB2-PE1;2
