node,degree,closeness,betweenness,core_influence,deg_n,clo_n,bet_n,ci_n,agg_score
1,0.0625,0.421053,0.0,0.149071,0.0,0.192584,0.0,0.0,0.048146
2,0.5625,0.695652,0.7,0.447214,1.0,1.0,1.0,1.0,1.0
3,0.125,0.457143,0.075,0.298142,0.125,0.298701,0.107143,0.5,0.257711
4,0.125,0.355556,0.008333,0.298142,0.125,0.0,0.011905,0.5,0.159226
5,0.125,0.410256,0.041667,0.298142,0.125,0.160839,0.059524,0.5,0.211341
6,0.3125,0.592593,0.35,0.447214,0.5,0.69697,0.5,1.0,0.674242
7,0.0625,0.380952,0.0,0.149071,0.0,0.074675,0.0,0.0,0.018669
8,0.3125,0.571429,0.35,0.298142,0.5,0.63474,0.5,0.5,0.533685
9,0.0625,0.421053,0.0,0.149071,0.0,0.192584,0.0,0.0,0.048146
10,0.0625,0.421053,0.0,0.149071,0.0,0.192584,0.0,0.0,0.048146
11,0.0625,0.421053,0.0,0.149071,0.0,0.192584,0.0,0.0,0.048146
12,0.0625,0.421053,0.0,0.149071,0.0,0.192584,0.0,0.0,0.048146
13,0.0625,0.421053,0.0,0.149071,0.0,0.192584,0.0,0.0,0.048146
14,0.0625,0.380952,0.0,0.149071,0.0,0.074675,0.0,0.0,0.018669
15,0.0625,0.372093,0.0,0.149071,0.0,0.048626,0.0,0.0,0.012156
16,0.0625,0.372093,0.0,0.149071,0.0,0.048626,0.0,0.0,0.012156
17,0.0625,0.372093,0.0,0.149071,0.0,0.048626,0.0,0.0,0.012156
