node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy
6,1,17,0.387319351243301,8,1,2.0,random
13,2,16,7.017151739430946e-17,7,3,6.0,random
9,3,15,-5.551115123125796e-17,6,3,5.5,random
4,4,14,-3.9901710332019205e-16,5,3,5.0,random
11,5,13,-2.5610532367590376e-16,6,4,5.0,random
14,6,12,5.455950610628365e-19,5,4,4.5,random
1,7,11,1.928788140779786e-16,5,3,4.5,random
17,8,10,-6.425556919344727e-19,4,3,4.0,random
10,9,9,-1.7212317367817924e-16,3,3,4.0,random
2,10,8,-1.0138702986177622e-16,2,3,3.0,random
8,11,7,0.0,1,5,2.0,random
12,12,6,0.0,0,6,1.0,random
16,13,5,0.0,0,5,1.0,random
15,14,4,0.0,0,4,1.0,random
3,15,3,0.0,0,3,1.0,random
7,16,2,0.0,0,2,1.0,random
