node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy
6,1,17,0.387319351243301,8,1,2.0,random
13,2,16,7.017151739430946e-17,7,3,6.0,random
9,3,15,-5.551115123125796e-17,6,3,5.5,random
4,4,14,-3.9901710332019205e-16,5,3,5.0,random
11,5,13,-2.5610532367590376e-16,6,4,5.0,random
14,6,12,5.455950610628365e-19,5,4,4.5,random
1,7,11,1.928788140779786e-16,5,3,4.5,random
17,8,10,-6.425556919344727e-19,4,3,4.0,random
10,9,9,-1.7212317367817924e-16,3,3,4.0,random
2,10,8,-1.0138702986177622e-16,2,3,3.0,random
8,11,7,0.0,1,5,2.0,random
12,12,6,0.0,0,6,1.0,random
16,13,5,0.0,0,5,1.0,random
15,14,4,0.0,0,4,1.0,random
3,15,3,0.0,0,3,1.0,random
7,16,2,0.0,0,2,1.0,random
2,1,17,0.387319351243301,8,1,2.0,core influence
6,2,16,-1.17978817773144e-16,3,7,4.0,core influence
5,3,15,-3.742048512559673e-17,3,10,2.0,core influence
4,4,14,-1.0600960401397101e-17,2,10,1.6666666666666667,core influence
3,5,13,-3.742048512559673e-17,2,10,2.0,core influence
8,6,12,-1.0600960401397101e-17,2,9,2.0,core influence
7,7,11,0.0,0,11,1.0,core influence
14,8,10,0.0,0,10,1.0,core influence
1,9,9,0.0,0,9,1.0,core influence
10,10,8,0.0,0,8,1.0,core influence
13,11,7,0.0,0,7,1.0,core influence
11,12,6,0.0,0,6,1.0,core influence
9,13,5,0.0,0,5,1.0,core influence
17,14,4,0.0,0,4,1.0,core influence
15,15,3,0.0,0,3,1.0,core influence
12,16,2,0.0,0,2,1.0,core influence
2,1,17,0.387319351243301,8,1,2.0,degree
6,2,16,-1.17978817773144e-16,3,7,4.0,degree
8,3,15,-3.742048512559673e-17,3,10,2.5,degree
3,4,14,0.0,1,12,1.3333333333333333,degree
4,5,13,0.0,0,12,1.0,degree
5,6,12,0.0,0,12,1.0,degree
1,7,11,0.0,0,11,1.0,degree
7,8,10,0.0,0,10,1.0,degree
9,9,9,0.0,0,9,1.0,degree
10,10,8,0.0,0,8,1.0,degree
11,11,7,0.0,0,7,1.0,degree
12,12,6,0.0,0,6,1.0,degree
13,13,5,0.0,0,5,1.0,degree
14,14,4,0.0,0,4,1.0,degree
15,15,3,0.0,0,3,1.0,degree
16,16,2,0.0,0,2,1.0,degree
2,1,17,0.387319351243301,8,1,2.0,betweeness
6,2,16,-1.17978817773144e-16,3,7,4.0,betweeness
8,3,15,-3.742048512559673e-17,3,10,1.5,betweeness
3,4,14,0.0,1,12,1.3333333333333333,betweeness
5,5,13,0.0,0,12,1.0,betweeness
4,6,12,0.0,0,12,1.0,betweeness
1,7,11,0.0,0,11,1.0,betweeness
7,8,10,0.0,0,10,1.0,betweeness
9,9,9,0.0,0,9,1.0,betweeness
10,10,8,0.0,0,8,1.0,betweeness
11,11,7,0.0,0,7,1.0,betweeness
12,12,6,0.0,0,6,1.0,betweeness
13,13,5,0.0,0,5,1.0,betweeness
14,14,4,0.0,0,4,1.0,betweeness
15,15,3,0.0,0,3,1.0,betweeness
16,16,2,0.0,0,2,1.0,betweeness
2,1,17,0.387319351243301,8,1,2.0,closeness
6,2,16,-1.17978817773144e-16,3,7,4.0,closeness
8,3,15,-3.742048512559673e-17,3,10,2.0,closeness
3,4,14,0.0,1,12,1.5,closeness
1,5,13,0.0,0,12,1.0,closeness
9,6,12,0.0,0,11,1.0,closeness
10,7,11,0.0,0,10,1.0,closeness
11,8,10,0.0,0,9,1.0,closeness
12,9,9,0.0,0,8,1.0,closeness
13,10,8,0.0,0,7,1.0,closeness
5,11,7,0.0,0,6,1.0,closeness
7,12,6,0.0,0,6,1.0,closeness
14,13,5,0.0,0,5,1.0,closeness
15,14,4,0.0,0,4,1.0,closeness
16,15,3,0.0,0,3,1.0,closeness
17,16,2,0.0,0,2,1.0,closeness
