node_label,node_id,degree,closeness,betweenness,core_influence,deg_n,clo_n,bet_n,ci_n,agg_score,is_connecting_node
DBN-GREY1-TSN497-CAPRISA-DDMRI,18,0.076923,0.238532,0.018974,0.134231,0.090909,0.0,0.035543,0.166667,0.07328,False
DBN-GREY1-TSN498-CAPRISA-ECRS,14,0.076923,0.242991,0.022564,0.134231,0.090909,0.014708,0.042267,0.166667,0.078638,False
DBN-TSN935-DHA-UMGENI,20,0.038462,0.346667,0.0,0.067116,0.0,0.356721,0.0,0.0,0.08918,False
ISANDO,25,0.038462,0.356164,0.0,0.067116,0.0,0.388053,0.0,0.0,0.097013,True
ELS,24,0.038462,0.356164,0.0,0.067116,0.0,0.388053,0.0,0.0,0.097013,True
PHU,26,0.038462,0.356164,0.0,0.067116,0.0,0.388053,0.0,0.0,0.097013,False
UTT,27,0.038462,0.356164,0.0,0.067116,0.0,0.388053,0.0,0.0,0.097013,True
CAPE2,2,0.038462,0.356164,0.0,0.067116,0.0,0.388053,0.0,0.0,0.097013,True
DBN-GREY1-TSN11-DUTS,3,0.076923,0.282609,0.004103,0.134231,0.090909,0.145403,0.007685,0.166667,0.102666,False
DBN-GREY1-TSN150-DUTB,10,0.076923,0.288889,0.018462,0.134231,0.090909,0.16612,0.034582,0.166667,0.11457,False
DBN-GREY1-TSN132-MRC,9,0.076923,0.295455,0.018462,0.134231,0.090909,0.187779,0.034582,0.166667,0.119984,False
DBN-GREY1-TSN232-NMMS,17,0.076923,0.288889,0.068718,0.134231,0.090909,0.16612,0.128722,0.166667,0.138105,False
DBN-GREY1-TSN151-DUTC,12,0.076923,0.295455,0.075897,0.134231,0.090909,0.187779,0.142171,0.166667,0.146882,False
