node_label,node_id,degree,closeness,betweenness,core_influence,deg_n,clo_n,bet_n,ci_n,agg_score,is_connecting_node
JNB-GREY1-TSN110-WITSE,17,0.064516,0.227941,0.008244,0.115663,0.090909,0.0,0.014954,0.125,0.057716,False
UNISA,12,0.032258,0.319588,0.0,0.057831,0.0,0.273005,0.0,0.0,0.068251,False
THY-TSN87-UNIVEN-MC-PE,13,0.032258,0.319588,0.0,0.057831,0.0,0.273005,0.0,0.0,0.068251,False
CAPE,6,0.032258,0.319588,0.0,0.057831,0.0,0.273005,0.0,0.0,0.068251,True
JNB-TSN199-UNISA-SBL-PE,9,0.032258,0.319588,0.0,0.057831,0.0,0.273005,0.0,0.0,0.068251,True
DURBS,7,0.032258,0.319588,0.0,0.057831,0.0,0.273005,0.0,0.0,0.068251,False
BLOEM3,4,0.032258,0.319588,0.0,0.057831,0.0,0.273005,0.0,0.0,0.068251,False
JNB-GREY1-TSN112-WITSM,18,0.064516,0.254098,0.021864,0.115663,0.090909,0.077919,0.039662,0.125,0.083373,False
JNB-TSN949-GIBS-NORTH,29,0.064516,0.267241,0.002151,0.115663,0.090909,0.117071,0.003901,0.125,0.08422,False
BLOEM2,2,0.032258,0.364706,0.0,0.057831,0.0,0.407407,0.0,0.0,0.101852,True
CPT1,5,0.032258,0.364706,0.0,0.057831,0.0,0.407407,0.0,0.0,0.101852,True
VDP,32,0.032258,0.364706,0.0,0.057831,0.0,0.407407,0.0,0.0,0.101852,False
SDT-TSN535-UCT-GSB,30,0.064516,0.295238,0.012903,0.115663,0.090909,0.20047,0.023407,0.125,0.109947,False
JNB-GREY2-TSN295-CSIR-CTF,19,0.064516,0.276786,0.046595,0.115663,0.090909,0.145503,0.084525,0.125,0.111484,False
JNB-GREY-TSN285-WITS-RMH,15,0.064516,0.319588,0.0,0.115663,0.090909,0.273005,0.0,0.125,0.122229,False
JNB-GREY-TSN284-WITS-HJH,14,0.064516,0.319588,0.0,0.115663,0.090909,0.273005,0.0,0.125,0.122229,False
