node_label,node_id,degree,closeness,betweenness,core_influence,deg_n,clo_n,bet_n,ci_n,agg_score,is_connecting_node
PTA-GREYN1-TSN354-TUT-MONITOR,25,0.016667,0.144928,0.0,0.047458,0.0,0.065288,0.0,0.0,0.016322,False
JNB-TSN199-UNISA-SBL-PE,4,0.016667,0.149626,0.0,0.047458,0.0,0.103915,0.0,0.0,0.025979,True
PTA-TSN940-DHA-SOSH,12,0.016667,0.163488,0.0,0.047458,0.0,0.217878,0.0,0.0,0.054469,False
PTA-GREYS2-TSN262-ARCISCW,47,0.033333,0.14218,0.006356,0.094916,0.083333,0.0427,0.012829,0.111111,0.062493,False
PTA-GREYS2-TSN300-DAFF,49,0.033333,0.142857,0.008004,0.094916,0.083333,0.048266,0.016155,0.111111,0.064716,False
PTA-GREYS2-TSN509-UP-MAMC,53,0.016667,0.169492,0.0,0.047458,0.0,0.267237,0.0,0.0,0.066809,False
PTA-GREYN1-TSN184-UNISA-LTC,13,0.033333,0.136986,0.05838,0.094916,0.083333,0.0,0.117837,0.111111,0.07807,False
PTA-GREYN1-TSN200-UNISA-SSE,14,0.033333,0.139211,0.062618,0.094916,0.083333,0.018291,0.12639,0.111111,0.084781,False
PTA-GREYN1-TSN201-UNISA-SSW,15,0.033333,0.139211,0.063183,0.094916,0.083333,0.018291,0.12753,0.111111,0.085066,False
PTA-GREYN1-TSN399-TUT-ZAR,27,0.033333,0.15625,0.0,0.094916,0.083333,0.158374,0.0,0.111111,0.088205,False
PTA-GREYN1-TSN315-BREYTEN,16,0.033333,0.143541,0.06968,0.094916,0.083333,0.053886,0.140644,0.111111,0.097244,False
PTA-GREYN1-TSN353-TUT-TEMPO,24,0.033333,0.15,0.079849,0.094916,0.083333,0.10699,0.161171,0.111111,0.115651,False
PTA-GREYN1-TSN27-NLSA-PTA,17,0.033333,0.151134,0.081262,0.094916,0.083333,0.116309,0.164022,0.111111,0.118694,False
PTA-GREYS3-TSN250-TIAMHO,54,0.033333,0.176471,0.009087,0.094916,0.083333,0.324615,0.018341,0.111111,0.13435,False
PTA-GREYS2-TSN38-SAASTA,37,0.033333,0.178571,0.000565,0.094916,0.083333,0.341886,0.00114,0.111111,0.134368,False
PTA-GREYS3-TSN403-ASSAF,55,0.033333,0.178042,0.008945,0.094916,0.083333,0.33753,0.018056,0.111111,0.137508,False
ISANDO,2,0.016667,0.204082,0.0,0.047458,0.0,0.551615,0.0,0.0,0.137904,True
PTA-GREYS2-TSN40-USAF,48,0.033333,0.163043,0.076977,0.094916,0.083333,0.214225,0.155374,0.111111,0.141011,False
PTA-GREYN1-TSN391-TUT-KOSMOS,20,0.033333,0.159151,0.092844,0.094916,0.083333,0.182226,0.187399,0.111111,0.141017,False
NLP-TSN344-UMP-DC2-PE,7,0.016667,0.206186,0.0,0.047458,0.0,0.568912,0.0,0.0,0.142228,False
MTZ,6,0.016667,0.206186,0.0,0.047458,0.0,0.568912,0.0,0.0,0.142228,True
PTA-TSN397-ARCPPRI,59,0.016667,0.206186,0.0,0.047458,0.0,0.568912,0.0,0.0,0.142228,False
PTA-TSN377-ARC-IRENE-PE,3,0.033333,0.175439,0.033333,0.094916,0.083333,0.31613,0.067281,0.111111,0.144464,False
PTA-GREYS2-TSN159-TUT-ARTS,38,0.033333,0.163934,0.085782,0.094916,0.083333,0.22155,0.173145,0.111111,0.147285,False
PTA-GREYS2-TSN660-NSF-NDI,52,0.033333,0.186335,0.007627,0.094916,0.083333,0.405717,0.015395,0.111111,0.153889,False
PTA-GREYS2-TSN973-UNIVEN-COL,50,0.033333,0.168067,0.083192,0.094916,0.083333,0.255527,0.167918,0.111111,0.154472,False
PTA-GREYN2-TSN395-TUT-ZET,31,0.033333,0.188679,0.000847,0.094916,0.083333,0.424986,0.001711,0.111111,0.155285,False
PTA-GREYS2-TSN29-ZOO,39,0.033333,0.168539,0.091431,0.094916,0.083333,0.259409,0.184548,0.111111,0.1596,False
PTA-GREYN1-TSN203-UNISA-SN,18,0.033333,0.171429,0.108098,0.094916,0.083333,0.283162,0.218189,0.111111,0.173949,False
PTA-GREYS2-TSN299-ARCIAE,46,0.033333,0.175953,0.092232,0.094916,0.083333,0.32036,0.186164,0.111111,0.175242,False
