graph,strategy,step,num_edges_added_this_step,edges_added,nr_aG_baseline,nr_e0_mult_baseline,nr_e1_mult_baseline,nr_CIS_baseline,nr_aG_before,nr_e0_mult_before,nr_e1_mult_before,nr_CIS_before,nr_aG_after,nr_e0_mult_after,nr_e1_mult_after,nr_CIS_after,nr_cumAUC_aG,nr_cumAUC_e0_mult,nr_cumAUC_e1_mult,nr_cumAUC_CIS,aG_before,aG_after,Delta_aG,aG_baseline0,AUC_aG__betweeness,AUC_e0_mult__betweeness,AUC_e1_mult__betweeness,AUC_CIS__betweeness,Delta_aG_vs_random__betweeness,Delta_e0_mult_vs_random__betweeness,Delta_e1_mult_vs_random__betweeness,Delta_CIS_vs_random__betweeness,AUC_aG__closeness,AUC_e0_mult__closeness,AUC_e1_mult__closeness,AUC_CIS__closeness,Delta_aG_vs_random__closeness,Delta_e0_mult_vs_random__closeness,Delta_e1_mult_vs_random__closeness,Delta_CIS_vs_random__closeness,AUC_aG__core_influence,AUC_e0_mult__core_influence,AUC_e1_mult__core_influence,AUC_CIS__core_influence,Delta_aG_vs_random__core_influence,Delta_e0_mult_vs_random__core_influence,Delta_e1_mult_vs_random__core_influence,Delta_CIS_vs_random__core_influence,AUC_aG__degree,AUC_e0_mult__degree,AUC_e1_mult__degree,AUC_CIS__degree,Delta_aG_vs_random__degree,Delta_e0_mult_vs_random__degree,Delta_e1_mult_vs_random__degree,Delta_CIS_vs_random__degree,AUC_aG__random,AUC_e0_mult__random,AUC_e1_mult__random,AUC_CIS__random,Delta_aG_vs_random__random,Delta_e0_mult_vs_random__random,Delta_e1_mult_vs_random__random,Delta_CIS_vs_random__random
isis-links.json,fiedler_greedy,1,10,CPT-GREYSS1-TSN500-CPUTSPR--PTA-GREYN1-TSN201-UNISA-SSW;CPT-GREYCBD1-TSN276-CPUTOPT--PTA-GREYS2-TSN262-ARCISCW;PZB-GREY1-TSN384-SANBIP--PTA-GREYN1-TSN354-TUT-MONITOR;PTA-GREYN1-TSN353-TUT-TEMPO--CPT-GREYBEL1-TSN174-UNIBEL;PTA-GREYS2-TSN299-ARCIAE--NC-SKA-TSN239-LOS;CPT-GREYSLB1-TSN292-ARCINFR--PTA-TSN940-DHA-SOSH;CPT-GREYSS1-TSN495-UCTVH--POL-GREY1-TSN309-UNISA-PHUB;JNB-GREY1-TSN110-WITSE--PTA-GREYS2-TSN29-ZOO;DBN-GREY1-TSN497-CAPRISA-DDMRI--LAB-PTA-SAS-SX;DBN-GREY1-TSN150-DUTB--PTA-GREYN1-TSN200-UNISA-SSE,0.02468,1,23,4.25,0.02468,1,23,4.25,0.09752,1,23,4.28571,0.0611,1.0,23.0,4.26786,0.02468,0.09752,0.07284,0.02468,0.00035,70.64875,7.51971,1.32424,-0.0015,45.10036,-5.84229,-1.02013,0.00035,33.12545,7.98208,1.67187,-0.0015,7.57706,-5.37993,-0.6725,0.00065,68.98208,9.56272,1.52512,-0.00121,43.43369,-3.79928,-0.81925,0.00035,75.83871,8.05735,1.34516,-0.0015,50.29032,-5.30466,-0.99921,0.00185,25.54839,13.36201,2.34437,0.0,0.0,0.0,0.0
isis-links.json,fiedler_greedy,2,10,CPT-GREYCBD1-TSN277-CPUTB--NLP-TSN537-ARC-ITSC;PTA-GREYS2-TSN509-UP-MAMC--WTS-TSN467-WSUW;CPT-GREYBEL1-TSN278-UWCT--PTA-GREYS2-TSN16-HSRC-MC;VDP-GREY2-TSN139-NWUFAR--PTA-GREYN1-TSN49-TUT-ERC-GAR;PTA-GREYN1-TSN391-TUT-KOSMOS--PZB-TSN670-ARC-CACWL;CPT-GREYBEL1-TSN493-CGSB--POL-GREY1-TSN313-UL-POLH;RCB-TSN20-AHRI-SOM-1--PTA-GREYS2-TSN300-DAFF;CPT-GREYSS1-TSN144-CPUTGSH--LAB-PTA-SAST;UTT-TSN362-WSU-MHRC--TLP-TSN83-UL-TLP-PE;JNB-GREY2-TSN295-CSIR-CTF--PTA-GREYN1-TSN184-UNISA-LTC,0.02468,1,23,4.25,0.09752,1,23,4.28571,0.13864,1,22,4.42857,0.08695,1.0,22.66667,4.32143,0.09752,0.13864,0.04112,0.02468,0.0005,66.95699,8.07527,1.39187,-0.00261,43.99283,-8.81004,-1.15675,0.0005,29.24014,7.24014,1.70262,-0.00261,6.27599,-9.64516,-0.84601,0.00093,68.18638,8.8172,1.49859,-0.00218,45.22222,-8.0681,-1.05004,0.0005,73.42652,8.09319,1.36903,-0.00261,50.46237,-8.79211,-1.1796,0.00311,22.96416,16.8853,2.54862,0.0,0.0,0.0,0.0
isis-links.json,fiedler_greedy,3,10,CPT-TENET-LAB-ALU-2--PTA-GREYN1-TSN399-TUT-ZAR;PTA-GREYN1-TSN203-UNISA-SN--NC-SKA-TSN239-LOS;PZB-TSN267-SAEON-GWFN--PTA-TSN940-DHA-SOSH;POL-GREY1-TSN194-UNISA-PLIB--THY-TSN87-UNIVEN-SSB;CPT-GREYCBD1-TSN4-CPUTCPT--LAB-PTA-SAS-SX;BFN-GREY1-TSN245-UFSPELH--PTA-GREYS2-TSN660-NSF-NDI;LCD-TSN186-UNISAM--PTA-GREYS2-TSN159-TUT-ARTS;PTA-GREYS2-TSN973-UNIVEN-COL--JNB-TSN949-GIBS-NORTH;PTA-GREYN2-TSN395-TUT-ZET--CPT-GREYBEL1-TSN487-MRCN;SLB-TSN750-DOA-ELSEN--PTA-GREYN1-TSN49-TUT-ERC-GAR,0.02468,1,23,4.25,0.13864,1,22,4.42857,0.17634,1,21,4.5,0.1093,1.0,22.25,4.36607,0.13864,0.17634,0.03769,0.02468,0.00063,64.34409,8.79211,1.45981,-0.00274,26.64158,-0.50179,-0.4695,0.00063,24.59857,7.46953,1.7956,-0.00274,-13.10394,-1.82437,-0.13371,0.00113,67.07527,8.9319,1.49052,-0.00225,29.37276,-0.36201,-0.43878,0.00063,72.39785,7.28315,1.39234,-0.00274,34.69534,-2.01075,-0.53696,0.00337,37.70251,9.29391,1.92931,0.0,0.0,0.0,0.0
isis-links.json,fiedler_greedy,4,10,DBN-GREY1-TSN232-NMMS--PTA-GREYS2-TSN38-SAASTA;KRO-TSN182-UNISAKRO--CPT-GREYSS1-TSN273-CPUTGSR;JNB-GREY1-TSN112-WITSM--POL-GREY1-TSN313-UL-POLH;GRH1-PE2--PTA-GREYS2-TSN16-HSRC-MC;CPT-GREYCBD2-TSN143-CPUTGB--PZB-TSN534-HSRC-SW;CPT-GREYSLB1-TSN103-CSIR--NLP-TSN537-ARC-ITSC;PZB-GREY1-TSN384-SANBIP--MFK-TSN32-NWUM;PTA-TSN397-ARCPPRI--CPT-TENET-LAB-ALU-1;CPT-GREYCBD1-TSN490-CPGR--JNB-GREY-TSN285-WITS-RMH;PTA-GREYN1-TSN75-UPO--CPT-GREYSS2-TSN168-UCTRCCH,0.02468,1,23,4.25,0.17634,1,21,4.5,0.21356,1,21,4.53571,0.13015,1.0,22.0,4.4,0.17634,0.21356,0.03723,0.02468,0.00077,61.66667,9.63799,1.51825,-0.01224,33.42294,-4.91398,-0.78269,0.00077,21.08244,8.2509,2.03164,-0.01224,-7.16129,-6.30108,-0.26931,0.00169,63.30466,9.02509,1.60206,-0.01131,35.06093,-5.52688,-0.69889,0.00077,70.33692,6.79928,1.44972,-0.01224,42.09319,-7.75269,-0.85122,0.013,28.24373,14.55197,2.30094,0.0,0.0,0.0,0.0
isis-links.json,fiedler_greedy,5,10,DBN-GREY1-TSN11-DUTS--KLE-TSN238-SKA-KLE-PE;VDP-GREY2-TSN139-NWUFAR--UTT-TSN363-WSU-ZAM;PZB-GREY1-TSN10-DUTRC--CPT-GREYBEL1-TSN585-UWC-FCHS;CPT-GREYSS1-TSN500-CPUTSPR--ELS-GREY1-TSN177-UNISAE;PTA-GREYN1-TSN203-UNISA-SN--CPT-GREYSS1-TSN804-SKAO-BRP;PTA-GREYS3-TSN250-TIAMHO--CPT-GREYCBD2-TSN109-SANAP;PTA-GREYS2-TSN40-USAF--CPT-GREYBEL1-TSN812-UWC-DIH;VDP-GREY1-TSN90-VUTMC--CPT-GREYCBD1-TSN277-CPUTB;PTA-GREYN1-TSN315-BREYTEN--CPT-GREYCBD1-TSN650-NLSA-CFB;DBN-GREY1-TSN11-DUTS--PTA-GREYS2-TSN159-TUT-ARTS,0.02468,1,23,4.25,0.21356,1,21,4.53571,0.2506,1,20,4.5,0.15022,1.0,21.66667,4.41667,0.21356,0.2506,0.03704,0.02468,0.0009,59.44086,9.02509,1.55875,-0.0032,28.06093,-4.16846,-0.80598,0.0009,18.35484,7.69176,2.11268,-0.0032,-13.02509,-5.50179,-0.25205,0.00215,65.15412,7.94982,1.55002,-0.00195,33.77419,-5.24373,-0.81471,0.0009,67.90681,6.87814,1.48034,-0.0032,36.52688,-6.31541,-0.88439,0.00409,31.37993,13.19355,2.36473,0.0,0.0,0.0,0.0
isis-links.json,fiedler_greedy,6,10,RCB-TSN20-AHRI-SOM-1--CPT-GREYSS2-TSN167-UCTRMH;TENET-TSN118-AIMS--PTA-CSIR-SCALAB;CPT-GREYSLB1-TSN292-ARCINFR--JNB-GREY-TSN284-WITS-HJH;BTH-TSN504-ARC-SGI--CPT-GREYBEL1-TSN812-UWC-DIH;DBN-GREY1-TSN150-DUTB--PTA-GREYS1-TSN30-NRF;DBN-GREY1-TSN497-CAPRISA-DDMRI--SLB-TSN750-DOA-ELSEN;WTS-TSN467-WSUW--CPT-GREYCBD1-TSN490-CPGR;AMS1-IR1-AMS1-PR1--POL-GREY1-TSN309-UNISA-PHUB;ZEH-TSN938-DHA-POTCH--CPT-GREYSS1-TSN804-SKAO-BRP;PTA-GREYN1-TSN354-TUT-MONITOR--CPT-GREYSS2-TSN800-UWC-CASAS,0.02468,1,23,4.25,0.2506,1,20,4.5,0.29374,1,19,4.64286,0.17073,1.0,21.28571,4.44898,0.2506,0.29374,0.04314,0.02468,0.00105,56.51613,8.8638,1.54882,-0.01538,35.24731,-6.08244,-0.90024,0.00105,16.89964,7.92115,2.15466,-0.01538,-4.36918,-7.02509,-0.2944,0.00264,59.68459,7.67025,1.66795,-0.0138,38.41577,-7.27599,-0.78111,0.00105,65.96774,6.29032,1.52255,-0.01538,44.69892,-8.65591,-0.92652,0.01644,21.26882,14.94624,2.44906,0.0,0.0,0.0,0.0
isis-links.json,fiedler_greedy,7,10,CPT-GREYSS1-TSN768-UCTCAN--CPT-GREYBEL1-TSN278-UWCT;JNB-GREY2-TSN42-UJBU-2--PZB-GREY1-TSN383-DUTI;PTA-GREYS2-TSN299-ARCIAE--PTA-GREYS2-TSN158-TUT-ARCADIA;CPT8-PE1--LAB-PTA-MX204;PTA-GREYN2-TSN395-TUT-ZET--UTT-TSN189-UNISA-MTH;PTA-GREYN1-TSN161-TUT-SOSN--PTA-GREYS2-TSN660-NSF-NDI;DBN-TSN935-DHA-UMGENI--NLP-TSN946-UMP-DC1-PE;JNB-GREY2-TSN99-CSMI--CPT9-PE2;BFN-GREY1-TSN246-UFSPSY--THY-TSN87-UNIVEN-SSB;CPT-GREYSS1-TSN145-CPUTM--PTA-GREYS3-TSN259-SAWS,0.02468,1,23,4.25,0.29374,1,19,4.64286,0.33977,1,19,4.57143,0.19186,1.0,21.0,4.46429,0.29374,0.33977,0.04602,0.02468,0.00122,54.01434,9.58065,1.60661,-0.01864,31.36918,-4.03584,-0.98079,0.00122,14.57706,8.63799,2.24802,-0.01864,-8.0681,-4.97849,-0.33938,0.00208,56.89606,8.48387,1.72296,-0.01777,34.2509,-5.13262,-0.86444,0.00122,62.92832,5.73477,1.48906,-0.01864,40.28315,-7.88172,-1.09834,0.01985,22.64516,13.61649,2.5874,0.0,0.0,0.0,0.0
isis-links.json,fiedler_greedy,8,10,PTA-GREYS2-TSN260-CGS--LDN1-IR1-LDN1-PR1;JNB-GREY1-TSN110-WITSE--ALC-TSN64-UFHA;CPT-GREYCBD1-TSN18-IZMU--THY-TSN87-UNIVEN-SSB;VDP-GREY2-TSN484-DFA-VDBP--KLE-TSN238-SKA-KLE-PE;DBN-GREY1-TSN498-CAPRISA-ECRS--CPT-GREYBEL1-TSN34-CPUTB;PTA-GREYS2-TSN410-TUT-BAE--CPT-TENET-LAB-ALU-2;PTA-CSIR-TWR--SDT-TSN535-UCT-GSB;PTA-GREYS3-TSN8-CHE--PTA-GREYN1-TSN27-NLSA-PTA;UTT-TSN362-WSU-MHRC--CPT-GREYSS2-TSN788-UCTSHAW;PTA-GREYS2-TSN509-UP-MAMC--DBN-GREY1-TSN13-CAO,0.02468,1,23,4.25,0.33977,1,19,4.57143,0.3809,1,20,4.60714,0.21286,1.0,20.88889,4.48016,0.33977,0.3809,0.04113,0.02468,0.00137,51.5914,9.75269,1.683,-0.00269,22.16129,-0.8638,-0.6036,0.01212,13.24731,8.41935,2.28503,0.00806,-16.1828,-2.19713,-0.00157,0.00316,53.22222,9.0681,1.7532,-0.00089,23.79211,-1.54839,-0.53339,0.00137,59.52688,6.96057,1.53181,-0.00269,30.09677,-3.65591,-0.75479,0.00405,29.43011,10.61649,2.28659,0.0,0.0,0.0,0.0
isis-links.json,fiedler_greedy,9,10,KIM-TSN345-SPU-NC-PE--CPT-GREYBEL1-TSN208-USTYG;CPT-GREYSS2-TSN167-UCTRMH--PTA-GREYN1-TSN204-UNISA-SRB;SMT-TSN590-IMT--PTA-GREYS2-TSN262-ARCISCW;PZB-GREY1-TSN385-CGSP--CPT-GREYSS1-TSN144-CPUTGSH;ALC-TSN64-UFHA--CPT-GREYSLB1-TSN103-CSIR;DBN-GREY1-TSN498-CAPRISA-ECRS--JNB-GREY2-TSN99-CSMI;CPT-GREYSLB1-TSN235-ILABS-FAURE-PE2--JNB-TSN949-GIBS-NORTH;CPT-GREYSS2-TSN168-UCTRCCH--PTA-GREYN1-TSN200-UNISA-SSE;CPT1-LG1--PTA-GREYN1-TSN399-TUT-ZAR;CPT-GREYSS1-TSN495-UCTVH--UTW-TSN468-WSUQ,0.02468,1,23,4.25,0.3809,1,20,4.60714,0.42067,1,17,4.64286,0.23364,1.0,20.5,4.49643,0.3809,0.42067,0.03977,0.02468,0.00151,48.51971,10.55914,1.75714,-0.00369,27.01792,1.25806,-0.39423,0.00151,12.5914,8.59857,2.40474,-0.00369,-8.91039,-0.70251,0.25338,0.00258,51.03226,8.41219,1.84769,-0.00262,29.53047,-0.88889,-0.30368,0.00151,58.15771,7.29391,1.57295,-0.00369,36.65591,-2.00717,-0.57842,0.0052,21.50179,9.30108,2.15137,0.0,0.0,0.0,0.0
isis-links.json,fiedler_greedy,10,10,KRO-TSN182-UNISAKRO--RCB-TSN20-AHRI-SOM-1;PTA-GREYN1-TSN391-TUT-KOSMOS--PTA-TSN15-HARTRAO;TENET-TSN118-AIMS--JNB-TSN44-UJ-DF-PE;NC-SKA-TSN238-KLE--NLP-TSN946-UMP-DC1-PE;DBN-GREY1-TSN132-MRC--CPT1-IR1-CPT1-PR1;PTD-TSN216-WSU-PTD-PE--PZB-TSN534-HSRC-SW;PTA-GREYS2-TSN660-NSF-NDI--AMS1-IR1-AMS1-PR1;PTA-GREYS2-TSN499-DFASAMCOR--CPT-GREYSS1-TSN768-UCTCAN;BFN-GREY1-TSN173-UNISAB--PTA-TSN397-ARCPPRI;ELS-GREY1-TSN177-UNISAE--CPT-GREYCBD1-TSN277-CPUTB,0.02468,1,23,4.25,0.42067,1,17,4.64286,0.45624,1,18,4.71429,0.25388,1.0,20.27273,4.51623,0.42067,0.45624,0.03557,0.02468,0.00164,47.94982,8.87814,1.79214,-0.01352,22.70251,-1.30824,-0.57559,0.00164,11.16487,8.55914,2.55264,-0.01352,-14.08244,-1.62724,0.18491,0.00278,51.2043,9.1362,1.84428,-0.01238,25.95699,-1.05018,-0.52345,0.00164,57.08602,6.39427,1.68251,-0.01352,31.83871,-3.79211,-0.68522,0.01516,25.24731,10.18638,2.36773,0.0,0.0,0.0,0.0
