graph,strategy,step,num_edges_added_this_step,edges_added,aG_before,aG_after,Delta_aG,aG_baseline0,AUC_aG__betweeness,AUC_e0_mult__betweeness,AUC_e1_mult__betweeness,AUC_CIS__betweeness,Delta_aG_vs_random__betweeness,Delta_e0_mult_vs_random__betweeness,Delta_e1_mult_vs_random__betweeness,Delta_CIS_vs_random__betweeness,AUC_aG__closeness,AUC_e0_mult__closeness,AUC_e1_mult__closeness,AUC_CIS__closeness,Delta_aG_vs_random__closeness,Delta_e0_mult_vs_random__closeness,Delta_e1_mult_vs_random__closeness,Delta_CIS_vs_random__closeness,AUC_aG__core_influence,AUC_e0_mult__core_influence,AUC_e1_mult__core_influence,AUC_CIS__core_influence,Delta_aG_vs_random__core_influence,Delta_e0_mult_vs_random__core_influence,Delta_e1_mult_vs_random__core_influence,Delta_CIS_vs_random__core_influence,AUC_aG__degree,AUC_e0_mult__degree,AUC_e1_mult__degree,AUC_CIS__degree,Delta_aG_vs_random__degree,Delta_e0_mult_vs_random__degree,Delta_e1_mult_vs_random__degree,Delta_CIS_vs_random__degree,AUC_aG__random,AUC_e0_mult__random,AUC_e1_mult__random,AUC_CIS__random,Delta_aG_vs_random__random,Delta_e0_mult_vs_random__random,Delta_e1_mult_vs_random__random,Delta_CIS_vs_random__random
isis-links.json,highest_degree_pair,1,10,CPT3-PE1--PTA1-PE1;CPT3-PE1--JNB2-PE1;CPT3-PE1--PTA2-PE1;CPT3-PE1--MTZ1-IR1;CPT3-PE1--BFN1-PE1;CPT3-PE1--PZB1-PE1;CPT3-PE1--ELS1-PE1;CPT3-PE1--DUR1-PE1;CPT3-PE1--UTT-TSN86-WSU-NMD-PE;CPT3-PE1--DUR2-PE1,0.02468,0.02853,0.00385,0.02468,0.0001,74.01434,7.00717,1.2743,-0.00051,47.33692,-10.89247,-0.88516,0.00936,40.93548,8.19355,1.54894,0.00875,14.25806,-9.70609,-0.61052,0.0001,68.52688,10.48029,1.52303,-0.00051,41.84946,-7.41935,-0.63643,0.0001,77.45161,7.91756,1.32574,-0.00051,50.77419,-9.98208,-0.83372,0.00061,26.67742,17.89964,2.15946,0.0,0.0,0.0,0.0
isis-links.json,highest_degree_pair,2,10,CPT3-PE1--ZEH1-PE1;CPT3-PE1--JNB1-PE1;CPT3-PE1--JNB3-PE1;CPT3-PE1--VDP1-PE1;CPT3-PE1--ELS3-PE1;CPT3-PE1--PTA-GREYN1-TSN74-UP-MED-PE;CPT3-PE1--BFN2-PE1;CPT3-PE1--ELS2-PE1;CPT3-PE1--BIY-TSN65-UFH-BHISHO-PE;CPT3-PE1--CPT-GREYBEL1-TSN22-MRCCPT-PE,0.02853,0.05735,0.02882,0.02468,0.00021,76.68459,7.48746,1.24879,-0.00017,48.94982,-8.95699,-1.08614,0.00021,48.37276,10.31541,1.50699,-0.00017,20.63799,-6.12903,-0.82793,0.00035,68.22581,11.88889,1.52253,-2e-05,40.49104,-4.55556,-0.8124,0.00021,77.47312,7.94265,1.31946,-0.00017,49.73835,-8.50179,-1.01546,0.00037,27.73477,16.44444,2.33493,0.0,0.0,0.0,0.0
isis-links.json,highest_degree_pair,3,10,CPT3-PE1--CPT6-PE1;CPT3-PE1--HLA1-PE1;CPT3-PE1--POL1-PE1;CPT3-PE1--CPT-GREYSS1-TSN39-SAAO;CPT3-PE1--JNB-GREY2-TSN42-UJBU;CPT3-PE1--CPT-GREYSLB1-TSN79-SUN;CPT3-PE1--PTA-TSN455-SITA-CENT-PE;CPT3-PE1--CPT-GREYSS1-TSN169-UCTRHR;CPT3-PE1--CPT5-PE1;CPT3-PE1--AMS1-IR1,0.05735,0.05989,0.00254,0.02468,0.00021,76.98208,7.67025,1.26361,-0.00129,45.71326,-10.63082,-0.70699,0.00021,51.90681,9.56989,1.55914,-0.00129,20.63799,-8.73118,-0.41146,0.00043,70.44444,12.1828,1.48455,-0.00107,39.17563,-6.11828,-0.48605,0.00021,77.50896,7.89606,1.31418,-0.00129,46.24014,-10.40502,-0.65642,0.0015,31.26882,18.30108,1.9706,0.0,0.0,0.0,0.0
isis-links.json,highest_degree_pair,4,10,CPT3-PE1--LAB-PTA-MX10K;CPT3-PE1--POL-GREY1-TSN56-TUT-POLC;CPT3-PE1--LAB-PTA-IXR;CPT3-PE1--CPT-GREYBEL1-TSN207-USBS-PE;CPT3-PE1--DBN-GREY1-TSN498-CAPRISA-ECRS;CPT3-PE1--DBN-GREY1-TSN151-DUTC;CPT3-PE1--DBN-GREY1-TSN176-UNISAM;CPT3-PE1--CPT-GREYSS1-TSN145-CPUTM;CPT3-PE1--JNB-GREY2-TSN42-UJBU-2;CPT3-PE1--JNB-TSN44-UJ-DF-PE,0.05989,0.06073,0.00084,0.02468,0.00022,78.85305,7.18638,1.24789,0.0,46.97133,-5.10753,-0.53751,0.00022,55.51254,9.70609,1.48743,-0.0,23.63082,-2.58781,-0.29796,0.00022,70.37276,11.2043,1.47681,0.0,38.49104,-1.08961,-0.30859,0.00022,77.47312,7.89606,1.30478,0.0,45.5914,-4.39785,-0.48062,0.00022,31.88172,12.29391,1.7854,0.0,0.0,0.0,0.0
isis-links.json,highest_degree_pair,5,10,CPT3-PE1--CPT1-LAB1;CPT3-PE1--PHU-TSN247-UFSQ;CPT3-PE1--WEL1-PE1;CPT3-PE1--PTA-GREYS2-TSN499-DFASAMCOR;CPT3-PE1--PTA-GREYS2-TSN260-CGS;CPT3-PE1--PTA-GREYS2-TSN973-UNIVEN-COL;CPT3-PE1--PTA-GREYS2-TSN261-ARC-HO-PE;CPT3-PE1--PZB-GREY1-TSN193-UNISAP;CPT3-PE1--PZB-GREY1-TSN385-CGSP;CPT3-PE1--PTA-GREYN2-TSN254-UP-HILL-PE,0.06073,0.07028,0.00955,0.02468,0.00025,80.24373,7.62724,1.25047,0.0,50.29032,-7.78136,-1.204,0.00025,58.80287,10.5914,1.51059,-0.0,28.84946,-4.8172,-0.94387,0.00025,72.14695,10.74194,1.45518,0.0,42.19355,-4.66667,-0.99929,0.00025,77.56989,7.83154,1.30842,0.0,47.61649,-7.57706,-1.14605,0.00025,29.95341,15.4086,2.45446,0.0,0.0,0.0,0.0
isis-links.json,highest_degree_pair,6,10,CPT3-PE1--PTA-GREYN1-TSN162-TUT-SOSS;CPT3-PE1--PTA-GREYN1-TSN389-SMU-MC-PE;CPT3-PE1--DBN-GREY1-TSN222-TIA-PWC;CPT3-PE1--DBN-GREY1-TSN366-UKZNE-PE;CPT3-PE1--RCB-TSN116-UZ-RCB-PE;CPT3-PE1--PTA-GREYS3-TSN403-ASSAF;CPT3-PE1--THY-TSN87-UNIVEN-MC-PE;CPT3-PE1--GRH1-PE1;CPT3-PE1--MFK1-PE1;CPT3-PE1--CPT-GREYSS1-TSN272-UCTDOR,0.07028,0.07361,0.00333,0.02468,0.00026,80.92473,6.69892,1.24418,0.0,42.3405,-6.2043,-0.75146,0.00026,63.20789,8.34767,1.44607,-0.0,24.62366,-4.55556,-0.54957,0.00026,72.45878,10.14695,1.42881,0.0,33.87455,-2.75627,-0.56683,0.00026,77.78495,7.74552,1.30835,0.0,39.20072,-5.15771,-0.68729,0.00026,38.58423,12.90323,1.99564,0.0,0.0,0.0,0.0
isis-links.json,highest_degree_pair,7,10,CPT3-PE1--CPT-GREYBEL1-TSN147-CPUTT;CPT3-PE1--CPT-GREYCBD1-TSN24-NLSA;CPT3-PE1--CPT-GREYCBD1-TSN18-IZMU;CPT3-PE1--CPT-GREYCBD2-TSN164-UCTBS;CPT3-PE1--CPT-GREYCBD1-TSN4-CPUTCPT;CPT3-PE1--CPT-GREYCBD1-TSN163-UCT-HID;CPT3-PE1--CPT-GREYSS2-TSN271-UCTRBG;CPT3-PE1--JNB5-TSN249;CPT3-PE1--NC-SKA-TSN238-KLE;CPT3-PE1--LOS-TSN239-SKA-LOS-PE,0.07361,0.07443,0.00082,0.02468,0.00027,82.42294,6.59857,1.23283,-0.00107,41.77778,-5.31183,-0.62353,0.01312,67.54839,9.39427,1.47052,0.01178,26.90323,-2.51613,-0.38584,0.00027,71.84946,10.07885,1.44474,-0.00107,31.2043,-1.83154,-0.41162,0.00027,77.92832,7.78136,1.31137,-0.00107,37.28315,-4.12903,-0.54499,0.00133,40.64516,11.91039,1.85636,0.0,0.0,0.0,0.0
isis-links.json,highest_degree_pair,8,10,CPT3-PE1--KLE-TSN238-SKA-KLE-PE;CPT3-PE1--AMS1-IR1-AMS1-PR2;CPT3-PE1--LDN1-IR1-LDN1-PR2;CPT3-PE1--NLP-TSN344-UMP-DC2-PE;CPT3-PE1--PTA-GREYS2-TSN409-TUT-SKINNER-PE;CPT3-PE1--JNB-TSN76-UNISA-FLORIDA-PE;CPT3-PE1--POL-GREY1-TSN194-UNISA-PLIB;CPT3-PE1--LAB-PTA-SAST;CPT3-PE1--LAB-PTA-MX204;CPT3-PE1--JNB-TSN199-UNISA-SBL-PE,0.07443,0.07503,0.0006,0.02468,0.00027,82.61649,6.05735,1.22358,-0.00269,62.33333,-10.62007,-1.18834,0.01312,68.70968,9.5448,1.47081,0.01017,48.42652,-7.13262,-0.94111,0.00027,71.3871,11.22581,1.46957,-0.00269,51.10394,-5.45161,-0.94235,0.00027,78.0,7.77061,1.31331,-0.00269,57.71685,-8.90681,-1.09862,0.00295,20.28315,16.67742,2.41192,0.0,0.0,0.0,0.0
isis-links.json,highest_degree_pair,9,10,CPT3-PE1--CPT-GREYSS2-TSN165-UCTLGR;CPT3-PE1--NLP1-PE1;CPT3-PE1--LAB-MX204-JNB1;CPT3-PE1--PTA-GREYS2-TSN263-MRC-MC-PE;CPT3-PE1--LAB-PTA-SAS-SX;CPT3-PE1--DBN-GREY1-TSN497-CAPRISA-DDMRI;CPT3-PE1--DBN-GREY1-TSN232-NMMS;CPT3-PE1--CPT4-PE1;CPT3-PE1--TENET-TSN118-AIMS;CPT3-PE1--JNB-GREY2-TSN99-CSMI,0.07503,0.0762,0.00118,0.02468,0.00027,81.2509,6.05018,1.26184,-0.00264,54.84229,-10.99283,-1.0475,0.01313,69.79211,9.0681,1.44212,0.01021,43.38351,-7.97491,-0.86722,0.00027,71.50538,9.44444,1.49073,-0.00264,45.09677,-7.59857,-0.8186,0.00027,78.07168,7.71326,1.3154,-0.00264,51.66308,-9.32975,-0.99394,0.00291,26.4086,17.04301,2.30934,0.0,0.0,0.0,0.0
isis-links.json,highest_degree_pair,10,10,CPT3-PE1--JNB-GREY2-TSN295-CSIR-CTF;CPT3-PE1--JNB-GREY1-TSN110-WITSE;CPT3-PE1--JNB-GREY1-TSN112-WITSM;CPT3-PE1--HMS-TSN28-SANSA;CPT3-PE1--VDP-GREY2-TSN484-DFA-VDBP;CPT3-PE1--VDP-GREY2-TSN139-NWUFAR;CPT3-PE1--BTH-TSN504-ARC-SGI;CPT3-PE1--PTA-GREYS2-TSN257-SANBI;CPT3-PE1--BFN-GREY1-TSN244-UFSNATH;CPT3-PE1--PTA-GREYS2-TSN40-USAF,0.0762,0.07632,0.00011,0.02468,0.00027,80.29032,5.77061,1.26672,-0.00184,52.5233,-10.44086,-0.57366,0.01313,70.70251,7.86738,1.42812,0.01101,42.93548,-8.34409,-0.41226,0.00027,71.27957,9.05018,1.46493,-0.00184,43.51254,-7.16129,-0.37545,0.00027,78.08961,7.681,1.31357,-0.00184,50.32258,-8.53047,-0.52681,0.00211,27.76703,16.21147,1.84038,0.0,0.0,0.0,0.0
