graph,strategy,step,num_edges_added_this_step,edges_added,nr_aG_baseline,nr_e0_mult_baseline,nr_e1_mult_baseline,nr_CIS_baseline,nr_aG_before,nr_e0_mult_before,nr_e1_mult_before,nr_CIS_before,nr_aG_after,nr_e0_mult_after,nr_e1_mult_after,nr_CIS_after,nr_cumAUC_aG,nr_cumAUC_e0_mult,nr_cumAUC_e1_mult,nr_cumAUC_CIS,aG_before,aG_after,Delta_aG,aG_baseline0,AUC_aG__betweeness,AUC_e0_mult__betweeness,AUC_e1_mult__betweeness,AUC_CIS__betweeness,Delta_aG_vs_random__betweeness,Delta_e0_mult_vs_random__betweeness,Delta_e1_mult_vs_random__betweeness,Delta_CIS_vs_random__betweeness,AUC_aG__closeness,AUC_e0_mult__closeness,AUC_e1_mult__closeness,AUC_CIS__closeness,Delta_aG_vs_random__closeness,Delta_e0_mult_vs_random__closeness,Delta_e1_mult_vs_random__closeness,Delta_CIS_vs_random__closeness,AUC_aG__core_influence,AUC_e0_mult__core_influence,AUC_e1_mult__core_influence,AUC_CIS__core_influence,Delta_aG_vs_random__core_influence,Delta_e0_mult_vs_random__core_influence,Delta_e1_mult_vs_random__core_influence,Delta_CIS_vs_random__core_influence,AUC_aG__degree,AUC_e0_mult__degree,AUC_e1_mult__degree,AUC_CIS__degree,Delta_aG_vs_random__degree,Delta_e0_mult_vs_random__degree,Delta_e1_mult_vs_random__degree,Delta_CIS_vs_random__degree,AUC_aG__random,AUC_e0_mult__random,AUC_e1_mult__random,AUC_CIS__random,Delta_aG_vs_random__random,Delta_e0_mult_vs_random__random,Delta_e1_mult_vs_random__random,Delta_CIS_vs_random__random
isis-links.json,random_add,1,10,CPT3-PE1-CPT3-PR1--JNB-GREY2-TSN99-CSMI;PTA-GREYS3-TSN8-CHE--PTD-TSN216-WSU-PTD-PE;DUR2-PE1--CPT3-PE2;PLZ1-PE1--CPT9-PE2;BFN-GREY1-TSN244-UFSNATH--PZB-TSN534-HSRC-SW;JNB-GREY2-TSN295-CSIR-CTF--JNB-GREY2-TSN42-UJBU-2;PTA-GREYS2-TSN973-UNIVEN-COL--DBN-GREY1-TSN222-TIA-PWC;RCB-TSN596-WRLHS-ALTSO--DBN-GREY1-TSN231-UKZNW-PE;JNB-GREY2-TSN42-UJBU--KRO-TSN182-UNISAKRO;CPT9-PE2--BFN-GREY1-TSN173-UNISAB,0.02468,1,23,4.25,0.02468,1,23,4.25,0.03382,1,22,4.32143,0.02925,1.0,22.5,4.28571,0.02468,0.03382,0.00914,0.02468,0.00012,71.02867,6.81362,1.29191,-0.00153,43.48387,-7.85305,-0.83879,0.01297,38.01075,8.08961,1.62812,0.01132,10.46595,-6.57706,-0.50257,0.00024,66.72401,10.36559,1.50799,-0.00141,39.17921,-4.30108,-0.62271,0.00012,74.62366,7.24014,1.31181,-0.00153,47.07885,-7.42652,-0.81888,0.00165,27.5448,14.66667,2.1307,0.0,0.0,0.0,0.0
isis-links.json,random_add,2,10,ISD1-PE2-ISD1-PR3--BFN-GREY1-TSN245-UFSPELH;PTA-GREYN1-TSN49-TUT-ERC-GAR--CPT-GREYBEL1-TSN22-MRCCPT-PE;DBN-GREY1-TSN222-TIA-PWC--TENET-TSN470-DFA-WYN;CPT-TENET-LAB-ALU-1--SLB-TSN750-DOA-ELSEN;CPT-GREYCBD1-TSN18-IZMU--TENET-TSN470-DFA-WYN;VDP1-PE1--JNB-GREY2-TSN659-WITS-CLMDC;DUR3-PE1-DUR3-PR1--PTA-GREYS2-TSN262-ARCISCW;ELS-GREY1-TSN108-WSU-CHS--TENET-TSN470-DFA-WYN;NLP-TSN537-ARC-ITSC--BFN3-PE1;PTA-GREYN1-TSN161-TUT-SOSN--WEL1-PE1,0.02468,1,23,4.25,0.03382,1,22,4.32143,0.05853,1,25,4.53571,0.03901,1.0,23.33333,4.36905,0.03382,0.05853,0.02471,0.02468,0.00021,68.87814,6.94624,1.32357,-0.00126,38.83154,-7.37993,-0.58438,0.01443,37.73835,8.74194,1.63376,0.01296,7.69176,-5.58423,-0.27418,0.00035,63.21147,9.9319,1.58504,-0.00112,33.16487,-4.39427,-0.32291,0.00021,72.81004,7.53763,1.37876,-0.00126,42.76344,-6.78853,-0.52919,0.00147,30.04659,14.32616,1.90795,0.0,0.0,0.0,0.0
isis-links.json,random_add,3,10,POL-GREY1-TSN56-TUT-POLC--PTA-GREYS2-TSN262-ARCISCW;CPT-GREYCBD2-TSN109-SANAP--WIT-TSN160-TUT-WIT-PE;DBN-GREY1-TSN231-UKZNW-PE--PZB-TSN267-SAEON-GWFN;CPT-GREYSLB1-TSN103-CSIR--ELS3-PE1;LAB-PTA-MX204--JNB-TSN76-UNISA-FLORIDA-PE;THY-TSN87-UNIVEN-MC-PE--BIY-TSN65-UFH-BHISHO-PE;PTA-GREYS2-TSN299-ARCIAE--LAB-MX204-JNB1;JNB-GREY-TSN284-WITS-HJH--VDP-GREY1-TSN90-VUTMC;PTA-GREYS3-TSN8-CHE--PTA-GREYS3-TSN259-SAWS;PTA-GREYS2-TSN509-UP-MAMC--CPT-GREYSS1-TSN273-CPUTGSR,0.02468,1,23,4.25,0.05853,1,25,4.53571,0.06251,1,24,4.71429,0.04488,1.0,23.5,4.45536,0.05853,0.06251,0.00397,0.02468,0.00022,66.62724,6.57706,1.42347,-0.00291,37.51254,-7.80645,-0.69154,0.01445,35.50896,8.03943,1.64007,0.01131,6.39427,-6.34409,-0.47494,0.00044,62.11111,10.74194,1.60257,-0.00269,32.99642,-3.64158,-0.51244,0.00022,70.94624,6.50538,1.42605,-0.00291,41.83154,-7.87814,-0.68896,0.00314,29.1147,14.38351,2.11501,0.0,0.0,0.0,0.0
isis-links.json,random_add,4,10,PTA-GREYS2-TSN257-SANBI--CPT3-PE1;CPT-GREYBEL1-TSN208-USTYG--BFN-GREY1-TSN246-UFSPSY;UTE-TSN12-WSU-B-PE--NC-SAAO-TSN91-SUTH;DUR-TSN19-MUT--DBN-GREY1-TSN366-UKZNE-PE;THY-TSN87-UNIVEN-SSB--PTA-GREYS2-TSN29-ZOO;JNB-TSN76-UNISA-FLORIDA-PE--WIT-TSN160-TUT-WIT-PE;CPT-GREYBEL1-TSN812-UWC-DIH--PTA-GREYS2-TSN660-NSF-NDI;CPT6-PE1--TERACO-TSN462-RDB;UTT-TSN86-WSU-NMD-PE--DBN-GREY1-TSN375-SANBI;DUR1-PE1--GRH1-PE2,0.02468,1,23,4.25,0.06251,1,24,4.71429,0.066,1,21,4.78571,0.04911,1.0,23.0,4.52143,0.06251,0.066,0.00349,0.02468,0.00024,63.94982,6.63799,1.43282,-0.00044,32.83513,-5.95699,-0.84528,0.01446,33.1362,7.39785,1.76524,0.01378,2.02151,-5.19713,-0.51287,0.00047,61.64516,10.29749,1.58354,-0.00021,30.53047,-2.29749,-0.69456,0.00024,69.30466,7.05376,1.43612,-0.00044,38.18996,-5.54122,-0.84199,0.00068,31.1147,12.59498,2.2781,0.0,0.0,0.0,0.0
isis-links.json,random_add,5,10,ZEH1-PE1--AMS1-IR1-AMS1-PR1;PTA-TSN455-SITA-CENT-PE--UTT-TSN189-UNISA-MTH;PTA-TSN455-SITA-CENT-PE--DBN-GREY1-TSN232-NMMS;POL-GREY1-TSN309-UNISA-PHUB--CPT-GREYSS1-TSN768-UCTCAN;CPT9-PE2--ELS-GREY1-TSN108-WSU-CHS;PTA-GREYS2-TSN257-SANBI--WIT-TSN160-TUT-WIT-PE;JNB5-TSN249--CPT-GREYBEL1-TSN278-UWCT;PZB-TSN670-ARC-CACWL--PTA-GREYS3-TSN250-TIAMHO;JNB-GREY2-TSN171-UJSO--CPT-GREYBEL1-TSN147-CPUTT;KRO-TSN182-UNISAKRO--PTA-GREYS2-TSN159-TUT-ARTS,0.02468,1,23,4.25,0.066,1,21,4.78571,0.06871,1,19,4.96429,0.05238,1.0,22.33333,4.59524,0.066,0.06871,0.00271,0.02468,0.00025,61.84229,7.62007,1.48172,-0.00221,34.75269,-3.29391,-0.95727,0.01447,31.44444,7.49462,1.77037,0.01201,4.35484,-3.41935,-0.66862,0.00049,60.62366,9.04659,1.56311,-0.00196,33.53405,-1.86738,-0.87588,0.00025,67.09319,7.60932,1.45986,-0.00221,40.00358,-3.30466,-0.97913,0.00246,27.08961,10.91398,2.43899,0.0,0.0,0.0,0.0
isis-links.json,random_add,6,10,CPT-GREYSS1-TSN463-DFA-PLN--CPT-GREYSS1-TSN768-UCTCAN;CPT-GREYCBD1-TSN24-NLSA--NC-SKA-TSN238-KLE;ISD1-PE1-ISD1-PR1--NLP1-PE1;DUR1-PE1--BFN-GREY1-TSN245-UFSPELH;CPT-GREYBEL1-TSN207-USBS-PE--DUR2-PE1;CPT7-PE1--NC-SKA-TSN239-LOS;HLA1-PE1--CPT3-PE1-CPT3-PR2;PTA-GREYN1-TSN298-ARCOVI--DBN-GREY1-TSN366-UKZNE-PE;PTA-GREYS2-TSN660-NSF-NDI--JNB-GREY2-TSN42-UJBU;MFK-TSN32-NWUM--JNB3-PE1,0.02468,1,23,4.25,0.06871,1,19,4.96429,0.06904,1,20,5.03571,0.05476,1.0,22.0,4.65816,0.06871,0.06904,0.00033,0.02468,0.00025,60.72401,8.4767,1.53512,-0.00172,37.66308,-3.53405,-0.87031,0.01447,31.53405,7.98208,1.82238,0.0125,8.47312,-4.02867,-0.58306,0.00025,61.71326,9.3871,1.6011,-0.00172,38.65233,-2.62366,-0.80433,0.00025,66.57348,8.41935,1.47914,-0.00172,43.51254,-3.5914,-0.92629,0.00197,23.06093,12.01075,2.40543,0.0,0.0,0.0,0.0
isis-links.json,random_add,7,10,RSB1-PE1--CPT2-PE1;ISD1-PE1-ISD1-RR1--CPT-GREYSS1-TSN804-SKAO-BRP;RCB-TSN116-UZ-RCB-PE--PTA-GREYS2-TSN409-TUT-SKINNER-PE;CPT-GREYSS1-TSN144-CPUTGSH--JNB-NHLS-TSN677-SAND;RCB-TSN596-WRLHS-ALTSO--PTA-GREYS2-TSN263-MRC-MC-PE;VDP-GREY1-TSN90-VUTMC--CPT-GREYCBD1-TSN650-NLSA-CFB;POL-GREY1-TSN194-UNISA-PLIB--PTA-CSIR-SCALAB;HLA1-PE1--PTA-GREYS3-TSN259-SAWS;AMS1-IR1-AMS1-PR1--PTA-CSIR-TWR;PTA-GREYS2-TSN410-TUT-BAE--DUR3-PE1-DUR3-PR1,0.02468,1,23,4.25,0.06904,1,20,5.03571,0.07074,1,16,5.0,0.05675,1.0,21.25,4.70089,0.06904,0.07074,0.0017,0.02468,0.00025,57.69176,7.681,1.53886,-0.00235,24.08244,-1.27599,-0.44773,0.01447,30.31183,7.80287,1.7997,0.01187,-3.29749,-1.15412,-0.18689,0.00025,56.87814,8.9319,1.68602,-0.00235,23.26882,-0.02509,-0.30057,0.00025,63.26165,8.08961,1.50155,-0.00235,29.65233,-0.86738,-0.48503,0.00261,33.60932,8.95699,1.98658,0.0,0.0,0.0,0.0
isis-links.json,random_add,8,10,CPT8-PE1--NLP-TSN537-ARC-ITSC;DUR2-PE1--ISD1-PE2;VDP-GREY2-TSN598-VUT-EMF--CPT3-PE2;RCB-TSN116-UZ-RCB-PE--CPT-GREYSS2-TSN788-UCTSHAW;JNB-GREY2-TSN42-UJBU--CPT-GREYSLB1-TSN235-ILABS-FAURE-PE2;HLA1-PE1--POL-GREY1-TSN313-UL-POLH;CPT-GREYSS2-TSN170-UCTSSI--BFN-GREY1-TSN244-UFSNATH;BTH-TSN504-ARC-SGI--CPT-GREYCBD1-TSN650-NLSA-CFB;PTA4-PE1--HLA1-TSN294-NECSA-1;PTA-GREYS2-TSN355-TUT-LEGAE--ISD1-PE1-ISD1-RR1,0.02468,1,23,4.25,0.07074,1,16,5.0,0.07112,1,15,5.07143,0.05835,1.0,20.55556,4.74206,0.07074,0.07112,0.00038,0.02468,0.00025,54.77419,7.12186,1.57288,-0.001,22.7276,-1.7957,-0.98183,0.01448,28.98208,7.40143,1.79223,0.01322,-3.06452,-1.51613,-0.76248,0.00025,55.62007,6.68817,1.62246,-0.001,23.57348,-2.22939,-0.93224,0.00025,60.78495,8.0,1.48596,-0.001,28.73835,-0.91756,-1.06875,0.00126,32.04659,8.91756,2.55471,0.0,0.0,0.0,0.0
isis-links.json,random_add,9,10,PTA-GREYN1-TSN298-ARCOVI--CPT-GREYBEL1-TSN812-UWC-DIH;DBN-GREY1-TSN366-UKZNE-PE--CPT-GREYBEL1-TSN812-UWC-DIH;CPT-GREYSS1-TSN768-UCTCAN--DBN-GREY1-TSN375-SANBI;JNB-TSN199-UNISA-SBL-PE--CPT-GREYCBD2-TSN109-SANAP;HLA1-TSN294-NECSA-1--JNB1-PE1;PTA-GREYS3-TSN8-CHE--CPT-GREYSS1-TSN768-UCTCAN;ISD1-PE2--LAB-PTA-SAS-SX;PTA-GREYS2-TSN29-ZOO--PTA-GREYN1-TSN538-TUT-ADT;JNB5-TSN249--PZB-GREY1-TSN384-SANBIP;CPT-GREYSS1-TSN272-UCTDOR--GRJ-TSN459-NMU-GC,0.02468,1,23,4.25,0.07112,1,15,5.07143,0.07537,1,15,5.57143,0.06005,1.0,20.0,4.825,0.07112,0.07537,0.00425,0.02468,0.00027,54.46953,7.54839,1.58603,-0.00203,29.64158,-4.45878,-0.92438,0.01449,29.46953,7.45878,1.86529,0.01219,4.64158,-4.54839,-0.64512,0.00027,55.3405,7.8172,1.66737,-0.00203,30.51254,-4.18996,-0.84304,0.00027,60.43011,8.681,1.52308,-0.00203,35.60215,-3.32616,-0.98733,0.0023,24.82796,12.00717,2.51041,0.0,0.0,0.0,0.0
isis-links.json,random_add,10,10,DUR3-PE1-DUR3-PR1--CPT-GREYSS1-TSN272-UCTDOR;RCB-TSN596-WRLHS-ALTSO--CPT-GREYCBD2-TSN215-HSRCCPT;CPT-GREYCBD2-TSN164-UCTBS--RCB-TSN116-UZ-RCB-PE;CPT-GREYBEL1-TSN147-CPUTT--PZB1-PE1;LAB-MX204-JNB1--DBN-GREY1-TSN13-CAO;LDN1-IR1-LDN1-PR1--CPT-GREYBEL1-TSN278-UWCT;PTA-GREYS3-TSN8-CHE--SLB-TSN750-DOA-ELSEN;PTA-GREYN1-TSN354-TUT-MONITOR--PZB-TSN267-SAEON-GWFN;CPT-GREYSS2-TSN165-UCTLGR--VDP-GREY2-TSN139-NWUFAR;JNB5-TSN249--PTA-GREYS2-TSN410-TUT-BAE,0.02468,1,23,4.25,0.07537,1,15,5.57143,0.07909,1,15,5.71429,0.06178,1.0,19.54545,4.90584,0.07537,0.07909,0.00373,0.02468,0.00028,53.26165,7.66667,1.58592,0.0,28.32258,-3.05735,-0.87657,0.01314,29.01792,7.29391,1.89357,0.01285,4.07885,-3.43011,-0.56892,0.00028,52.94624,9.14695,1.7008,0.0,28.00717,-1.57706,-0.7617,0.00028,59.22222,8.07527,1.57509,0.0,34.28315,-2.64875,-0.88741,0.00028,24.93907,10.72401,2.4625,0.0,0.0,0.0,0.0
