graph,strategy,step,num_edges_added_this_step,edges_added,aG_before,aG_after,Delta_aG,aG_baseline0,AUC_aG__betweeness,AUC_e0_mult__betweeness,AUC_e1_mult__betweeness,AUC_CIS__betweeness,Delta_aG_vs_random__betweeness,Delta_e0_mult_vs_random__betweeness,Delta_e1_mult_vs_random__betweeness,Delta_CIS_vs_random__betweeness,AUC_aG__closeness,AUC_e0_mult__closeness,AUC_e1_mult__closeness,AUC_CIS__closeness,Delta_aG_vs_random__closeness,Delta_e0_mult_vs_random__closeness,Delta_e1_mult_vs_random__closeness,Delta_CIS_vs_random__closeness,AUC_aG__core_influence,AUC_e0_mult__core_influence,AUC_e1_mult__core_influence,AUC_CIS__core_influence,Delta_aG_vs_random__core_influence,Delta_e0_mult_vs_random__core_influence,Delta_e1_mult_vs_random__core_influence,Delta_CIS_vs_random__core_influence,AUC_aG__degree,AUC_e0_mult__degree,AUC_e1_mult__degree,AUC_CIS__degree,Delta_aG_vs_random__degree,Delta_e0_mult_vs_random__degree,Delta_e1_mult_vs_random__degree,Delta_CIS_vs_random__degree,AUC_aG__random,AUC_e0_mult__random,AUC_e1_mult__random,AUC_CIS__random,Delta_aG_vs_random__random,Delta_e0_mult_vs_random__random,Delta_e1_mult_vs_random__random,Delta_CIS_vs_random__random
bfn,areas_low_nonconnect,1,1,ELSIS--BFN-GREY1-TSN246-UFSPSY,0.38732,0.39867,0.01135,0.38732,0.02492,7.1875,0.75,1.11458,-0.05244,4.5,-1.6875,-0.55208,0.02492,6.4375,0.75,1.11458,-0.05244,3.75,-1.6875,-0.55208,0.02492,6.5625,1.1875,1.39583,-0.05244,3.875,-1.25,-0.27083,0.02492,7.125,0.75,1.11458,-0.05244,4.4375,-1.6875,-0.55208,0.07736,2.6875,2.4375,1.66667,0.0,0.0,0.0,0.0
bfn,areas_low_nonconnect,2,1,ELSIS--WEL1,0.39867,0.48979,0.09112,0.38732,0.03061,6.875,0.875,1.3125,-0.06772,4.1875,-1.0,-0.48958,0.03061,6.1875,0.8125,1.28125,-0.06772,3.5,-1.0625,-0.52083,0.03061,6.8125,1.0625,1.375,-0.06772,4.125,-0.8125,-0.42708,0.03061,7.0,0.8125,1.3125,-0.06772,4.3125,-1.0625,-0.48958,0.09834,2.6875,1.875,1.80208,0.0,0.0,0.0,0.0
bfn,areas_low_nonconnect,3,1,ELSIS--KIM-TSN760-SPUC,0.48979,0.53087,0.04109,0.38732,0.03318,6.6875,1.0,1.44792,-0.23183,4.875,-1.6875,-0.11458,0.03318,6.0625,1.0625,1.44792,-0.23183,4.25,-1.625,-0.11458,0.03318,6.5,1.0625,1.55208,-0.23183,4.6875,-1.625,-0.01042,0.03318,6.8125,0.9375,1.4375,-0.23183,5.0,-1.75,-0.125,0.26501,1.8125,2.6875,1.5625,0.0,0.0,0.0,0.0
bfn,areas_low_nonconnect,4,1,ELSIS--BFN-GREY1-TSN173-UNISAB,0.53087,0.53822,0.00735,0.38732,0.03364,6.625,1.0625,1.53125,-0.2472,4.9375,-0.3125,-1.21875,0.03364,5.625,1.375,1.55208,-0.2472,3.9375,0.0,-1.19792,0.03364,6.375,0.9375,1.5625,-0.2472,4.6875,-0.4375,-1.1875,0.03364,6.5,1.125,1.5625,-0.2472,4.8125,-0.25,-1.1875,0.28083,1.6875,1.375,2.75,0.0,0.0,0.0,0.0
bfn,areas_low_nonconnect,5,1,BFN-GREY1-TSN246-UFSPSY--WEL1,0.53822,0.53886,0.00063,0.38732,0.03368,6.4375,0.875,1.15625,-0.32584,5.1875,-0.6875,-0.28125,0.03368,5.625,1.1875,1.27083,-0.32584,4.375,-0.375,-0.16667,0.03368,5.5,0.875,1.44792,-0.32584,4.25,-0.6875,0.01042,0.03368,6.1875,1.0625,1.27083,-0.32584,4.9375,-0.5,-0.16667,0.35952,1.25,1.5625,1.4375,0.0,0.0,0.0,0.0
bfn,areas_low_nonconnect,6,1,BFN-GREY1-TSN246-UFSPSY--KIM-TSN760-SPUC,0.53886,0.53907,0.00021,0.38732,0.03369,6.25,0.8125,1.25,-0.0,1.875,-0.375,-0.46875,0.03369,5.625,1.0,1.3125,-0.0,1.25,-0.1875,-0.40625,0.06299,5.8125,1.0625,1.67708,0.0293,1.4375,-0.125,-0.04167,0.03369,6.0,1.0625,1.45833,-0.0,1.625,-0.125,-0.26042,0.03369,4.375,1.1875,1.71875,0.0,0.0,0.0,0.0
bfn,areas_low_nonconnect,7,1,BFN-GREY1-TSN246-UFSPSY--BFN-GREY1-TSN173-UNISAB,0.53907,0.53918,0.00011,0.38732,0.0337,6.1875,0.625,1.60417,-0.2572,4.375,-0.875,-0.02083,0.0337,5.625,0.8125,1.75,-0.2572,3.8125,-0.6875,0.125,0.0337,5.75,1.0,1.875,-0.2572,3.9375,-0.5,0.25,0.0337,5.8125,1.125,1.875,-0.2572,4.0,-0.375,0.25,0.2909,1.8125,1.5,1.625,0.0,0.0,0.0,0.0
bfn,areas_low_nonconnect,8,1,WEL1--KIM-TSN760-SPUC,0.53918,0.53918,0.0,0.38732,0.0337,6.0,0.5625,1.125,-0.46788,4.8125,-0.9375,-0.8125,0.0337,5.625,0.75,1.25,-0.46788,4.4375,-0.75,-0.6875,0.0337,5.125,0.75,1.84375,-0.46788,3.9375,-0.75,-0.09375,0.0337,5.75,1.0,1.36458,-0.46788,4.5625,-0.5,-0.57292,0.50158,1.1875,1.5,1.9375,0.0,0.0,0.0,0.0
bfn,areas_low_nonconnect,9,1,WEL1--BFN-GREY1-TSN173-UNISAB,0.53918,0.53918,-0.0,0.38732,0.0337,5.9375,0.625,1.40625,-0.0,2.6875,-0.8125,-0.6875,0.0337,5.625,0.75,1.375,-0.0,2.375,-0.6875,-0.71875,0.12732,4.125,1.3125,1.875,0.09362,0.875,-0.125,-0.21875,0.0337,5.6875,0.9375,1.51042,-0.0,2.4375,-0.5,-0.58333,0.0337,3.25,1.4375,2.09375,0.0,0.0,0.0,0.0
bfn,areas_low_nonconnect,10,1,KIM-TSN760-SPUC--BFN-GREY1-TSN173-UNISAB,0.53918,0.53918,0.0,0.38732,0.0337,5.875,0.5,1.10938,-0.28666,3.9375,-1.0,-0.85938,0.0337,5.625,0.75,1.20312,-0.28666,3.6875,-0.75,-0.76562,0.0337,4.5625,0.8125,1.59375,-0.28666,2.625,-0.6875,-0.375,0.0337,5.375,0.875,1.34375,-0.28666,3.4375,-0.625,-0.625,0.32036,1.9375,1.5,1.96875,0.0,0.0,0.0,0.0
