node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
BFN2,1,17,0.5390718308279547,4,1,2.0,random,0.5390718308279547,1.0,4.0,2.0
BFN3,2,16,-1.6479873022122578e-17,3,2,3.5,random,0.26953591541397737,1.5,3.5,2.75
BFN1,3,15,0.0,2,4,2.5,random,0.1796906102759849,2.3333333333333335,3.0,2.6666666666666665
BFN-GREY1-TSN244-UFSNATH,4,14,-4.8625879597173223e-17,2,8,1.5,random,0.13476795770698866,3.75,2.75,2.375
BFN-GREY1-TSN242-UFSSC,5,13,-2.6446526488291357e-16,1,8,1.0,random,0.10781436616559088,4.6,2.4,2.1
CAPE,6,12,0.0,1,8,2.0,random,0.0898453051379924,5.166666666666667,2.1666666666666665,2.0833333333333335
POTCH,7,11,-4.5189369262756e-31,1,7,2.0,random,0.07701026154685063,5.428571428571429,2.0,2.0714285714285716
ISANDO,8,10,-4.5189369262756e-31,1,6,2.0,random,0.0673839788534943,5.5,1.875,2.0625
WITS,9,9,-4.5189369262756e-31,1,5,2.0,random,0.05989687009199493,5.444444444444445,1.7777777777777777,2.0555555555555554
ELS,10,8,-4.5189369262756e-31,1,4,2.0,random,0.05390718308279544,5.3,1.7,2.05
WEL1,11,7,0.0,1,3,2.0,random,0.04900653007526858,5.090909090909091,1.6363636363636365,2.0454545454545454
ELSIS,12,6,0.0,1,3,1.0,random,0.0449226525689962,4.916666666666667,1.5833333333333333,1.9583333333333333
BFN-GREY1-TSN245-UFSPELH,13,5,0.0,0,4,1.0,random,0.041467063909842644,4.846153846153846,1.4615384615384615,1.8846153846153846
BFN-GREY1-TSN173-UNISAB,14,4,0.0,0,3,1.0,random,0.038505130773425315,4.714285714285714,1.3571428571428572,1.8214285714285714
BFN-GREY1-TSN246-UFSPSY,15,3,0.0,0,2,1.0,random,0.03593812205519696,4.533333333333333,1.2666666666666666,1.7666666666666666
CAPE2,16,2,0.0,0,2,1.0,random,0.03369198942674715,4.375,1.1875,1.71875
ELSIS,1,17,0.5390718308279547,4,1,2.0,core influence,0.5390718308279547,1.0,4.0,2.0
BFN1,2,16,0.46881330805800964,5,1,3.5,core influence,0.5039425694429822,1.0,4.5,2.75
BFN-GREY1-TSN246-UFSPSY,3,15,0.0,2,5,3.5,core influence,0.3359617129619881,2.3333333333333335,3.6666666666666665,3.0
BFN2,4,14,-7.21940761709896e-17,1,7,3.0,core influence,0.25197128472149105,3.5,3.0,3.0
BFN3,5,13,0.0,2,9,2.0,core influence,0.20157702777719283,4.6,2.8,2.8
KIM-TSN760-SPUC,6,12,0.0,1,10,1.5,core influence,0.16798085648099403,5.5,2.5,2.5833333333333335
WEL1,7,11,0.0,1,9,1.3333333333333333,core influence,0.14398359126942345,6.0,2.2857142857142856,2.4047619047619047
BFN-GREY1-TSN244-UFSNATH,8,10,0.0,1,8,2.0,core influence,0.12598564236074553,6.25,2.125,2.3541666666666665
BFN-GREY1-TSN242-UFSSC,9,9,0.0,0,8,1.0,core influence,0.11198723765399603,6.444444444444445,1.8888888888888888,2.2037037037037037
BFN-GREY1-TSN173-UNISAB,10,8,0.0,0,8,1.0,core influence,0.10078851388859641,6.6,1.7,2.083333333333333
BFN-GREY1-TSN245-UFSPELH,11,7,0.0,0,7,1.0,core influence,0.09162592171690584,6.636363636363637,1.5454545454545454,1.9848484848484846
ELS,12,6,0.0,0,6,1.0,core influence,0.08399042824049702,6.583333333333333,1.4166666666666667,1.9027777777777777
CAPE2,13,5,0.0,0,5,1.0,core influence,0.07752962606815109,6.461538461538462,1.3076923076923077,1.8333333333333333
CAPE,14,4,0.0,0,4,1.0,core influence,0.07199179563471172,6.285714285714286,1.2142857142857142,1.7738095238095237
