graph,strategy,step,num_edges_added_this_step,edges_added,nr_aG_baseline,nr_e0_mult_baseline,nr_e1_mult_baseline,nr_CIS_baseline,nr_aG_before,nr_e0_mult_before,nr_e1_mult_before,nr_CIS_before,nr_aG_after,nr_e0_mult_after,nr_e1_mult_after,nr_CIS_after,nr_cumAUC_aG,nr_cumAUC_e0_mult,nr_cumAUC_e1_mult,nr_cumAUC_CIS,aG_before,aG_after,Delta_aG,aG_baseline0,AUC_aG__betweeness,AUC_e0_mult__betweeness,AUC_e1_mult__betweeness,AUC_CIS__betweeness,Delta_aG_vs_random__betweeness,Delta_e0_mult_vs_random__betweeness,Delta_e1_mult_vs_random__betweeness,Delta_CIS_vs_random__betweeness,AUC_aG__closeness,AUC_e0_mult__closeness,AUC_e1_mult__closeness,AUC_CIS__closeness,Delta_aG_vs_random__closeness,Delta_e0_mult_vs_random__closeness,Delta_e1_mult_vs_random__closeness,Delta_CIS_vs_random__closeness,AUC_aG__core_influence,AUC_e0_mult__core_influence,AUC_e1_mult__core_influence,AUC_CIS__core_influence,Delta_aG_vs_random__core_influence,Delta_e0_mult_vs_random__core_influence,Delta_e1_mult_vs_random__core_influence,Delta_CIS_vs_random__core_influence,AUC_aG__degree,AUC_e0_mult__degree,AUC_e1_mult__degree,AUC_CIS__degree,Delta_aG_vs_random__degree,Delta_e0_mult_vs_random__degree,Delta_e1_mult_vs_random__degree,Delta_CIS_vs_random__degree,AUC_aG__random,AUC_e0_mult__random,AUC_e1_mult__random,AUC_CIS__random,Delta_aG_vs_random__random,Delta_e0_mult_vs_random__random,Delta_e1_mult_vs_random__random,Delta_CIS_vs_random__random
bfn,fiedler_greedy,1,1,POTCH--ELSIS,0.38732,1,8,2.0,0.38732,1,8,2.0,0.46954,1,7,2.5,0.42843,1.0,7.5,2.25,0.38732,0.46954,0.08222,0.38732,0.02935,7.125,0.75,1.39583,0.0,2.875,-0.9375,0.05208,0.02935,6.8125,0.75,1.39583,0.0,2.5625,-0.9375,0.05208,0.02935,7.0625,0.75,1.39583,0.0,2.8125,-0.9375,0.05208,0.02935,7.0625,0.75,1.39583,0.0,2.8125,-0.9375,0.05208,0.02935,4.25,1.6875,1.34375,0.0,0.0,0.0,0.0
bfn,fiedler_greedy,2,1,BFN-GREY1-TSN246-UFSPSY--CAPE,0.38732,1,8,2.0,0.46954,1,7,2.5,0.48493,1,6,3.5,0.44726,1.0,7.0,2.66667,0.46954,0.48493,0.0154,0.38732,0.03031,6.75,0.625,1.4375,-0.17591,4.0625,-1.1875,-0.14583,0.03031,6.5,0.625,1.4375,-0.17591,3.8125,-1.1875,-0.14583,0.03031,6.5625,0.8125,1.48958,-0.17591,3.875,-1.0,-0.09375,0.03031,6.5625,0.625,1.4375,-0.17591,3.875,-1.1875,-0.14583,0.20622,2.6875,1.8125,1.58333,0.0,0.0,0.0,0.0
bfn,fiedler_greedy,3,1,BFN-GREY1-TSN245-UFSPELH--CAPE2,0.38732,1,8,2.0,0.48493,1,6,3.5,0.57567,1,5,3.5,0.47936,1.0,6.5,2.875,0.48493,0.57567,0.09074,0.38732,0.03598,6.4375,0.6875,1.375,-0.12052,3.125,-0.1875,-0.53125,0.03598,6.0625,0.75,1.4375,-0.12052,2.75,-0.125,-0.46875,0.03598,6.625,0.5,1.3125,-0.12052,3.3125,-0.375,-0.59375,0.03598,6.5,0.5,1.3125,-0.12052,3.1875,-0.375,-0.59375,0.1565,3.3125,0.875,1.90625,0.0,0.0,0.0,0.0
bfn,fiedler_greedy,4,1,BFN-GREY1-TSN173-UNISAB--ISANDO,0.38732,1,8,2.0,0.57567,1,5,3.5,0.61533,1,4,4.5,0.50656,1.0,6.0,3.2,0.57567,0.61533,0.03966,0.38732,0.03846,5.9375,0.6875,1.46875,-0.15987,3.625,-0.75,-1.09375,0.03846,5.6875,0.6875,1.46875,-0.15987,3.375,-0.75,-1.09375,0.03846,6.0,0.4375,1.23958,-0.15987,3.6875,-1.0,-1.32292,0.03846,6.125,0.4375,1.36458,-0.15987,3.8125,-1.0,-1.19792,0.19833,2.3125,1.4375,2.5625,0.0,0.0,0.0,0.0
bfn,fiedler_greedy,5,1,WEL1--WITS,0.38732,1,8,2.0,0.61533,1,4,4.5,0.70435,1,3,5.0,0.53952,1.0,5.5,3.5,0.61533,0.70435,0.08902,0.38732,0.04402,5.375,0.6875,1.375,-0.22561,2.6875,-0.75,-0.96875,0.04402,5.1875,0.6875,1.375,-0.22561,2.5,-0.75,-0.96875,0.04402,5.5625,0.375,1.3125,-0.22561,2.875,-1.0625,-1.03125,0.04402,5.5,0.375,1.3125,-0.22561,2.8125,-1.0625,-1.03125,0.26963,2.6875,1.4375,2.34375,0.0,0.0,0.0,0.0
bfn,fiedler_greedy,6,1,BFN-GREY1-TSN245-UFSPELH--ELS,0.38732,1,8,2.0,0.70435,1,3,5.0,0.75031,1,3,5.5,0.56964,1.0,5.14286,3.78571,0.70435,0.75031,0.04596,0.38732,0.04689,5.8125,0.5625,1.47917,-0.13205,3.125,-0.5,-0.98958,0.04689,4.75,1.0,1.66667,-0.13205,2.0625,-0.0625,-0.80208,0.04689,4.8125,0.5625,1.47917,-0.13205,2.125,-0.5,-0.98958,0.04689,5.1875,0.5625,1.47917,-0.13205,2.5,-0.5,-0.98958,0.17894,2.6875,1.0625,2.46875,0.0,0.0,0.0,0.0
bfn,fiedler_greedy,7,1,WITS--ELSIS,0.38732,1,8,2.0,0.75031,1,3,5.5,0.82826,1,2,5.5,0.60196,1.0,4.75,4.0,0.75031,0.82826,0.07795,0.38732,0.05177,5.625,0.5,1.40625,-0.13984,3.75,0.125,-0.6875,0.05177,4.125,1.0,1.63542,-0.13984,2.25,0.625,-0.45833,0.05177,5.1875,0.5,1.40625,-0.13984,3.3125,0.125,-0.6875,0.05177,5.5,0.5,1.40625,-0.13984,3.625,0.125,-0.6875,0.19161,1.875,0.375,2.09375,0.0,0.0,0.0,0.0
bfn,fiedler_greedy,8,1,BFN-GREY1-TSN245-UFSPELH--KIM-TSN760-SPUC,0.38732,1,8,2.0,0.82826,1,2,5.5,0.86057,1,1,6.0,0.6307,1.0,4.33333,4.22222,0.82826,0.86057,0.03231,0.38732,0.06851,5.4375,0.625,1.45833,-0.14134,3.0625,-0.25,-1.38542,0.06851,3.5,1.0625,1.64583,-0.14134,1.125,0.1875,-1.19792,0.06851,4.875,0.625,1.45833,-0.14134,2.5,-0.25,-1.38542,0.06851,5.5625,0.1875,1.4375,-0.14134,3.1875,-0.6875,-1.40625,0.20985,2.375,0.875,2.84375,0.0,0.0,0.0,0.0
bfn,fiedler_greedy,9,1,BFN-GREY1-TSN246-UFSPSY--ISANDO,0.38732,1,8,2.0,0.86057,1,1,6.0,0.86553,1,1,6.0,0.65418,1.0,4.0,4.4,0.86057,0.86553,0.00496,0.38732,0.07575,5.1875,0.625,1.75,-0.3459,3.6875,-1.5,-0.92708,0.07575,2.6875,1.25,2.09375,-0.3459,1.1875,-0.875,-0.58333,0.07575,5.25,0.375,1.9375,-0.3459,3.75,-1.75,-0.73958,0.06882,5.5,0.1875,1.6875,-0.35282,4.0,-1.9375,-0.98958,0.42164,1.5,2.125,2.67708,0.0,0.0,0.0,0.0
bfn,fiedler_greedy,10,1,BFN-GREY1-TSN245-UFSPELH--ISANDO,0.38732,1,8,2.0,0.86553,1,1,6.0,0.95267,1,1,6.5,0.68132,1.0,3.72727,4.59091,0.86553,0.95267,0.08714,0.38732,0.08959,5.125,0.625,1.84375,0.00983,2.75,-1.0,-0.6875,0.21459,3.5625,0.6875,2.03125,0.13483,1.1875,-0.9375,-0.5,0.07976,5.5,0.1875,1.71875,-0.0,3.125,-1.4375,-0.8125,0.07976,5.4375,0.1875,1.78125,-0.0,3.0625,-1.4375,-0.75,0.07976,2.375,1.625,2.53125,0.0,0.0,0.0,0.0
