node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
ISANDO,1,17,0.8605677157761874,1,1,6.0,random,0.8605677157761874,1.0,1.0,6.0
WITS,2,16,0.8642943257343366,2,1,5.5,random,0.862431020755262,1.0,1.5,5.75
ELS,3,15,0.8372179594276487,1,1,5.0,random,0.8540266669793909,1.0,1.3333333333333333,5.5
BFN1,4,14,0.7954834695428088,1,1,4.0,random,0.8393908676202454,1.0,1.25,5.125
BFN-GREY1-TSN244-UFSNATH,5,13,0.0,2,3,1.5,random,0.6715126940961963,1.4,1.4,4.4
ELSIS,6,12,0.0,2,3,3.0,random,0.5595939117468303,1.6666666666666667,1.5,4.166666666666667
BFN-GREY1-TSN173-UNISAB,7,11,0.0,1,4,2.5,random,0.47965192435442594,2.0,1.4285714285714286,3.9285714285714284
POTCH,8,10,0.0,1,3,3.0,random,0.4196954338101227,2.125,1.375,3.8125
BFN-GREY1-TSN245-UFSPELH,9,9,4.3744376943751844e-16,1,2,3.0,random,0.37306260783122025,2.111111111111111,1.3333333333333333,3.7222222222222223
KIM-TSN760-SPUC,10,8,0.0,0,4,2.0,random,0.3357563470480982,2.3,1.2,3.55
CAPE,11,7,0.0,0,3,2.0,random,0.3052330427709984,2.3636363636363638,1.0909090909090908,3.409090909090909
CAPE2,12,6,0.0,0,3,2.0,random,0.2797969558734152,2.4166666666666665,1.0,3.2916666666666665
BFN-GREY1-TSN242-UFSSC,13,5,0.0,1,3,2.0,random,0.2582741131139217,2.4615384615384617,1.0,3.1923076923076925
BFN3,14,4,0.0,1,2,2.0,random,0.239825962177213,2.4285714285714284,1.0,3.107142857142857
BFN2,15,3,0.0,0,2,1.0,random,0.22383756469873214,2.4,0.9333333333333333,2.966666666666667
WEL1,16,2,0.0,0,2,1.0,random,0.20984771690506138,2.375,0.875,2.84375
BFN1,1,17,0.8605677157761874,1,1,6.0,core influence,0.8605677157761874,1.0,1.0,6.0
BFN2,2,16,0.23560387155709867,2,1,2.0,core influence,0.548085793666643,1.0,1.5,4.0
BFN3,3,15,6.862028187439798e-17,3,2,2.3333333333333335,core influence,0.36539052911109543,1.3333333333333333,2.0,3.4444444444444446
BFN-GREY1-TSN245-UFSPELH,4,14,-5.993280482528276e-17,4,4,1.0,core influence,0.2740428968333215,2.0,2.5,2.8333333333333335
WITS,5,13,0.0,0,8,1.0,core influence,0.2192343174666572,3.2,2.0,2.466666666666667
ELSIS,6,12,0.0,0,9,1.0,core influence,0.18269526455554766,4.166666666666667,1.6666666666666667,2.2222222222222223
CAPE2,7,11,0.0,0,9,1.0,core influence,0.1565959410476123,4.857142857142857,1.4285714285714286,2.047619047619048
ELS,8,10,0.0,0,8,1.0,core influence,0.13702144841666075,5.25,1.25,1.9166666666666667
POTCH,9,9,0.0,0,7,1.0,core influence,0.12179684303703178,5.444444444444445,1.1111111111111112,1.8148148148148147
WEL1,10,8,0.0,0,6,1.0,core influence,0.1096171587333286,5.5,1.0,1.7333333333333332
BFN-GREY1-TSN246-UFSPSY,11,7,0.0,0,5,1.0,core influence,0.09965196248484419,5.454545454545454,0.9090909090909091,1.6666666666666665
BFN-GREY1-TSN244-UFSNATH,12,6,0.0,0,5,1.0,core influence,0.09134763227777383,5.416666666666667,0.8333333333333334,1.611111111111111
BFN-GREY1-TSN173-UNISAB,13,5,0.0,0,4,1.0,core influence,0.08432089133332969,5.3076923076923075,0.7692307692307693,1.564102564102564
CAPE,14,4,0.0,0,4,1.0,core influence,0.07829797052380615,5.214285714285714,0.7142857142857143,1.5238095238095237
ISANDO,15,3,0.0,0,3,1.0,core influence,0.07307810582221906,5.066666666666666,0.6666666666666666,1.4888888888888887
BFN-GREY1-TSN242-UFSSC,16,2,0.0,0,2,1.0,core influence,0.06851072420833038,4.875,0.625,1.4583333333333333
BFN1,1,17,0.8605677157761874,1,1,6.0,degree,0.8605677157761874,1.0,1.0,6.0
BFN-GREY1-TSN245-UFSPELH,2,16,0.23560387155709867,2,1,2.0,degree,0.548085793666643,1.0,1.5,4.0
BFN2,3,15,0.0,0,4,2.0,degree,0.3653905291110953,2.0,1.0,3.3333333333333335
BFN3,4,14,-2.5534913963609197e-17,0,6,1.0,degree,0.2740428968333215,3.0,0.75,2.75
WITS,5,13,0.0,0,8,1.0,degree,0.2192343174666572,4.0,0.6,2.4
ELSIS,6,12,0.0,0,9,1.0,degree,0.18269526455554766,4.833333333333333,0.5,2.1666666666666665
BFN-GREY1-TSN173-UNISAB,7,11,0.0,0,9,1.0,degree,0.1565959410476123,5.428571428571429,0.42857142857142855,2.0
BFN-GREY1-TSN242-UFSSC,8,10,0.0,0,9,1.0,degree,0.13702144841666075,5.875,0.375,1.875
BFN-GREY1-TSN244-UFSNATH,9,9,0.0,0,8,1.0,degree,0.12179684303703178,6.111111111111111,0.3333333333333333,1.7777777777777777
BFN-GREY1-TSN246-UFSPSY,10,8,0.0,0,7,1.0,degree,0.1096171587333286,6.2,0.3,1.7
CAPE,11,7,0.0,0,7,1.0,degree,0.09965196248484419,6.2727272727272725,0.2727272727272727,1.6363636363636365
ELS,12,6,0.0,0,6,1.0,degree,0.09134763227777383,6.25,0.25,1.5833333333333333
KIM-TSN760-SPUC,13,5,0.0,0,5,1.0,degree,0.08432089133332969,6.153846153846154,0.23076923076923078,1.5384615384615385
WEL1,14,4,0.0,0,4,1.0,degree,0.07829797052380615,6.0,0.21428571428571427,1.5
POTCH,15,3,0.0,0,3,1.0,degree,0.07307810582221906,5.8,0.2,1.4666666666666666
CAPE2,16,2,0.0,0,2,1.0,degree,0.06851072420833038,5.5625,0.1875,1.4375
BFN1,1,17,0.8605677157761874,1,1,6.0,betweeness,0.8605677157761874,1.0,1.0,6.0
BFN2,2,16,0.23560387155709867,2,1,2.0,betweeness,0.548085793666643,1.0,1.5,4.0
BFN3,3,15,6.862028187439798e-17,3,2,2.3333333333333335,betweeness,0.36539052911109543,1.3333333333333333,2.0,3.4444444444444446
BFN-GREY1-TSN245-UFSPELH,4,14,-5.993280482528276e-17,4,4,1.0,betweeness,0.2740428968333215,2.0,2.5,2.8333333333333335
WITS,5,13,0.0,0,8,1.0,betweeness,0.2192343174666572,3.2,2.0,2.466666666666667
ELSIS,6,12,0.0,0,9,1.0,betweeness,0.18269526455554766,4.166666666666667,1.6666666666666667,2.2222222222222223
BFN-GREY1-TSN173-UNISAB,7,11,0.0,0,9,1.0,betweeness,0.1565959410476123,4.857142857142857,1.4285714285714286,2.047619047619048
CAPE,8,10,0.0,0,9,1.0,betweeness,0.13702144841666075,5.375,1.25,1.9166666666666667
BFN-GREY1-TSN244-UFSNATH,9,9,0.0,0,9,1.0,betweeness,0.12179684303703178,5.777777777777778,1.1111111111111112,1.8148148148148147
CAPE2,10,8,0.0,0,8,1.0,betweeness,0.1096171587333286,6.0,1.0,1.7333333333333332
WEL1,11,7,0.0,0,7,1.0,betweeness,0.09965196248484419,6.090909090909091,0.9090909090909091,1.6666666666666665
