graph,strategy,step,num_edges_added_this_step,edges_added,aG_before,aG_after,Delta_aG,aG_baseline0,AUC_aG__betweeness,AUC_e0_mult__betweeness,AUC_e1_mult__betweeness,AUC_CIS__betweeness,Delta_aG_vs_random__betweeness,Delta_e0_mult_vs_random__betweeness,Delta_e1_mult_vs_random__betweeness,Delta_CIS_vs_random__betweeness,AUC_aG__closeness,AUC_e0_mult__closeness,AUC_e1_mult__closeness,AUC_CIS__closeness,Delta_aG_vs_random__closeness,Delta_e0_mult_vs_random__closeness,Delta_e1_mult_vs_random__closeness,Delta_CIS_vs_random__closeness,AUC_aG__core_influence,AUC_e0_mult__core_influence,AUC_e1_mult__core_influence,AUC_CIS__core_influence,Delta_aG_vs_random__core_influence,Delta_e0_mult_vs_random__core_influence,Delta_e1_mult_vs_random__core_influence,Delta_CIS_vs_random__core_influence,AUC_aG__degree,AUC_e0_mult__degree,AUC_e1_mult__degree,AUC_CIS__degree,Delta_aG_vs_random__degree,Delta_e0_mult_vs_random__degree,Delta_e1_mult_vs_random__degree,Delta_CIS_vs_random__degree,AUC_aG__random,AUC_e0_mult__random,AUC_e1_mult__random,AUC_CIS__random,Delta_aG_vs_random__random,Delta_e0_mult_vs_random__random,Delta_e1_mult_vs_random__random,Delta_CIS_vs_random__random
bfn,highest_degree_pair,1,1,BFN1--BFN-GREY1-TSN245-UFSPELH,0.38732,0.38737,5e-05,0.38732,0.02421,7.5,0.875,1.40625,-0.4116,6.375,-3.3125,0.09375,0.02421,7.5,1.0,1.40625,-0.4116,6.375,-3.1875,0.09375,0.02421,7.4375,1.0625,1.4375,-0.4116,6.3125,-3.125,0.125,0.02421,7.5,1.0,1.40625,-0.4116,6.375,-3.1875,0.09375,0.43581,1.125,4.1875,1.3125,0.0,0.0,0.0,0.0
bfn,highest_degree_pair,2,1,BFN1--BFN-GREY1-TSN244-UFSNATH,0.38737,0.39074,0.00338,0.38732,0.02442,7.4375,0.8125,1.4375,-0.02511,3.8125,-1.5,-1.0625,0.02442,7.4375,0.9375,1.4375,-0.02511,3.8125,-1.375,-1.0625,0.02442,7.1875,1.125,1.53125,-0.02511,3.5625,-1.1875,-0.96875,0.02442,7.5,0.9375,1.4375,-0.02511,3.875,-1.375,-1.0625,0.04953,3.625,2.3125,2.5,0.0,0.0,0.0,0.0
bfn,highest_degree_pair,3,1,BFN1--BFN-GREY1-TSN246-UFSPSY,0.39074,0.39909,0.00835,0.38732,0.02494,7.4375,0.75,1.5,-0.20666,5.5,-2.3125,-0.5,0.02494,7.4375,0.875,1.5,-0.20666,5.5,-2.1875,-0.5,0.02494,7.0625,1.1875,1.65625,-0.20666,5.125,-1.875,-0.34375,0.02494,7.5,0.875,1.5,-0.20666,5.5625,-2.1875,-0.5,0.2316,1.9375,3.0625,2.0,0.0,0.0,0.0,0.0
bfn,highest_degree_pair,4,1,BFN1--WITS,0.39909,0.40244,0.00335,0.38732,0.02515,7.5,0.8125,1.5625,-0.07645,3.5625,-2.25,-0.47917,0.02515,7.5,0.9375,1.5625,-0.07645,3.5625,-2.125,-0.47917,0.02515,7.1875,1.125,1.65625,-0.07645,3.25,-1.9375,-0.38542,0.02515,7.5,0.9375,1.5625,-0.07645,3.5625,-2.125,-0.47917,0.1016,3.9375,3.0625,2.04167,0.0,0.0,0.0,0.0
bfn,highest_degree_pair,5,1,BFN1--CAPE2,0.40244,0.53311,0.13068,0.38732,0.03332,7.5,0.75,1.59375,-0.37495,6.1875,-3.5,-0.75,0.03332,7.375,0.9375,1.625,-0.37495,6.0625,-3.3125,-0.71875,0.03332,7.25,1.0625,1.6875,-0.37495,5.9375,-3.1875,-0.65625,0.03332,7.5,0.875,1.59375,-0.37495,6.1875,-3.375,-0.75,0.40827,1.3125,4.25,2.34375,0.0,0.0,0.0,0.0
bfn,highest_degree_pair,6,1,BFN1--ELSIS,0.53311,0.68998,0.15686,0.38732,0.04312,7.5,0.6875,1.625,-0.2451,4.4375,-2.1875,-1.0625,0.04312,7.5,0.8125,1.625,-0.2451,4.4375,-2.0625,-1.0625,0.04312,7.4375,0.8125,1.625,-0.2451,4.375,-2.0625,-1.0625,0.04312,7.5,0.8125,1.625,-0.2451,4.4375,-2.0625,-1.0625,0.28822,3.0625,2.875,2.6875,0.0,0.0,0.0,0.0
bfn,highest_degree_pair,7,1,BFN1--ISANDO,0.68998,1.0,0.31002,0.38732,0.0625,7.5,0.8125,1.65625,-1.0,6.5,-4.8125,-1.78125,0.0625,7.5,0.8125,1.65625,-1.0,6.5,-4.8125,-1.78125,0.0625,7.5,0.6875,1.65625,-1.0,6.5,-4.9375,-1.78125,0.0625,7.5,0.8125,1.65625,-1.0,6.5,-4.8125,-1.78125,1.0625,1.0,5.625,3.4375,0.0,0.0,0.0,0.0
bfn,highest_degree_pair,8,1,BFN2--BFN-GREY1-TSN245-UFSPELH,1.0,1.0,-0.0,0.38732,0.0625,7.5,0.8125,1.25,-0.5,4.75,-2.4375,-1.125,0.0625,7.5,0.8125,1.25,-0.5,4.75,-2.4375,-1.125,0.125,6.9375,1.0625,1.15625,-0.4375,4.1875,-2.1875,-1.21875,0.0625,7.5,0.8125,1.25,-0.5,4.75,-2.4375,-1.125,0.5625,2.75,3.25,2.375,0.0,0.0,0.0,0.0
bfn,highest_degree_pair,9,1,BFN3--BFN-GREY1-TSN245-UFSPELH,1.0,1.0,0.0,0.38732,0.0625,7.5,0.6875,1.15625,0.0,2.8125,-1.375,-1.03125,0.0625,7.4375,0.8125,1.3125,0.0,2.75,-1.25,-0.875,0.1875,6.3125,1.75,1.5625,0.125,1.625,-0.3125,-0.625,0.0625,7.4375,0.8125,1.3125,0.0,2.75,-1.25,-0.875,0.0625,4.6875,2.0625,2.1875,0.0,0.0,0.0,0.0
bfn,highest_degree_pair,10,1,BFN3--BFN-GREY1-TSN244-UFSNATH,1.0,1.0,0.0,0.38732,0.0625,7.5,0.6875,1.03125,-0.625,5.6875,-2.25,-0.09375,0.0625,7.5,0.6875,1.03125,-0.625,5.6875,-2.25,-0.09375,0.125,6.6875,1.0625,1.125,-0.5625,4.875,-1.875,0.0,0.0625,7.5,0.6875,1.03125,-0.625,5.6875,-2.25,-0.09375,0.6875,1.8125,2.9375,1.125,0.0,0.0,0.0,0.0
