node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
ELSIS,1,17,0.9999999999999994,6,1,1.0,random,0.9999999999999994,1.0,6.0,1.0
BFN-GREY1-TSN173-UNISAB,2,16,0.9999999999999993,6,1,1.0,random,0.9999999999999993,1.0,6.0,1.0
CAPE2,3,15,0.9999999999999991,5,1,1.0,random,0.9999999999999992,1.0,5.666666666666667,1.0
POTCH,4,14,0.9999999999999994,5,1,1.0,random,0.9999999999999993,1.0,5.5,1.0
BFN3,5,13,0.9999999999999986,4,1,1.0,random,0.9999999999999991,1.0,5.2,1.0
ELS,6,12,0.9999999999999993,5,1,1.0,random,0.9999999999999992,1.0,5.166666666666667,1.0
KIM-TSN760-SPUC,7,11,0.9999999999999987,4,1,1.0,random,0.9999999999999991,1.0,5.0,1.0
WITS,8,10,0.9999999999999999,3,1,1.0,random,0.9999999999999992,1.0,4.75,1.0
WEL1,9,9,0.9999999999999996,3,1,1.0,random,0.9999999999999992,1.0,4.555555555555555,1.0
BFN-GREY1-TSN245-UFSPELH,10,8,0.9999999999999998,2,1,1.0,random,0.9999999999999993,1.0,4.3,1.0
BFN1,11,7,0.9999999999999991,3,1,2.0,random,0.9999999999999993,1.0,4.181818181818182,1.0909090909090908
BFN2,12,6,0.0,1,4,2.0,random,0.9166666666666661,1.25,3.9166666666666665,1.1666666666666667
ISANDO,13,5,0.0,0,5,1.0,random,0.8461538461538456,1.5384615384615385,3.6153846153846154,1.1538461538461537
BFN-GREY1-TSN244-UFSNATH,14,4,0.0,0,4,1.0,random,0.7857142857142853,1.7142857142857142,3.357142857142857,1.1428571428571428
CAPE,15,3,0.0,0,3,1.0,random,0.7333333333333328,1.8,3.1333333333333333,1.1333333333333333
BFN-GREY1-TSN246-UFSPSY,16,2,0.0,0,2,1.0,random,0.6874999999999996,1.8125,2.9375,1.125
BFN-GREY1-TSN244-UFSNATH,1,17,0.9999999999999994,6,1,1.0,core influence,0.9999999999999994,1.0,6.0,1.0
BFN1,2,16,0.9999999999999992,6,1,1.0,core influence,0.9999999999999993,1.0,6.0,1.0
BFN2,3,15,0.0,3,7,1.0,core influence,0.6666666666666662,3.0,5.0,1.0
BFN3,4,14,-3.5150941453604363e-17,2,9,3.0,core influence,0.49999999999999967,4.5,4.25,1.5
BFN-GREY1-TSN245-UFSPELH,5,13,0.0,0,12,1.0,core influence,0.39999999999999974,6.0,3.4,1.4
BFN-GREY1-TSN246-UFSPSY,6,12,0.0,0,12,1.0,core influence,0.3333333333333331,7.0,2.8333333333333335,1.3333333333333333
WITS,7,11,0.0,0,11,1.0,core influence,0.28571428571428553,7.571428571428571,2.4285714285714284,1.2857142857142858
CAPE2,8,10,0.0,0,10,1.0,core influence,0.24999999999999983,7.875,2.125,1.25
ELSIS,9,9,0.0,0,9,1.0,core influence,0.22222222222222207,8.0,1.8888888888888888,1.2222222222222223
ISANDO,10,8,0.0,0,8,1.0,core influence,0.19999999999999987,8.0,1.7,1.2
BFN-GREY1-TSN242-UFSSC,11,7,0.0,0,7,1.0,core influence,0.18181818181818168,7.909090909090909,1.5454545454545454,1.1818181818181819
ELS,12,6,0.0,0,6,1.0,core influence,0.16666666666666655,7.75,1.4166666666666667,1.1666666666666667
POTCH,13,5,0.0,0,5,1.0,core influence,0.15384615384615374,7.538461538461538,1.3076923076923077,1.1538461538461537
KIM-TSN760-SPUC,14,4,0.0,0,4,1.0,core influence,0.14285714285714277,7.285714285714286,1.2142857142857142,1.1428571428571428
CAPE,15,3,0.0,0,3,1.0,core influence,0.13333333333333325,7.0,1.1333333333333333,1.1333333333333333
BFN-GREY1-TSN173-UNISAB,16,2,0.0,0,2,1.0,core influence,0.12499999999999992,6.6875,1.0625,1.125
BFN1,1,17,0.9999999999999994,6,1,1.0,degree,0.9999999999999994,1.0,6.0,1.0
BFN3,2,16,-6.2508656635728366e-18,3,7,1.0,degree,0.4999999999999997,4.0,4.5,1.0
BFN2,3,15,0.0,1,10,1.0,degree,0.33333333333333315,6.0,3.3333333333333335,1.0
BFN-GREY1-TSN245-UFSPELH,4,14,0.0,1,12,1.5,degree,0.24999999999999986,7.5,2.75,1.125
BFN-GREY1-TSN244-UFSNATH,5,13,0.0,0,13,1.0,degree,0.1999999999999999,8.6,2.2,1.1
BFN-GREY1-TSN242-UFSSC,6,12,0.0,0,12,1.0,degree,0.16666666666666657,9.166666666666666,1.8333333333333333,1.0833333333333333
BFN-GREY1-TSN246-UFSPSY,7,11,0.0,0,11,1.0,degree,0.14285714285714277,9.428571428571429,1.5714285714285714,1.0714285714285714
WITS,8,10,0.0,0,10,1.0,degree,0.12499999999999993,9.5,1.375,1.0625
CAPE2,9,9,0.0,0,9,1.0,degree,0.11111111111111105,9.444444444444445,1.2222222222222223,1.0555555555555556
ELSIS,10,8,0.0,0,8,1.0,degree,0.09999999999999995,9.3,1.1,1.05
ISANDO,11,7,0.0,0,7,1.0,degree,0.09090909090909086,9.090909090909092,1.0,1.0454545454545454
BFN-GREY1-TSN173-UNISAB,12,6,0.0,0,6,1.0,degree,0.08333333333333329,8.833333333333334,0.9166666666666666,1.0416666666666667
