graph,strategy,step,num_edges_added_this_step,edges_added,nr_aG_baseline,nr_e0_mult_baseline,nr_e1_mult_baseline,nr_CIS_baseline,nr_aG_before,nr_e0_mult_before,nr_e1_mult_before,nr_CIS_before,nr_aG_after,nr_e0_mult_after,nr_e1_mult_after,nr_CIS_after,nr_cumAUC_aG,nr_cumAUC_e0_mult,nr_cumAUC_e1_mult,nr_cumAUC_CIS,aG_before,aG_after,Delta_aG,aG_baseline0,AUC_aG__betweeness,AUC_e0_mult__betweeness,AUC_e1_mult__betweeness,AUC_CIS__betweeness,Delta_aG_vs_random__betweeness,Delta_e0_mult_vs_random__betweeness,Delta_e1_mult_vs_random__betweeness,Delta_CIS_vs_random__betweeness,AUC_aG__closeness,AUC_e0_mult__closeness,AUC_e1_mult__closeness,AUC_CIS__closeness,Delta_aG_vs_random__closeness,Delta_e0_mult_vs_random__closeness,Delta_e1_mult_vs_random__closeness,Delta_CIS_vs_random__closeness,AUC_aG__core_influence,AUC_e0_mult__core_influence,AUC_e1_mult__core_influence,AUC_CIS__core_influence,Delta_aG_vs_random__core_influence,Delta_e0_mult_vs_random__core_influence,Delta_e1_mult_vs_random__core_influence,Delta_CIS_vs_random__core_influence,AUC_aG__degree,AUC_e0_mult__degree,AUC_e1_mult__degree,AUC_CIS__degree,Delta_aG_vs_random__degree,Delta_e0_mult_vs_random__degree,Delta_e1_mult_vs_random__degree,Delta_CIS_vs_random__degree,AUC_aG__random,AUC_e0_mult__random,AUC_e1_mult__random,AUC_CIS__random,Delta_aG_vs_random__random,Delta_e0_mult_vs_random__random,Delta_e1_mult_vs_random__random,Delta_CIS_vs_random__random
bfn,mrkc_heuristic,1,1,BFN-GREY1-TSN173-UNISAB--BFN2,0.38732,1,8,2.0,0.38732,1,8,2.0,0.40383,1,7,3.0,0.39558,1.0,7.5,2.5,0.38732,0.40383,0.01651,0.38732,0.02524,7.375,0.9375,1.46875,-0.04995,5.5625,-1.9375,-0.46875,0.02524,7.25,1.0,1.5,-0.04995,5.4375,-1.875,-0.4375,0.02524,6.8125,1.4375,1.71875,-0.04995,5.0,-1.4375,-0.21875,0.02524,7.25,1.0,1.5,-0.04995,5.4375,-1.875,-0.4375,0.07519,1.8125,2.875,1.9375,0.0,0.0,0.0,0.0
bfn,mrkc_heuristic,2,1,BFN-GREY1-TSN246-UFSPSY--BFN1,0.38732,1,8,2.0,0.40383,1,7,3.0,0.40464,1,6,4.0,0.3986,1.0,7.0,3.0,0.40383,0.40464,0.00081,0.38732,0.02529,7.3125,0.8125,1.54167,-0.02564,3.75,-1.3125,-1.11458,0.02529,6.875,0.9375,1.5625,-0.02564,3.3125,-1.1875,-1.09375,0.02529,6.5625,1.4375,1.875,-0.02564,3.0,-0.6875,-0.78125,0.02529,7.25,0.9375,1.5625,-0.02564,3.6875,-1.1875,-1.09375,0.05093,3.5625,2.125,2.65625,0.0,0.0,0.0,0.0
bfn,mrkc_heuristic,3,1,CAPE--BFN2,0.38732,1,8,2.0,0.40464,1,6,4.0,0.40867,1,5,5.0,0.40112,1.0,6.5,3.5,0.40464,0.40867,0.00402,0.38732,0.02554,7.1875,0.875,1.6875,-0.20397,5.25,-1.5,-0.75,0.02554,7.0625,0.9375,1.65625,-0.20397,5.125,-1.4375,-0.78125,0.02554,6.875,1.1875,1.78125,-0.20397,4.9375,-1.1875,-0.65625,0.02554,7.1875,0.9375,1.65625,-0.20397,5.25,-1.4375,-0.78125,0.22951,1.9375,2.375,2.4375,0.0,0.0,0.0,0.0
bfn,mrkc_heuristic,4,1,CAPE2--BFN1,0.38732,1,8,2.0,0.40867,1,5,5.0,0.51922,1,4,5.5,0.42474,1.0,6.0,3.9,0.40867,0.51922,0.11055,0.38732,0.03245,7.3125,0.8125,1.65625,-0.03249,3.1875,-1.1875,-0.19792,0.03245,6.75,0.875,1.6875,-0.03249,2.625,-1.125,-0.16667,0.03245,7.375,0.8125,1.65625,-0.03249,3.25,-1.1875,-0.19792,0.03245,7.1875,0.875,1.6875,-0.03249,3.0625,-1.125,-0.16667,0.06495,4.125,2.0,1.85417,0.0,0.0,0.0,0.0
bfn,mrkc_heuristic,5,1,ELS--BFN2,0.38732,1,8,2.0,0.51922,1,4,5.5,0.51923,1,3,6.5,0.44049,1.0,5.5,4.33333,0.51922,0.51923,2e-05,0.38732,0.03245,7.25,0.8125,1.75,-0.22965,5.5625,-1.75,-2.3125,0.03245,6.875,0.875,1.78125,-0.22965,5.1875,-1.6875,-2.28125,0.03245,6.9375,0.8125,1.75,-0.22965,5.25,-1.75,-2.3125,0.03245,7.125,0.875,1.78125,-0.22965,5.4375,-1.6875,-2.28125,0.2621,1.6875,2.5625,4.0625,0.0,0.0,0.0,0.0
bfn,mrkc_heuristic,6,1,ELSIS--BFN1,0.38732,1,8,2.0,0.51923,1,3,6.5,0.59924,1,2,7.0,0.46316,1.0,5.0,4.71429,0.51923,0.59924,0.08,0.38732,0.03745,7.25,0.75,1.78125,-0.12729,3.8125,-1.1875,-1.09375,0.03745,6.625,0.8125,1.8125,-0.12729,3.1875,-1.125,-1.0625,0.03745,7.3125,0.75,1.78125,-0.12729,3.875,-1.1875,-1.09375,0.03745,7.125,0.8125,1.8125,-0.12729,3.6875,-1.125,-1.0625,0.16475,3.4375,1.9375,2.875,0.0,0.0,0.0,0.0
bfn,mrkc_heuristic,7,1,ISANDO--BFN1,0.38732,1,8,2.0,0.59924,1,2,7.0,0.62749,1,3,7.5,0.48371,1.0,4.75,5.0625,0.59924,0.62749,0.02826,0.38732,0.03922,7.125,0.875,1.84375,-0.8125,5.875,-4.25,-1.5625,0.03922,6.5625,0.875,1.84375,-0.8125,5.3125,-4.25,-1.5625,0.03922,7.25,0.8125,1.8125,-0.8125,6.0,-4.3125,-1.59375,0.03922,7.125,0.875,1.84375,-0.8125,5.875,-4.25,-1.5625,0.85172,1.25,5.125,3.40625,0.0,0.0,0.0,0.0
bfn,mrkc_heuristic,8,1,KIM-TSN760-SPUC--BFN2,0.38732,1,8,2.0,0.62749,1,3,7.5,0.64008,1,2,8.5,0.50108,1.0,4.44444,5.44444,0.62749,0.64008,0.01259,0.38732,0.04001,7.0625,0.875,1.9375,-0.16881,4.0,-0.75,-1.84375,0.04001,6.5,0.875,1.9375,-0.16881,3.4375,-0.75,-1.84375,0.04001,7.25,0.8125,1.90625,-0.16881,4.1875,-0.8125,-1.875,0.04001,7.0625,0.875,1.9375,-0.16881,4.0,-0.75,-1.84375,0.20882,3.0625,1.625,3.78125,0.0,0.0,0.0,0.0
bfn,mrkc_heuristic,9,1,POTCH--BFN2,0.38732,1,8,2.0,0.64008,1,2,8.5,0.64907,1,1,9.5,0.51588,1.0,4.1,5.85,0.64008,0.64907,0.00899,0.38732,0.04057,7.0,0.875,2.03125,-0.0,3.5,-2.0625,-1.5625,0.04057,6.5,0.875,2.03125,-0.0,3.0,-2.0625,-1.5625,0.04057,7.125,0.8125,2.0,-0.0,3.625,-2.125,-1.59375,0.04057,7.0,0.875,2.03125,-0.0,3.5,-2.0625,-1.5625,0.04057,3.5,2.9375,3.59375,0.0,0.0,0.0,0.0
bfn,mrkc_heuristic,10,1,WEL1--BFN2,0.38732,1,8,2.0,0.64907,1,1,9.5,0.65563,1,1,10.5,0.52859,1.0,3.81818,6.27273,0.64907,0.65563,0.00656,0.38732,0.05361,6.8125,1.0625,2.1875,-0.42274,5.0625,0.5,-2.59375,0.05361,6.5625,0.9375,2.125,-0.42274,4.8125,0.375,-2.65625,0.05361,7.125,0.875,2.09375,-0.42274,5.375,0.3125,-2.6875,0.05361,6.9375,0.9375,2.125,-0.42274,5.1875,0.375,-2.65625,0.47635,1.75,0.5625,4.78125,0.0,0.0,0.0,0.0
