node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
BFN-GREY1-TSN244-UFSNATH,1,17,0.4046442770923826,6,1,4.0,random,0.4046442770923826,1.0,6.0,4.0
BFN2,2,16,0.34704829095289796,6,1,3.0,random,0.3758462840226403,1.0,6.0,3.5
ELS,3,15,-7.712109861643635e-17,8,2,6.5,random,0.25056418934842684,1.3333333333333333,6.666666666666667,4.5
CAPE,4,14,2.7539774593443504e-16,7,2,6.0,random,0.18792314201132018,1.5,6.75,4.875
ELSIS,5,13,2.0121232086838158e-16,6,2,5.5,random,0.1503385136090562,1.6,6.6,5.0
BFN-GREY1-TSN242-UFSSC,6,12,1.3139636551261107e-16,5,2,5.0,random,0.1252820946742135,1.6666666666666667,6.333333333333333,5.0
BFN-GREY1-TSN246-UFSPSY,7,11,-5.551115123125785e-17,5,3,4.5,random,0.1073846525778973,1.8571428571428572,6.142857142857143,4.928571428571429
POTCH,8,10,-4.969923683237949e-16,4,3,5.0,random,0.09396157100566006,2.0,5.875,4.9375
WITS,9,9,4.741469364104345e-17,3,3,4.0,random,0.08352139644947562,2.111111111111111,5.555555555555555,4.833333333333333
BFN-GREY1-TSN245-UFSPELH,10,8,1.731963245515907e-16,3,2,4.0,random,0.07516925680452807,2.1,5.3,4.75
CAPE2,11,7,0.39832086811684575,3,1,4.0,random,0.10454667601473878,2.0,5.090909090909091,4.681818181818182
KIM-TSN760-SPUC,12,6,0.48586307066470874,2,1,4.0,random,0.1363230422355696,1.9166666666666667,4.833333333333333,4.625
WEL1,13,5,0.5188056959079843,1,1,3.0,random,0.16574478482575533,1.8461538461538463,4.538461538461538,4.5
BFN1,14,4,0.585786437626905,0,1,2.0,random,0.19574776002583746,1.7857142857142858,4.214285714285714,4.321428571428571
BFN-GREY1-TSN173-UNISAB,15,3,0.0,0,2,1.0,random,0.18269790935744828,1.8,3.933333333333333,4.1
ISANDO,16,2,2.0,0,1,1.0,random,0.2962792900226078,1.75,3.6875,3.90625
BFN1,1,17,0.4046442770923826,6,1,4.0,core influence,0.4046442770923826,1.0,6.0,4.0
BFN2,2,16,-5.622325355861289e-17,4,6,4.5,core influence,0.20232213854619127,3.5,5.0,4.25
BFN-GREY1-TSN242-UFSSC,3,15,-3.742048512559673e-17,3,10,2.5,core influence,0.13488142569746084,5.666666666666667,4.333333333333333,3.6666666666666665
BFN-GREY1-TSN245-UFSPELH,4,14,-1.0600960401397101e-17,2,10,2.0,core influence,0.10116106927309562,6.75,3.75,3.25
BFN-GREY1-TSN244-UFSNATH,5,13,-3.742048512559673e-17,2,10,2.0,core influence,0.08092885541847648,7.4,3.4,3.0
BFN-GREY1-TSN246-UFSPSY,6,12,-1.0600960401397101e-17,2,9,2.0,core influence,0.0674407128487304,7.666666666666667,3.1666666666666665,2.8333333333333335
BFN-GREY1-TSN173-UNISAB,7,11,-3.742048512559673e-17,2,8,2.0,core influence,0.057806325298911776,7.714285714285714,3.0,2.7142857142857144
BFN3,8,10,-1.0600960401397101e-17,2,7,3.0,core influence,0.0505805346365478,7.625,2.875,2.75
