node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
CAPE2,1,17,0.3890682894316572,5,1,4.0,random,0.3890682894316572,1.0,5.0,4.0
WITS,2,16,0.4421462593011347,4,1,4.0,random,0.415607274366396,1.0,4.5,4.0
BFN-GREY1-TSN245-UFSPELH,3,15,0.45002169339349557,4,1,3.5,random,0.42707874737542917,1.0,4.333333333333333,3.8333333333333335
BFN2,4,14,0.3926253807524606,8,1,1.0,random,0.41846540571968704,1.0,5.25,3.125
KIM-TSN760-SPUC,5,13,3.8854810108894006e-16,7,3,5.5,random,0.3347723245757497,1.4,5.6,3.6
BFN-GREY1-TSN242-UFSSC,6,12,-8.354107163476914e-18,6,3,5.0,random,0.27897693714645805,1.6666666666666667,5.666666666666667,3.8333333333333335
BFN-GREY1-TSN244-UFSNATH,7,11,-1.5936192577314518e-17,5,3,4.5,random,0.23912308898267834,1.8571428571428572,5.571428571428571,3.9285714285714284
ELS,8,10,-7.576145232688142e-17,5,2,6.0,random,0.20923270285984355,1.875,5.5,4.1875
BFN-GREY1-TSN246-UFSPSY,9,9,-1.5064570479594469e-16,4,2,5.0,random,0.18598462476430536,1.8888888888888888,5.333333333333333,4.277777777777778
BFN1,10,8,0.3738019314727057,4,1,5.0,random,0.2047663554351454,1.8,5.2,4.35
ELSIS,11,7,0.0,1,5,2.0,random,0.18615123221376856,2.090909090909091,4.818181818181818,4.136363636363637
BFN3,12,6,0.0,0,5,1.0,random,0.17063862952928785,2.3333333333333335,4.416666666666667,3.875
ISANDO,13,5,0.0,0,5,1.0,random,0.157512581103958,2.5384615384615383,4.076923076923077,3.6538461538461537
BFN-GREY1-TSN173-UNISAB,14,4,0.0,0,4,1.0,random,0.1462616824536753,2.642857142857143,3.7857142857142856,3.4642857142857144
POTCH,15,3,0.0,0,3,1.0,random,0.13651090362343027,2.6666666666666665,3.533333333333333,3.3
CAPE,16,2,0.0,0,2,1.0,random,0.12797897214696588,2.625,3.3125,3.15625
BFN2,1,17,0.3890682894316572,5,1,4.0,core influence,0.3890682894316572,1.0,5.0,4.0
BFN1,2,16,1.487963638432489e-18,5,2,1.0,core influence,0.1945341447158286,1.5,5.0,2.5
BFN-GREY1-TSN245-UFSPELH,3,15,-1.093981219731414e-16,5,7,3.5,core influence,0.12968942981055237,3.3333333333333335,5.0,2.8333333333333335
WITS,4,14,0.0,2,10,1.0,core influence,0.09726707235791428,5.0,4.25,2.375
BFN-GREY1-TSN246-UFSPSY,5,13,-1.7948265557866108e-16,2,10,2.0,core influence,0.07781365788633139,6.0,3.8,2.3
BFN-GREY1-TSN242-UFSSC,6,12,-1.0135402042904115e-17,2,9,2.0,core influence,0.06484471490527616,6.5,3.5,2.25
WEL1,7,11,-1.7948265557866108e-16,2,8,1.6666666666666667,core influence,0.05558118420452239,6.714285714285714,3.2857142857142856,2.1666666666666665
BFN-GREY1-TSN173-UNISAB,8,10,-7.27917477159406e-18,2,7,3.0,core influence,0.04863353617895709,6.75,3.125,2.2708333333333335
