graph,strategy,step,num_edges_added_this_step,edges_added,aG_before,aG_after,Delta_aG,aG_baseline0,AUC_aG__betweeness,AUC_e0_mult__betweeness,AUC_e1_mult__betweeness,AUC_CIS__betweeness,Delta_aG_vs_random__betweeness,Delta_e0_mult_vs_random__betweeness,Delta_e1_mult_vs_random__betweeness,Delta_CIS_vs_random__betweeness,AUC_aG__closeness,AUC_e0_mult__closeness,AUC_e1_mult__closeness,AUC_CIS__closeness,Delta_aG_vs_random__closeness,Delta_e0_mult_vs_random__closeness,Delta_e1_mult_vs_random__closeness,Delta_CIS_vs_random__closeness,AUC_aG__core_influence,AUC_e0_mult__core_influence,AUC_e1_mult__core_influence,AUC_CIS__core_influence,Delta_aG_vs_random__core_influence,Delta_e0_mult_vs_random__core_influence,Delta_e1_mult_vs_random__core_influence,Delta_CIS_vs_random__core_influence,AUC_aG__degree,AUC_e0_mult__degree,AUC_e1_mult__degree,AUC_CIS__degree,Delta_aG_vs_random__degree,Delta_e0_mult_vs_random__degree,Delta_e1_mult_vs_random__degree,Delta_CIS_vs_random__degree,AUC_aG__random,AUC_e0_mult__random,AUC_e1_mult__random,AUC_CIS__random,Delta_aG_vs_random__random,Delta_e0_mult_vs_random__random,Delta_e1_mult_vs_random__random,Delta_CIS_vs_random__random
cpt,areas_low_nonconnect,1,1,CPT-GREYSS1-TSN500-CPUTSPR--CPT-GREYCBD1-TSN276-CPUTOPT,0.07631,0.0943,0.01799,0.07631,0.00139,20.58824,2.13235,1.35357,0.0,6.41176,-1.32353,-0.36141,0.00139,10.88235,2.02941,1.71481,0.0,-3.29412,-1.42647,-0.00018,0.00139,20.33824,3.23529,1.46465,0.0,6.16176,-0.22059,-0.25033,0.00139,21.08824,2.67647,1.47892,-0.0,6.91176,-0.77941,-0.23606,0.00139,14.17647,3.45588,1.71499,0.0,0.0,0.0,0.0
cpt,areas_low_nonconnect,2,1,CPT-GREYSS1-TSN500-CPUTSPR--CPT-GREYSS1-TSN495-UCTVH,0.0943,0.09465,0.00035,0.07631,0.00139,20.23529,1.98529,1.36141,-0.00281,10.20588,-3.19118,-0.4764,0.04551,10.48529,1.97059,1.67318,0.04131,0.45588,-3.20588,-0.16464,0.00139,20.86765,2.91176,1.45256,-0.00281,10.83824,-2.26471,-0.38526,0.00139,20.77941,2.52941,1.49954,-0.00281,10.75,-2.64706,-0.33827,0.0042,10.02941,5.17647,1.83782,0.0,0.0,0.0,0.0
cpt,areas_low_nonconnect,3,1,CPT-GREYSS1-TSN500-CPUTSPR--CPT-GREYSS1-TSN273-CPUTGSR,0.09465,0.09567,0.00102,0.07631,0.00141,20.25,1.92647,1.36057,-0.00415,7.66176,-0.42647,-0.45795,0.03476,10.42647,1.77941,1.70067,0.02921,-2.16176,-0.57353,-0.11786,0.00141,21.51471,2.63235,1.38638,-0.00415,8.92647,0.27941,-0.43214,0.00141,21.22059,2.67647,1.46106,-0.00415,8.63235,0.32353,-0.35746,0.00555,12.58824,2.35294,1.81852,0.0,0.0,0.0,0.0
cpt,areas_low_nonconnect,4,1,CPT-GREYSS1-TSN500-CPUTSPR--CPT-GREYSS1-TSN144-CPUTGSH,0.09567,0.09576,9e-05,0.07631,0.00141,20.29412,1.94118,1.35007,0.0,10.32353,-5.39706,-0.73859,0.03582,10.41176,1.98529,1.80231,0.03442,0.44118,-5.35294,-0.28634,0.00141,21.14706,2.86765,1.45032,0.0,11.17647,-4.47059,-0.63834,0.00141,21.02941,2.77941,1.49261,0.0,11.05882,-4.55882,-0.59604,0.00141,9.97059,7.33824,2.08866,0.0,0.0,0.0,0.0
cpt,areas_low_nonconnect,5,1,CPT-GREYSS1-TSN500-CPUTSPR--CPT-GREYCBD1-TSN277-CPUTB,0.09576,0.09589,0.00013,0.07631,0.00141,20.20588,1.97059,1.36439,-0.00273,11.27941,-3.72059,-0.80427,0.00829,10.45588,1.98529,1.88001,0.00415,1.52941,-3.70588,-0.28866,0.00141,20.88235,2.94118,1.46113,-0.00273,11.95588,-2.75,-0.70753,0.00141,20.79412,2.85294,1.49268,-0.00273,11.86765,-2.83824,-0.67598,0.00414,8.92647,5.69118,2.16866,0.0,0.0,0.0,0.0
cpt,areas_low_nonconnect,6,1,CPT-GREYSS1-TSN500-CPUTSPR--CPT-GREYSLB1-TSN103-CSIR,0.09589,0.13171,0.03582,0.07631,0.00194,20.11765,1.48529,1.37185,-0.0403,13.79412,-5.19118,-0.58078,0.00194,11.17647,1.72059,1.74853,-0.0403,4.85294,-4.95588,-0.2041,0.00194,20.70588,2.51471,1.53864,-0.0403,14.38235,-4.16176,-0.41399,0.00194,20.67647,2.82353,1.51229,-0.0403,14.35294,-3.85294,-0.44034,0.04223,6.32353,6.67647,1.95263,0.0,0.0,0.0,0.0
cpt,areas_low_nonconnect,7,1,CPT-GREYSS1-TSN500-CPUTSPR--CPT-GREYSLB1-TSN292-ARCINFR,0.13171,0.14691,0.0152,0.07631,0.00216,19.86765,1.48529,1.38179,-0.00552,13.67647,-6.77941,-1.3472,0.00216,10.69118,2.07353,1.81462,-0.00552,4.5,-6.19118,-0.91437,0.00216,20.69118,2.69118,1.51961,-0.00552,14.5,-5.57353,-1.20938,0.00216,20.57353,2.83824,1.52489,-0.00552,14.38235,-5.42647,-1.2041,0.00768,6.19118,8.26471,2.72899,0.0,0.0,0.0,0.0
cpt,areas_low_nonconnect,8,1,CPT-GREYCBD1-TSN276-CPUTOPT--CPT-GREYSS1-TSN495-UCTVH,0.14691,0.14699,9e-05,0.07631,0.00216,19.58824,1.57353,1.41471,-0.00808,13.33824,-4.05882,-1.41765,0.03157,10.82353,1.63235,1.71737,0.02133,4.57353,-4.0,-1.11499,0.00216,20.35294,2.52941,1.577,-0.00808,14.10294,-3.10294,-1.25536,0.00216,20.23529,2.75,1.51772,-0.00808,13.98529,-2.88235,-1.31464,0.01025,6.25,5.63235,2.83235,0.0,0.0,0.0,0.0
cpt,areas_low_nonconnect,9,1,CPT-GREYSS1-TSN500-CPUTSPR--CPT-GREYSS1-TSN169-UCTRHR,0.14699,0.14773,0.00073,0.07631,0.00217,19.51471,1.63235,1.44132,-0.00337,13.0,-5.26471,-1.18715,0.00217,10.88235,1.77941,1.76926,-0.00337,4.36765,-5.11765,-0.85921,0.00217,20.19118,2.86765,1.56348,-0.00337,13.67647,-4.02941,-1.06499,0.00217,20.36765,2.82353,1.54755,-0.00337,13.85294,-4.07353,-1.08092,0.00554,6.51471,6.89706,2.62847,0.0,0.0,0.0,0.0
cpt,areas_low_nonconnect,10,1,CPT-GREYCBD1-TSN276-CPUTOPT--CPT-GREYSS1-TSN273-CPUTGSR,0.14773,0.14775,3e-05,0.07631,0.00217,19.44118,1.48529,1.48242,-0.01754,10.38235,-5.04412,-0.80917,0.00217,10.72059,1.5,1.91413,-0.01754,1.66176,-5.02941,-0.37747,0.00217,20.98529,2.39706,1.51572,-0.01754,11.92647,-4.13235,-0.77588,0.00217,20.41176,2.82353,1.57598,-0.01754,11.35294,-3.70588,-0.71562,0.01972,9.05882,6.52941,2.2916,0.0,0.0,0.0,0.0
