node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
CPT-GREYCBD1-TSN24-NLSA,1,69,0.14772555565561052,12,1,6.142857142857143,random,0.14772555565561052,1.0,12.0,6.142857142857143
CPT-GREYSS2-TSN167-UCTRMH,2,68,0.11441505125504264,12,1,6.0,random,0.13107030345532658,1.0,12.0,6.071428571428571
CPT-GREYSS2-TSN170-UCTSSI,3,67,0.11478417465466732,12,1,5.857142857142857,random,0.12564159385510684,1.0,12.0,6.0
CPT-GREYSLB1-TSN235-ILABS-FAURE,4,66,5.799406626369445e-16,12,2,5.857142857142857,random,0.09423119539133026,1.25,12.0,5.964285714285714
ISANDO,5,65,8.547625181836782e-16,12,2,5.571428571428571,random,0.07538495631306438,1.4,12.0,5.885714285714285
CPT-GREYBEL1-TSN34-CPUTB,6,64,1.188527866201922e-16,11,2,5.571428571428571,random,0.06282079692755367,1.5,11.833333333333334,5.833333333333333
CPT-GREYBEL1-TSN812-UWC-DIH,7,63,2.425286118986354e-16,11,2,5.571428571428571,random,0.05384639736647461,1.5714285714285714,11.714285714285714,5.795918367346938
CPT-GREYSS1-TSN768-UCTCAN,8,62,7.313591206443423e-16,11,2,5.428571428571429,random,0.047115597695665375,1.625,11.625,5.75
CPT-GREYBEL1-TSN22-MRCCPT-PE,9,61,1.0886654265637018e-15,12,2,5.285714285714286,random,0.041880531285036014,1.6666666666666667,11.666666666666666,5.698412698412699
CPT-GREYSS2-TSN165-UCTLGR,10,60,2.011096518912333e-16,12,3,5.666666666666667,random,0.037692478156532434,1.8,11.7,5.6952380952380945
CPT-GREYSS2-TSN236-SARAO-PE,11,59,-2.391513792337114e-16,12,3,5.333333333333333,random,0.03426588923321128,1.9090909090909092,11.727272727272727,5.662337662337662
CPT-GREYSS1-TSN272-UCTDOR,12,58,-4.3623732853440604e-16,12,3,5.0,random,0.03141039846377697,2.0,11.75,5.607142857142857
CPT-GREYCBD2-TSN143-CPUTGB,13,57,-1.204912534990471e-16,11,3,5.0,random,0.028994213966563345,2.076923076923077,11.692307692307692,5.56043956043956
CPT-GREYBEL1-TSN487-MRCN,14,56,-7.791428295126328e-17,12,3,4.666666666666667,random,0.02692319868323739,2.142857142857143,11.714285714285714,5.496598639455782
CPT-GREYSLB1-TSN103-CSIR,15,55,3.9301433720832844e-18,12,3,4.666666666666667,random,0.025128318771021563,2.2,11.733333333333333,5.4412698412698415
CPT-GREYBEL1-TSN278-UWCT,16,54,-4.492287393312886e-17,11,3,4.333333333333333,random,0.02355779884783271,2.25,11.6875,5.372023809523809
CPT-GREYSS1-TSN500-CPUTSPR,17,53,-2.6854876308265027e-16,12,4,4.333333333333333,random,0.02217204597443077,2.3529411764705883,11.705882352941176,5.310924369747899
