node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
CPT-GREYCBD1-TSN650-NLSA-CFB,1,69,0.20432376656062726,12,1,5.285714285714286,random,0.20432376656062726,1.0,12.0,5.285714285714286
DUR,2,68,0.20314437704256916,13,1,5.285714285714286,random,0.2037340718015982,1.0,12.5,5.285714285714286
CPT-GREYBEL1-TSN147-CPUTT,3,67,0.20465542776084122,12,1,5.285714285714286,random,0.2040411904546792,1.0,12.333333333333334,5.285714285714286
ISANDO,4,66,0.19621647651239918,13,1,5.142857142857143,random,0.20208501196910922,1.0,12.5,5.25
CPT6,5,65,0.197150555875715,12,1,5.142857142857143,random,0.20109812075043038,1.0,12.4,5.228571428571429
CPT-TSN943-DHA-WYNBERG,6,64,0.14182596681379198,12,1,4.857142857142857,random,0.1912194284276573,1.0,12.333333333333334,5.166666666666667
CPT-GREYBEL1-TSN22-MRCCPT-PE,7,63,0.1422633597254645,11,1,4.857142857142857,random,0.18422570432734406,1.0,12.142857142857142,5.122448979591836
CPT-GREYCBD1-TSN277-CPUTB,8,62,-5.208534925716933e-16,9,2,4.714285714285714,random,0.16119749128642596,1.125,11.75,5.071428571428571
CPT-GREYSS2-TSN236-SARAO-PE,9,61,4.1622722519255685e-15,9,2,4.714285714285714,random,0.143286658921268,1.2222222222222223,11.444444444444445,5.031746031746032
WITS,10,60,9.24405439405419e-16,9,2,4.666666666666667,random,0.1289579930291413,1.3,11.2,4.995238095238095
BLOEM2,11,59,2.1026358604154822e-17,8,2,4.666666666666667,random,0.11723453911740117,1.3636363636363635,10.909090909090908,4.965367965367966
CPT-GREYCBD2-TSN215-HSRCCPT,12,58,-3.038659954773968e-16,7,2,4.666666666666667,random,0.10746499419095105,1.4166666666666667,10.583333333333334,4.940476190476191
CPT-GREYBEL1-TSN493-CGSB,13,57,2.963038883244477e-16,7,2,4.333333333333333,random,0.09919845617626252,1.4615384615384615,10.307692307692308,4.893772893772894
CPT-GREYCBD1-TSN18-IZMU,14,56,9.764105213163315e-16,7,2,4.166666666666667,random,0.09211285216367242,1.5,10.071428571428571,4.841836734693878
CPT-GREYBEL1-TSN207-USBS-PE,15,55,6.196598395208124e-16,8,2,4.0,random,0.08597199535276095,1.5333333333333334,9.933333333333334,4.7857142857142865
SMT-TSN590-IMT,16,54,2.3118676447433147e-17,8,3,4.0,random,0.08059874564321341,1.625,9.8125,4.736607142857143
CPT-GREYBEL1-TSN34-CPUTB,17,53,7.579326321737836e-17,7,3,4.0,random,0.07585764295831851,1.7058823529411764,9.647058823529411,4.69327731092437
CPT3,18,52,2.3004527206817707e-16,7,3,4.0,random,0.07164332946063416,1.7777777777777777,9.5,4.654761904761905
CPT-GREYCBD1-TSN4-CPUTCPT,19,51,-1.618113539462577e-17,9,7,2.8333333333333335,random,0.06787262791007447,2.0526315789473686,9.473684210526315,4.5588972431077694
CPT9,20,50,-5.610368948591519e-16,9,8,3.0,random,0.0644789965145707,2.35,9.45,4.480952380952381
