graph,strategy,step,num_edges_added_this_step,edges_added,aG_before,aG_after,Delta_aG,aG_baseline0,AUC_aG__betweeness,AUC_e0_mult__betweeness,AUC_e1_mult__betweeness,AUC_CIS__betweeness,Delta_aG_vs_random__betweeness,Delta_e0_mult_vs_random__betweeness,Delta_e1_mult_vs_random__betweeness,Delta_CIS_vs_random__betweeness,AUC_aG__closeness,AUC_e0_mult__closeness,AUC_e1_mult__closeness,AUC_CIS__closeness,Delta_aG_vs_random__closeness,Delta_e0_mult_vs_random__closeness,Delta_e1_mult_vs_random__closeness,Delta_CIS_vs_random__closeness,AUC_aG__core_influence,AUC_e0_mult__core_influence,AUC_e1_mult__core_influence,AUC_CIS__core_influence,Delta_aG_vs_random__core_influence,Delta_e0_mult_vs_random__core_influence,Delta_e1_mult_vs_random__core_influence,Delta_CIS_vs_random__core_influence,AUC_aG__degree,AUC_e0_mult__degree,AUC_e1_mult__degree,AUC_CIS__degree,Delta_aG_vs_random__degree,Delta_e0_mult_vs_random__degree,Delta_e1_mult_vs_random__degree,Delta_CIS_vs_random__degree,AUC_aG__random,AUC_e0_mult__random,AUC_e1_mult__random,AUC_CIS__random,Delta_aG_vs_random__random,Delta_e0_mult_vs_random__random,Delta_e1_mult_vs_random__random,Delta_CIS_vs_random__random
cpt,highest_degree_pair,1,1,CPT3--CPT-GREYBEL1-TSN22-MRCCPT-PE,0.07631,0.07741,0.0011,0.07631,0.00114,21.0,1.94118,1.38754,-0.00232,13.64706,-4.04412,-1.2313,0.00114,11.64706,2.38235,1.65084,-0.00232,4.29412,-3.60294,-0.968,0.00114,20.85294,2.54412,1.46647,-0.00232,13.5,-3.44118,-1.15236,0.00114,21.39706,2.45588,1.46183,-0.00232,14.04412,-3.52941,-1.157,0.00346,7.35294,5.98529,2.61884,0.0,0.0,0.0,0.0
cpt,highest_degree_pair,2,1,CPT3--CPT5,0.07741,0.07759,0.00018,0.07631,0.00114,21.17647,1.86765,1.40749,-0.00542,11.5,-3.55882,-0.57356,0.00114,12.08824,2.13235,1.59377,-0.00542,2.41176,-3.29412,-0.38729,0.00114,20.07353,2.55882,1.5833,-0.00542,10.39706,-2.86765,-0.39776,0.00114,21.39706,2.45588,1.46394,-0.00542,11.72059,-2.97059,-0.51712,0.00656,9.67647,5.42647,1.98106,0.0,0.0,0.0,0.0
cpt,highest_degree_pair,3,1,CPT3--CPT6,0.07759,0.07797,0.00038,0.07631,0.00115,21.20588,1.92647,1.38704,-0.00345,13.33824,-5.60294,-1.4763,0.00115,12.10294,2.05882,1.58536,-0.00345,4.23529,-5.47059,-1.27798,0.00115,19.70588,2.95588,1.64119,-0.00345,11.83824,-4.57353,-1.22215,0.00115,21.39706,2.45588,1.46814,-0.00345,13.52941,-5.07353,-1.3952,0.00459,7.86765,7.52941,2.86334,0.0,0.0,0.0,0.0
cpt,highest_degree_pair,4,1,CPT3--CPT-GREYBEL1-TSN207-USBS-PE,0.07797,0.07802,4e-05,0.07631,0.00115,21.20588,1.92647,1.33606,0.0,10.60294,-3.32353,-0.53372,0.00115,12.64706,2.17647,1.48431,-0.0,2.04412,-3.07353,-0.38547,0.00115,20.98529,2.95588,1.44083,-0.0,10.38235,-2.29412,-0.42896,0.00115,21.39706,2.45588,1.43242,0.0,10.79412,-2.79412,-0.43736,0.00115,10.60294,5.25,1.86978,0.0,0.0,0.0,0.0
cpt,highest_degree_pair,5,1,CPT3--CPT-GREYBEL1-TSN147-CPUTT,0.07802,0.0781,9e-05,0.07631,0.00115,21.32353,1.98529,1.31197,-0.00429,12.13235,-5.17647,-0.60994,0.00115,13.02941,2.27941,1.57766,-0.00429,3.83824,-4.88235,-0.34426,0.00115,19.30882,2.79412,1.41632,-0.00429,10.11765,-4.36765,-0.5056,0.00115,21.41176,2.44118,1.43312,-0.00429,12.22059,-4.72059,-0.4888,0.00543,9.19118,7.16176,1.92192,0.0,0.0,0.0,0.0
cpt,highest_degree_pair,6,1,CPT3--CPT-GREYCBD1-TSN163-UCT-HID,0.0781,0.08622,0.00812,0.07631,0.00127,22.08824,2.0,1.26639,-0.01374,13.42647,-4.16176,-0.83578,0.00689,14.66176,2.79412,1.50406,-0.00813,6.0,-3.36765,-0.59811,0.00127,19.25,3.13235,1.44958,-0.01374,10.58824,-3.02941,-0.65259,0.00127,21.41176,2.45588,1.43487,-0.01374,12.75,-3.70588,-0.6673,0.01501,8.66176,6.16176,2.10217,0.0,0.0,0.0,0.0
cpt,highest_degree_pair,7,1,CPT3--CPT-GREYCBD1-TSN18-IZMU,0.08622,0.08675,0.00053,0.07631,0.00128,22.07353,1.98529,1.30161,-0.0051,15.73529,-6.14706,-1.11604,0.00689,14.70588,2.80882,1.5195,0.00052,8.36765,-5.32353,-0.89814,0.00128,19.23529,3.17647,1.41234,-0.0051,12.89706,-4.95588,-1.0053,0.00128,21.39706,2.45588,1.45168,-0.0051,15.05882,-5.67647,-0.96597,0.00638,6.33824,8.13235,2.41765,0.0,0.0,0.0,0.0
cpt,highest_degree_pair,8,1,CPT3--CPT-GREYCBD1-TSN4-CPUTCPT,0.08675,0.08722,0.00047,0.07631,0.00128,21.97059,1.97059,1.32199,0.0,8.95588,-1.42647,-0.46425,0.0069,15.32353,2.80882,1.50326,0.00562,2.30882,-0.58824,-0.28298,0.00128,19.80882,3.41176,1.45082,0.0,6.79412,0.01471,-0.33542,0.00128,21.39706,2.45588,1.44678,0.0,8.38235,-0.94118,-0.33946,0.00128,13.01471,3.39706,1.78624,0.0,0.0,0.0,0.0
cpt,highest_degree_pair,9,1,CPT3--CPT-GREYCBD1-TSN24-NLSA,0.08722,0.08732,0.0001,0.07631,0.00128,21.95588,1.91176,1.31548,-0.00257,15.29412,-5.05882,-1.32286,0.0069,15.39706,2.82353,1.5181,0.00305,8.73529,-4.14706,-1.12024,0.00128,19.20588,3.23529,1.49685,-0.00257,12.54412,-3.73529,-1.14149,0.00128,21.38235,2.47059,1.46148,-0.00257,14.72059,-4.5,-1.17686,0.00386,6.66176,6.97059,2.63834,0.0,0.0,0.0,0.0
cpt,highest_degree_pair,10,1,CPT3--CPT-GREYSS1-TSN145-CPUTM,0.08732,0.14318,0.05586,0.07631,0.00211,22.75,1.77941,1.29377,-0.01127,13.35294,-5.63235,-0.91282,0.00211,17.29412,3.0,1.38127,-0.01127,7.89706,-4.41176,-0.82532,0.00211,21.64706,2.44118,1.28512,-0.01127,12.25,-4.97059,-0.92146,0.00211,21.39706,2.48529,1.46148,-0.01127,12.0,-4.92647,-0.7451,0.01337,9.39706,7.41176,2.20658,0.0,0.0,0.0,0.0
