node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
CPT-GREYSS2-TSN167-UCTRMH,1,69,0.07759132403370479,12,1,5.714285714285714,random,0.07759132403370479,1.0,12.0,5.714285714285714
CPT-GREYSS1-TSN804-SKAO-BRP,2,68,0.07758751407498225,12,1,5.571428571428571,random,0.07758941905434352,1.0,12.0,5.642857142857142
CPT-GREYBEL1-TSN174-UNIBEL,3,67,0.05066827607196918,12,1,5.285714285714286,random,0.0686157047268854,1.0,12.0,5.523809523809523
CPT-GREYBEL1-TSN812-UWC-DIH,4,66,0.05075435282631194,12,1,5.142857142857143,random,0.06415036675174204,1.0,12.0,5.428571428571429
CPT-GREYCBD1-TSN18-IZMU,5,65,0.050851371547030524,12,1,5.142857142857143,random,0.061490567710799734,1.0,12.0,5.371428571428572
CPT-GREYBEL1-TSN585-UWC-FCHS,6,64,0.046184190730567516,12,1,5.0,random,0.05893950488076103,1.0,12.0,5.309523809523809
CPT-GREYBEL1-TSN22-MRCCPT-PE,7,63,0.04618534567071942,12,1,4.857142857142857,random,0.057117482136469375,1.0,12.0,5.244897959183674
CPT-GREYSS1-TSN463-DFA-PLN,8,62,0.046113507037824256,12,1,4.428571428571429,random,0.05574198524913873,1.0,12.0,5.142857142857143
MTZ,9,61,1.739511917149166e-15,12,2,4.285714285714286,random,0.049548431332567956,1.1111111111111112,12.0,5.0476190476190474
CPT-GREYSLB1-TSN235-ILABS-FAURE,10,60,-2.683883688406937e-16,11,2,4.333333333333333,random,0.044593588199311134,1.2,11.9,4.976190476190476
CPT2,11,59,1.62985190027882e-16,11,2,4.0,random,0.04053962563573741,1.2727272727272727,11.818181818181818,4.887445887445887
CPT-GREYSS1-TSN500-CPUTSPR,12,58,-1.644633793748349e-16,10,3,1.8333333333333333,random,0.03716132349942595,1.4166666666666667,11.666666666666666,4.632936507936508
DUR,13,57,-3.595467455649576e-18,11,3,1.6666666666666667,random,0.03430276015331626,1.5384615384615385,11.615384615384615,4.404761904761904
BLOEM2,14,56,3.377910405901675e-17,10,3,1.6666666666666667,random,0.031852562999507956,1.6428571428571428,11.5,4.209183673469388
