graph,strategy,step,num_edges_added_this_step,edges_added,nr_aG_baseline,nr_e0_mult_baseline,nr_e1_mult_baseline,nr_CIS_baseline,nr_aG_before,nr_e0_mult_before,nr_e1_mult_before,nr_CIS_before,nr_aG_after,nr_e0_mult_after,nr_e1_mult_after,nr_CIS_after,nr_cumAUC_aG,nr_cumAUC_e0_mult,nr_cumAUC_e1_mult,nr_cumAUC_CIS,aG_before,aG_after,Delta_aG,aG_baseline0,AUC_aG__betweeness,AUC_e0_mult__betweeness,AUC_e1_mult__betweeness,AUC_CIS__betweeness,Delta_aG_vs_random__betweeness,Delta_e0_mult_vs_random__betweeness,Delta_e1_mult_vs_random__betweeness,Delta_CIS_vs_random__betweeness,AUC_aG__closeness,AUC_e0_mult__closeness,AUC_e1_mult__closeness,AUC_CIS__closeness,Delta_aG_vs_random__closeness,Delta_e0_mult_vs_random__closeness,Delta_e1_mult_vs_random__closeness,Delta_CIS_vs_random__closeness,AUC_aG__core_influence,AUC_e0_mult__core_influence,AUC_e1_mult__core_influence,AUC_CIS__core_influence,Delta_aG_vs_random__core_influence,Delta_e0_mult_vs_random__core_influence,Delta_e1_mult_vs_random__core_influence,Delta_CIS_vs_random__core_influence,AUC_aG__degree,AUC_e0_mult__degree,AUC_e1_mult__degree,AUC_CIS__degree,Delta_aG_vs_random__degree,Delta_e0_mult_vs_random__degree,Delta_e1_mult_vs_random__degree,Delta_CIS_vs_random__degree,AUC_aG__random,AUC_e0_mult__random,AUC_e1_mult__random,AUC_CIS__random,Delta_aG_vs_random__random,Delta_e0_mult_vs_random__random,Delta_e1_mult_vs_random__random,Delta_CIS_vs_random__random
cpt,mrkc_heuristic,1,1,AMLIGHT--CPT1,0.07631,1,12,5.28571,0.07631,1,12,5.28571,0.07721,1,11,5.57143,0.07676,1.0,11.5,5.42857,0.07631,0.07721,0.00091,0.07631,0.00114,21.13235,2.01471,1.34454,-0.0023,13.69118,-3.52941,-1.42003,0.00114,11.42647,2.0,1.52546,-0.0023,3.98529,-3.54412,-1.23911,0.00114,20.35294,2.75,1.47204,-0.0023,12.91176,-2.79412,-1.29252,0.00114,21.38235,2.45588,1.46183,-0.0023,13.94118,-3.08824,-1.30273,0.00344,7.44118,5.54412,2.76457,0.0,0.0,0.0,0.0
cpt,mrkc_heuristic,2,1,BAAI--CPT1,0.07631,1,12,5.28571,0.07721,1,11,5.57143,0.07783,1,10,5.85714,0.07712,1.0,11.0,5.57143,0.07721,0.07783,0.00062,0.07631,0.00114,21.13235,2.0,1.33697,-0.00542,11.54412,-2.72059,-0.71373,0.00114,11.23529,2.08824,1.50102,-0.00542,1.64706,-2.63235,-0.54968,0.00114,19.89706,2.82353,1.54238,-0.00542,10.30882,-1.89706,-0.50832,0.00114,21.36765,2.45588,1.46394,-0.00542,11.77941,-2.26471,-0.58676,0.00656,9.58824,4.72059,2.0507,0.0,0.0,0.0,0.0
cpt,mrkc_heuristic,3,1,BLOEM--CPT3,0.07631,1,12,5.28571,0.07783,1,10,5.85714,0.07837,1,9,6.14286,0.07743,1.0,10.5,5.71429,0.07783,0.07837,0.00054,0.07631,0.00115,21.11765,2.0,1.34118,-0.00347,13.30882,-4.42647,-1.57819,0.00115,11.05882,2.10294,1.54975,-0.00347,3.25,-4.32353,-1.36961,0.00115,20.48529,2.97059,1.50005,-0.00347,12.67647,-3.45588,-1.41931,0.00115,21.10294,2.5,1.46691,-0.00347,13.29412,-3.92647,-1.45245,0.00462,7.80882,6.42647,2.91936,0.0,0.0,0.0,0.0
cpt,mrkc_heuristic,4,1,BLOEM2--CPT1,0.07631,1,12,5.28571,0.07837,1,9,6.14286,0.0787,1,8,6.42857,0.07768,1.0,10.0,5.85714,0.07837,0.0787,0.00033,0.07631,0.00116,21.10294,1.98529,1.34328,-0.0,11.02941,-2.38235,-0.95742,0.00116,10.86765,2.19118,1.49499,-0.0,0.79412,-2.17647,-0.80571,0.00116,19.35294,2.83824,1.58388,-0.0,9.27941,-1.52941,-0.71682,0.00116,20.82353,2.55882,1.47504,-0.0,10.75,-1.80882,-0.82567,0.00116,10.07353,4.36765,2.3007,0.0,0.0,0.0,0.0
cpt,mrkc_heuristic,5,1,CPT-GREYSLB1-TSN103-CSIR--CPT3,0.07631,1,12,5.28571,0.0787,1,8,6.42857,0.0792,1,7,6.57143,0.07794,1.0,9.5,5.97619,0.0787,0.0792,0.00051,0.07631,0.00116,20.98529,2.05882,1.33627,-0.00434,12.44118,-4.89706,-0.90441,0.00116,10.54412,1.95588,1.52924,-0.00434,2.0,-5.0,-0.71145,0.00116,20.66176,3.11765,1.5514,-0.00434,12.11765,-3.83824,-0.68929,0.00116,20.70588,2.57353,1.48204,-0.00434,12.16176,-4.38235,-0.75865,0.00551,8.54412,6.95588,2.24069,0.0,0.0,0.0,0.0
cpt,mrkc_heuristic,6,1,CPT-GREYSLB1-TSN292-ARCINFR--CPT3,0.07631,1,12,5.28571,0.0792,1,7,6.57143,0.07943,1,8,6.85714,0.07815,1.0,9.28571,6.10204,0.0792,0.07943,0.00023,0.07631,0.00117,20.75,2.32353,1.34279,-0.01259,12.75,-3.47059,-1.57202,0.00117,10.38235,2.0,1.53197,-0.01259,2.38235,-3.79412,-1.38284,0.00117,20.97059,2.47059,1.49846,-0.01259,12.97059,-3.32353,-1.41635,0.00117,20.58824,2.61765,1.49359,-0.01259,12.58824,-3.17647,-1.42122,0.01376,8.0,5.79412,2.91481,0.0,0.0,0.0,0.0
cpt,mrkc_heuristic,7,1,CPT-GREYSS1-TSN495-UCTVH--CPT3,0.07631,1,12,5.28571,0.07943,1,8,6.85714,0.09071,1,8,7.0,0.07972,1.0,9.125,6.21429,0.07943,0.09071,0.01128,0.07631,0.00133,20.52941,2.45588,1.34463,-0.00219,13.66176,-4.04412,-1.0921,0.00133,10.32353,2.04412,1.48652,-0.00219,3.45588,-4.45588,-0.95021,0.00133,20.41176,3.05882,1.55984,-0.00219,13.54412,-3.44118,-0.87689,0.00133,20.52941,2.64706,1.5055,-0.00219,13.66176,-3.85294,-0.93123,0.00352,6.86765,6.5,2.43673,0.0,0.0,0.0,0.0
cpt,mrkc_heuristic,8,1,CPT-GREYSS1-TSN500-CPUTSPR--CPT3,0.07631,1,12,5.28571,0.09071,1,8,7.0,0.09798,1,8,7.14286,0.08175,1.0,9.0,6.31746,0.09071,0.09798,0.00727,0.07631,0.00144,20.45588,2.41176,1.36162,0.0,8.54412,-2.02941,-0.46891,0.03085,10.58824,1.54412,1.54503,0.02941,-1.32353,-2.89706,-0.2855,0.00144,20.98529,2.39706,1.60077,0.0,9.07353,-2.04412,-0.22976,0.00144,20.44118,2.67647,1.5076,0.0,8.52941,-1.76471,-0.32293,0.00144,11.91176,4.44118,1.83053,0.0,0.0,0.0,0.0
cpt,mrkc_heuristic,9,1,CPT-TSN943-DHA-WYNBERG--CPT1,0.07631,1,12,5.28571,0.09798,1,8,7.14286,0.09888,1,7,7.42857,0.08346,1.0,8.8,6.42857,0.09798,0.09888,0.0009,0.07631,0.00145,20.44118,2.41176,1.36583,-0.00875,13.07353,-3.36765,-1.168,0.03087,10.29412,1.64706,1.58746,0.02066,2.92647,-4.13235,-0.94636,0.00145,20.91176,2.32353,1.52826,-0.00875,13.54412,-3.45588,-1.00557,0.00145,20.42647,2.67647,1.5118,-0.00875,13.05882,-3.10294,-1.02202,0.01021,7.36765,5.77941,2.53382,0.0,0.0,0.0,0.0
cpt,mrkc_heuristic,10,1,DUR--CPT1,0.07631,1,12,5.28571,0.09888,1,7,7.42857,0.09962,1,6,7.71429,0.08493,1.0,8.54545,6.54545,0.09888,0.09962,0.00074,0.07631,0.00147,20.44118,2.41176,1.37003,-0.01376,12.39706,-5.76471,-2.0756,0.03088,10.10294,1.73529,1.55588,0.01565,2.05882,-6.44118,-1.88974,0.00147,20.73529,2.44118,1.48834,-0.01376,12.69118,-5.73529,-1.95728,0.00147,20.41176,2.67647,1.516,-0.01376,12.36765,-5.5,-1.92962,0.01523,8.04412,8.17647,3.44562,0.0,0.0,0.0,0.0
