node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
CPT-GREYSS2-TSN170-UCTSSI,1,69,0.0907086079309379,8,1,7.0,random,0.0907086079309379,1.0,8.0,7.0
CPT6,2,68,0.09071086369375171,8,1,6.857142857142857,random,0.09070973581234482,1.0,8.0,6.928571428571429
CPT-GREYBEL1-TSN207-USBS-PE,3,67,0.05804140583044417,8,1,6.428571428571429,random,0.07982029248504459,1.0,8.0,6.761904761904762
CPT-GREYCBD2-TSN109-SANAP,4,66,1.1927041951577602e-15,7,2,3.142857142857143,random,0.059865219363783743,1.25,7.75,5.857142857142857
CPT-GREYSS1-TSN145-CPUTM,5,65,1.030346662157655e-15,8,2,3.142857142857143,random,0.0478921754910272,1.4,7.8,5.314285714285714
CPT-GREYBEL1-TSN278-UWCT,6,64,-2.36652477374167e-16,8,3,4.142857142857143,random,0.03991014624252263,1.6666666666666667,7.833333333333333,5.1190476190476195
CPT2,7,63,-1.0242577027162292e-15,8,3,5.428571428571429,random,0.034208696779304965,1.8571428571428572,7.857142857142857,5.163265306122449
CPT-GREYSS1-TSN500-CPUTSPR,8,62,2.8079345750463687e-16,7,4,4.428571428571429,random,0.02993260968189188,2.125,7.75,5.071428571428571
CPT-GREYSS1-TSN768-UCTCAN,9,61,-5.631808087896128e-16,7,3,4.142857142857143,random,0.026606764161681607,2.2222222222222223,7.666666666666667,4.968253968253968
CPT-GREYBEL1-TSN493-CGSB,10,60,-4.1094785151908587e-16,7,3,5.0,random,0.023946087745513406,2.3,7.6,4.9714285714285715
CPT-GREYBEL1-TSN208-USTYG,11,59,9.283278735383292e-17,8,4,4.666666666666667,random,0.021769170677739466,2.4545454545454546,7.636363636363637,4.9437229437229435
CPT-GREYSS1-TSN39-SAAO,12,58,-4.816717864230555e-16,8,4,4.5,random,0.01995507312126114,2.5833333333333335,7.666666666666667,4.906746031746032
CPT9,13,57,-6.416752146603555e-16,10,5,1.8333333333333333,random,0.018420067496548696,2.769230769230769,7.846153846153846,4.670329670329671
CPT-GREYCBD1-TSN18-IZMU,14,56,-1.1230161798106585e-15,9,6,3.1666666666666665,random,0.017104348389652278,3.0,7.928571428571429,4.562925170068027
BLOEM2,15,55,-5.644346980743733e-16,9,6,1.8333333333333333,random,0.015964058497008757,3.2,8.0,4.380952380952381
CPT-GREYCBD1-TSN275-MCM,16,54,4.048729739754822e-16,9,6,3.0,random,0.014966304840945735,3.375,8.0625,4.294642857142858
BLOEM,17,53,-9.724019956451873e-16,10,7,3.0,random,0.014085933967948869,3.588235294117647,8.176470588235293,4.218487394957983
CPT-GREYBEL1-TSN34-CPUTB,18,52,-6.181409518288204e-16,10,7,3.1666666666666665,random,0.013303382080840564,3.7777777777777777,8.277777777777779,4.16005291005291
CPT-GREYSLB1-TSN292-ARCINFR,19,51,-1.1295254523409239e-15,10,6,2.8333333333333335,random,0.01260320407658574,3.8947368421052633,8.368421052631579,4.090225563909775
CPT-TSN943-DHA-WYNBERG,20,50,-2.577554447298474e-16,10,6,1.5,random,0.011973043872756437,4.0,8.45,3.9607142857142863
CPT-GREYCBD1-TSN163-UCT-HID,21,49,-9.167147620828677e-16,9,6,2.3333333333333335,random,0.01140289892643466,4.095238095238095,8.476190476190476,3.8832199546485264
CPT8,22,48,-4.3947450379121344e-16,9,6,3.2,random,0.010884585338869428,4.181818181818182,8.5,3.8521645021645026
CPT-GREYSS1-TSN169-UCTRHR,23,47,-5.902730542823429e-16,10,6,3.2,random,0.010411342498048991,4.260869565217392,8.565217391304348,3.8238095238095235
CPT-GREYSS1-TSN495-UCTVH,24,46,-1.414468448780756e-15,10,7,3.2,random,0.009977536560630225,4.375,8.625,3.7978174603174604
AMLIGHT,25,45,-8.759959904721648e-16,9,7,2.8,random,0.009578435098204982,4.48,8.64,3.757904761904762
CPT-GREYBEL1-TSN585-UWC-FCHS,26,44,-1.0489986882418767e-15,9,7,1.6,random,0.00921003374827398,4.576923076923077,8.653846153846153,3.674908424908425
CPT-GREYCBD1-TSN650-NLSA-CFB,27,43,-4.1254455926518234e-16,9,6,1.6,random,0.00886892138722678,4.62962962962963,8.666666666666666,3.598059964726631
