node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
ISANDO,1,69,0.10204025782877096,10,1,6.285714285714286,random,0.10204025782877096,1.0,10.0,6.285714285714286
WACS,2,68,0.10232067978546411,9,1,6.285714285714286,random,0.10218046880711754,1.0,9.5,6.285714285714286
WITS,3,67,0.10257396388563285,8,1,6.285714285714286,random,0.1023116338332893,1.0,9.0,6.285714285714286
CPT-GREYSS2-TSN271-UCTRBG,4,66,0.10282617729120642,8,1,6.0,random,0.1024402696977686,1.0,8.75,6.214285714285714
BLOEM,5,65,0.10294573931661655,10,1,5.714285714285714,random,0.10254136362153818,1.0,9.0,6.114285714285714
CPT-GREYBEL1-TSN812-UWC-DIH,6,64,0.10320691724072098,9,1,5.714285714285714,random,0.10265228922473531,1.0,9.0,6.0476190476190474
SMT-TSN590-IMT,7,63,0.10342385520939582,8,1,5.714285714285714,random,0.10276251293682967,1.0,8.857142857142858,6.0
CPT-GREYBEL1-TSN174-UNIBEL,8,62,0.10376390424534412,7,1,5.714285714285714,random,0.10288768685039398,1.0,8.625,5.964285714285714
CPT-GREYSS1-TSN500-CPUTSPR,9,61,0.10225945207804815,7,1,5.428571428571429,random,0.1028178829868,1.0,8.444444444444445,5.904761904761905
CPT-GREYCBD1-TSN650-NLSA-CFB,10,60,0.1142875338454024,6,1,5.833333333333333,random,0.10396484807266024,1.0,8.2,5.897619047619047
CPT-GREYBEL1-TSN207-USBS-PE,11,59,0.11322506072087028,7,1,5.833333333333333,random,0.10480668558613387,1.0,8.090909090909092,5.891774891774892
CPT-GREYBEL1-TSN34-CPUTB,12,58,0.11084660820786989,7,1,5.666666666666667,random,0.10531001247127854,1.0,8.0,5.8730158730158735
CPT-GREYCBD2-TSN143-CPUTGB,13,57,2.532005219463766e-15,7,2,5.0,random,0.09720924228118039,1.0769230769230769,7.923076923076923,5.8058608058608066
BLOEM2,14,56,-1.9680551516507443e-16,7,2,4.833333333333333,random,0.09026572497538178,1.1428571428571428,7.857142857142857,5.73639455782313
CPT-GREYCBD2-TSN164-UCTBS,15,55,2.1671455562950109e-16,7,2,4.666666666666667,random,0.08424800997702302,1.2,7.8,5.665079365079365
CPT-GREYCBD1-TSN490-CPGR,16,54,1.7979183637274328e-16,7,2,4.5,random,0.07898250935345907,1.25,7.75,5.592261904761905
WACS2,17,53,2.4809136722361386e-16,7,2,4.333333333333333,random,0.0743364793914909,1.2941176470588236,7.705882352941177,5.518207282913165
CPT-GREYCBD2-TSN215-HSRCCPT,18,52,6.972571850203369e-16,6,2,4.333333333333333,random,0.07020667498085258,1.3333333333333333,7.611111111111111,5.4523809523809526
CPT7,19,51,8.892648090519536e-16,5,2,4.333333333333333,random,0.06651158682396564,1.368421052631579,7.473684210526316,5.393483709273183
CPT-GREYBEL1-TSN22-MRCCPT-PE,20,50,5.660210006604825e-16,6,2,3.8,random,0.06318600748276738,1.4,7.4,5.313809523809524
CPT-GREYSLB1-TSN103-CSIR,21,49,9.242480660480648e-16,6,2,3.8,random,0.06017714998358802,1.4285714285714286,7.333333333333333,5.241723356009071
CPT-GREYSS1-TSN144-CPUTGSH,22,48,5.827433606539284e-16,5,2,3.8,random,0.057441824984334054,1.4545454545454546,7.2272727272727275,5.1761904761904765
CPT-GREYBEL1-TSN278-UWCT,23,47,1.18824917867617e-15,5,2,3.6,random,0.05494435433284132,1.4782608695652173,7.130434782608695,5.107660455486543
CPT8,24,46,2.1707669562920016e-16,5,2,3.4,random,0.0526550062356396,1.5,7.041666666666667,5.036507936507936
CPT-GREYSS2-TSN170-UCTSSI,25,45,5.315639782600828e-16,4,2,3.4,random,0.05054880598621405,1.52,6.92,4.971047619047619
