graph,strategy,step,num_edges_added_this_step,edges_added,aG_before,aG_after,Delta_aG,aG_baseline0,AUC_aG__betweeness,AUC_e0_mult__betweeness,AUC_e1_mult__betweeness,AUC_CIS__betweeness,Delta_aG_vs_random__betweeness,Delta_e0_mult_vs_random__betweeness,Delta_e1_mult_vs_random__betweeness,Delta_CIS_vs_random__betweeness,AUC_aG__closeness,AUC_e0_mult__closeness,AUC_e1_mult__closeness,AUC_CIS__closeness,Delta_aG_vs_random__closeness,Delta_e0_mult_vs_random__closeness,Delta_e1_mult_vs_random__closeness,Delta_CIS_vs_random__closeness,AUC_aG__core_influence,AUC_e0_mult__core_influence,AUC_e1_mult__core_influence,AUC_CIS__core_influence,Delta_aG_vs_random__core_influence,Delta_e0_mult_vs_random__core_influence,Delta_e1_mult_vs_random__core_influence,Delta_CIS_vs_random__core_influence,AUC_aG__degree,AUC_e0_mult__degree,AUC_e1_mult__degree,AUC_CIS__degree,Delta_aG_vs_random__degree,Delta_e0_mult_vs_random__degree,Delta_e1_mult_vs_random__degree,Delta_CIS_vs_random__degree,AUC_aG__random,AUC_e0_mult__random,AUC_e1_mult__random,AUC_CIS__random,Delta_aG_vs_random__random,Delta_e0_mult_vs_random__random,Delta_e1_mult_vs_random__random,Delta_CIS_vs_random__random
dur,areas_low_nonconnect,1,1,DBN-GREY1-TSN497-CAPRISA-DDMRI--DBN-TSN935-DHA-UMGENI,0.21591,0.28651,0.0706,0.21591,0.01102,9.03846,0.96154,1.44231,-0.00388,4.53846,-0.92308,-0.38782,0.01102,6.73077,1.0,1.69231,-0.00388,2.23077,-0.88462,-0.13782,0.01296,9.23077,1.38462,1.51282,-0.00194,4.73077,-0.5,-0.31731,0.01102,9.53846,0.84615,1.42308,-0.00388,5.03846,-1.03846,-0.40705,0.0149,4.5,1.88462,1.83013,0.0,0.0,0.0,0.0
dur,areas_low_nonconnect,2,1,DBN-GREY1-TSN498-CAPRISA-ECRS--DBN-TSN935-DHA-UMGENI,0.28651,0.30575,0.01924,0.21591,0.01176,8.96154,1.03846,1.5,-0.0481,4.65385,-1.19231,-0.70513,0.01176,6.69231,1.07692,1.62821,-0.0481,2.38462,-1.15385,-0.57692,0.01176,9.07692,0.84615,1.42308,-0.0481,4.76923,-1.38462,-0.78205,0.01176,9.38462,0.69231,1.39103,-0.0481,5.07692,-1.53846,-0.8141,0.05986,4.30769,2.23077,2.20513,0.0,0.0,0.0,0.0
dur,areas_low_nonconnect,3,1,DBN-GREY1-TSN497-CAPRISA-DDMRI--PHU,0.30575,0.37248,0.06673,0.21591,0.01433,8.69231,1.0,1.45513,-0.07522,6.0,-0.73077,-1.80128,0.01433,6.07692,1.15385,1.69872,-0.07522,3.38462,-0.57692,-1.55769,0.01433,8.69231,0.96154,1.52564,-0.07522,6.0,-0.76923,-1.73077,0.01433,9.26923,0.73077,1.41026,-0.07522,6.57692,-1.0,-1.84615,0.08955,2.69231,1.73077,3.25641,0.0,0.0,0.0,0.0
dur,areas_low_nonconnect,4,1,DBN-GREY1-TSN498-CAPRISA-ECRS--PHU,0.37248,0.37274,0.00025,0.21591,0.01434,8.61538,0.92308,1.47756,-0.08892,6.38462,-1.53846,-1.5609,0.01434,5.96154,1.15385,1.70192,-0.08892,3.73077,-1.30769,-1.33654,0.01434,8.15385,0.92308,1.49038,-0.08892,5.92308,-1.53846,-1.54808,0.01434,9.03846,0.84615,1.47115,-0.08892,6.80769,-1.61538,-1.56731,0.10326,2.23077,2.46154,3.03846,0.0,0.0,0.0,0.0
dur,areas_low_nonconnect,5,1,DBN-GREY1-TSN497-CAPRISA-DDMRI--DBN-GREY1-TSN11-DUTS,0.37274,0.43807,0.06533,0.21591,0.01685,8.53846,1.07692,1.60897,-0.24595,6.92308,-2.11538,-1.21154,0.01685,6.42308,1.11538,1.75,-0.24595,4.80769,-2.07692,-1.07051,0.01685,8.92308,0.88462,1.5,-0.24595,7.30769,-2.30769,-1.32051,0.01685,9.03846,0.88462,1.51923,-0.24595,7.42308,-2.30769,-1.30128,0.2628,1.61538,3.19231,2.82051,0.0,0.0,0.0,0.0
dur,areas_low_nonconnect,6,1,DBN-GREY1-TSN498-CAPRISA-ECRS--DBN-GREY1-TSN11-DUTS,0.43807,0.43882,0.00076,0.21591,0.01688,8.42308,1.11538,1.65385,-0.04873,4.61538,-0.53846,-0.82692,0.0938,6.42308,1.11538,1.66026,0.02819,2.61538,-0.53846,-0.82051,0.01688,9.15385,0.76923,1.60256,-0.04873,5.34615,-0.88462,-0.87821,0.01688,9.0,0.88462,1.58333,-0.04873,5.19231,-0.76923,-0.89744,0.06561,3.80769,1.65385,2.48077,0.0,0.0,0.0,0.0
dur,areas_low_nonconnect,7,1,DBN-TSN935-DHA-UMGENI--PHU,0.43882,0.44227,0.00344,0.21591,0.01701,8.42308,1.11538,1.5,-0.07633,6.03846,-1.07692,-1.69231,0.09393,6.38462,1.07692,1.51282,0.0006,4.0,-1.11538,-1.67949,0.01701,8.96154,0.61538,1.43462,-0.07633,6.57692,-1.57692,-1.75769,0.01701,8.69231,0.84615,1.41538,-0.07633,6.30769,-1.34615,-1.77692,0.09334,2.38462,2.19231,3.19231,0.0,0.0,0.0,0.0
dur,areas_low_nonconnect,8,1,DBN-GREY1-TSN497-CAPRISA-DDMRI--DBN-GREY1-TSN150-DUTB,0.44227,0.44358,0.00131,0.21591,0.01706,8.61538,1.03846,1.46154,-0.13046,4.84615,-0.30769,-1.42308,0.01706,7.07692,1.03846,1.38462,-0.13046,3.30769,-0.30769,-1.5,0.01706,8.84615,0.46154,1.44872,-0.13046,5.07692,-0.88462,-1.4359,0.01706,8.73077,0.76923,1.39744,-0.13046,4.96154,-0.57692,-1.48718,0.14752,3.76923,1.34615,2.88462,0.0,0.0,0.0,0.0
dur,areas_low_nonconnect,9,1,DBN-TSN935-DHA-UMGENI--DBN-GREY1-TSN11-DUTS,0.44358,0.44522,0.00164,0.21591,0.01712,8.30769,0.96154,1.49359,-0.14672,5.5,-0.84615,-1.04487,0.01712,7.03846,1.0,1.41026,-0.14672,4.23077,-0.80769,-1.12821,0.01712,8.92308,0.73077,1.4359,-0.14672,6.11538,-1.07692,-1.10256,0.01712,8.73077,0.73077,1.41026,-0.14672,5.92308,-1.07692,-1.12821,0.16384,2.80769,1.80769,2.53846,0.0,0.0,0.0,0.0
dur,areas_low_nonconnect,10,1,DBN-GREY1-TSN498-CAPRISA-ECRS--DBN-GREY1-TSN150-DUTB,0.44522,0.44549,0.00027,0.21591,0.01713,8.34615,1.11538,1.49359,-0.0782,4.5,-0.34615,-1.08333,0.01713,7.19231,0.96154,1.44231,-0.0782,3.34615,-0.5,-1.13462,0.01713,8.96154,0.65385,1.37949,-0.0782,5.11538,-0.80769,-1.19744,0.01713,8.76923,0.73077,1.37179,-0.0782,4.92308,-0.73077,-1.20513,0.09533,3.84615,1.46154,2.57692,0.0,0.0,0.0,0.0
