graph,strategy,step,num_edges_added_this_step,edges_added,nr_aG_baseline,nr_e0_mult_baseline,nr_e1_mult_baseline,nr_CIS_baseline,nr_aG_before,nr_e0_mult_before,nr_e1_mult_before,nr_CIS_before,nr_aG_after,nr_e0_mult_after,nr_e1_mult_after,nr_CIS_after,nr_cumAUC_aG,nr_cumAUC_e0_mult,nr_cumAUC_e1_mult,nr_cumAUC_CIS,aG_before,aG_after,Delta_aG,aG_baseline0,AUC_aG__betweeness,AUC_e0_mult__betweeness,AUC_e1_mult__betweeness,AUC_CIS__betweeness,Delta_aG_vs_random__betweeness,Delta_e0_mult_vs_random__betweeness,Delta_e1_mult_vs_random__betweeness,Delta_CIS_vs_random__betweeness,AUC_aG__closeness,AUC_e0_mult__closeness,AUC_e1_mult__closeness,AUC_CIS__closeness,Delta_aG_vs_random__closeness,Delta_e0_mult_vs_random__closeness,Delta_e1_mult_vs_random__closeness,Delta_CIS_vs_random__closeness,AUC_aG__core_influence,AUC_e0_mult__core_influence,AUC_e1_mult__core_influence,AUC_CIS__core_influence,Delta_aG_vs_random__core_influence,Delta_e0_mult_vs_random__core_influence,Delta_e1_mult_vs_random__core_influence,Delta_CIS_vs_random__core_influence,AUC_aG__degree,AUC_e0_mult__degree,AUC_e1_mult__degree,AUC_CIS__degree,Delta_aG_vs_random__degree,Delta_e0_mult_vs_random__degree,Delta_e1_mult_vs_random__degree,Delta_CIS_vs_random__degree,AUC_aG__random,AUC_e0_mult__random,AUC_e1_mult__random,AUC_CIS__random,Delta_aG_vs_random__random,Delta_e0_mult_vs_random__random,Delta_e1_mult_vs_random__random,Delta_CIS_vs_random__random
dur,fiedler_greedy,1,1,DBN-GREY1-TSN132-MRC--DBN-GREY1-TSN497-CAPRISA-DDMRI,0.21591,1,5,5.66667,0.21591,1,5,5.66667,0.31715,1,6,5.66667,0.26653,1.0,5.5,5.66667,0.21591,0.31715,0.10125,0.21591,0.0122,9.23077,0.92308,1.5641,-0.06793,6.61538,-2.0,-1.26923,0.0122,6.26923,0.73077,1.89744,-0.06793,3.65385,-2.19231,-0.9359,0.01764,9.92308,0.96154,1.46154,-0.06249,7.30769,-1.96154,-1.37179,0.0122,9.73077,0.84615,1.50641,-0.06793,7.11538,-2.07692,-1.32692,0.08013,2.61538,2.92308,2.83333,0.0,0.0,0.0,0.0
dur,fiedler_greedy,2,1,DBN-GREY1-TSN498-CAPRISA-ECRS--ELS,0.21591,1,5,5.66667,0.31715,1,6,5.66667,0.41469,1,5,6.0,0.31592,1.0,5.33333,5.77778,0.31715,0.41469,0.09753,0.21591,0.01595,8.80769,1.03846,1.58333,-0.10716,5.76923,-1.07692,-1.59615,0.01595,5.84615,0.73077,1.96795,-0.10716,2.80769,-1.38462,-1.21154,0.01595,9.73077,0.65385,1.38462,-0.10716,6.69231,-1.46154,-1.79487,0.01595,9.61538,0.65385,1.46154,-0.10716,6.57692,-1.46154,-1.71795,0.12311,3.03846,2.11538,3.17949,0.0,0.0,0.0,0.0
dur,fiedler_greedy,3,1,DBN-GREY1-TSN11-DUTS--DBN-GREY1-TSN13-CAO,0.21591,1,5,5.66667,0.41469,1,5,6.0,0.47013,1,4,6.0,0.35447,1.0,5.0,5.83333,0.41469,0.47013,0.05544,0.21591,0.01808,8.46154,0.53846,1.73077,-0.04106,3.80769,-1.61538,-0.85897,0.01808,5.57692,0.46154,2.19872,-0.04106,0.92308,-1.69231,-0.39103,0.01808,9.53846,0.5,1.51282,-0.04106,4.88462,-1.65385,-1.07692,0.01808,9.03846,0.65385,1.62179,-0.04106,4.38462,-1.5,-0.96795,0.05914,4.65385,2.15385,2.58974,0.0,0.0,0.0,0.0
dur,fiedler_greedy,4,1,CAPE2--DBN-GREY1-TSN497-CAPRISA-DDMRI,0.21591,1,5,5.66667,0.47013,1,4,6.0,0.55626,1,3,6.33333,0.39483,1.0,4.6,5.93333,0.47013,0.55626,0.08613,0.21591,0.02139,8.46154,0.65385,1.71795,-0.11121,5.23077,-1.38462,-1.57692,0.02139,5.80769,0.53846,2.0641,-0.11121,2.57692,-1.5,-1.23077,0.02139,9.15385,0.53846,1.5,-0.11121,5.92308,-1.5,-1.79487,0.02139,9.03846,0.65385,1.50641,-0.11121,5.80769,-1.38462,-1.78846,0.13261,3.23077,2.03846,3.29487,0.0,0.0,0.0,0.0
dur,fiedler_greedy,5,1,DBN-GREY1-TSN11-DUTS--DBN-GREY1-TSN151-DUTC,0.21591,1,5,5.66667,0.55626,1,3,6.33333,0.58648,1,4,6.33333,0.42677,1.0,4.5,6.0,0.55626,0.58648,0.03022,0.21591,0.02256,8.80769,0.92308,1.46795,-0.09097,4.0,-0.11538,-1.10897,0.02256,5.73077,0.65385,1.71795,-0.09097,0.92308,-0.38462,-0.85897,0.02256,9.30769,0.53846,1.44231,-0.09097,4.5,-0.5,-1.13462,0.02256,9.15385,0.65385,1.49359,-0.09097,4.34615,-0.38462,-1.08333,0.11353,4.80769,1.03846,2.57692,0.0,0.0,0.0,0.0
dur,fiedler_greedy,6,1,DBN-TSN935-DHA-UMGENI--UTT,0.21591,1,5,5.66667,0.58648,1,4,6.33333,0.62249,1,3,7.0,0.45473,1.0,4.28571,6.14286,0.58648,0.62249,0.03601,0.21591,0.02394,8.07692,0.84615,1.49038,-0.27607,6.5,-0.53846,-2.04808,0.02394,5.0,0.57692,1.51282,-0.27607,3.42308,-0.80769,-2.02564,0.02394,8.73077,0.61538,1.41987,-0.27607,7.15385,-0.76923,-2.11859,0.02394,8.42308,0.53846,1.41026,-0.27607,6.84615,-0.84615,-2.12821,0.30001,1.57692,1.38462,3.53846,0.0,0.0,0.0,0.0
dur,fiedler_greedy,7,1,DBN-GREY1-TSN232-NMMS--PHU,0.21591,1,5,5.66667,0.62249,1,3,7.0,0.66857,1,2,7.33333,0.48146,1.0,4.0,6.29167,0.62249,0.66857,0.04608,0.21591,0.02571,7.53846,1.07692,1.48718,-0.08577,5.03846,-0.88462,-1.3141,0.02571,4.19231,0.88462,1.82692,-0.08577,1.69231,-1.07692,-0.97436,0.02571,8.73077,0.80769,1.47436,-0.08577,6.23077,-1.15385,-1.32692,0.02571,8.23077,0.84615,1.53205,-0.08577,5.73077,-1.11538,-1.26923,0.11149,2.5,1.96154,2.80128,0.0,0.0,0.0,0.0
dur,fiedler_greedy,8,1,DBN-GREY1-TSN176-UNISAM--ISANDO,0.21591,1,5,5.66667,0.66857,1,2,7.33333,0.69244,1,2,7.66667,0.5049,1.0,3.77778,6.44444,0.66857,0.69244,0.02387,0.21591,0.0351,7.0,1.11538,1.60897,-0.09622,3.57692,-0.34615,-1.22436,0.0351,3.34615,1.0,1.82692,-0.09622,-0.07692,-0.46154,-1.00641,0.0351,7.88462,0.69231,1.5,-0.09622,4.46154,-0.76923,-1.33333,0.0351,7.73077,0.88462,1.65385,-0.09622,4.30769,-0.57692,-1.17949,0.13132,3.42308,1.46154,2.83333,0.0,0.0,0.0,0.0
dur,fiedler_greedy,9,1,DBN-GREY1-TSN132-MRC--DBN-TSN935-DHA-UMGENI,0.21591,1,5,5.66667,0.69244,1,2,7.66667,0.73177,1,2,7.66667,0.52759,1.0,3.6,6.56667,0.69244,0.73177,0.03933,0.21591,0.03876,7.42308,0.96154,1.6859,-0.09202,5.15385,-1.03846,-0.92308,0.04311,2.73077,1.0,2.3109,-0.08768,0.46154,-1.0,-0.29808,0.03876,8.26923,0.76923,1.65385,-0.09202,6.0,-1.23077,-0.95513,0.03876,7.96154,0.80769,1.58654,-0.09202,5.69231,-1.19231,-1.02244,0.13078,2.26923,2.0,2.60897,0.0,0.0,0.0,0.0
dur,fiedler_greedy,10,1,DBN-GREY1-TSN150-DUTB--DBN-GREY1-TSN97-CSIR,0.21591,1,5,5.66667,0.73177,1,2,7.66667,0.79279,1,2,7.66667,0.5517,1.0,3.45455,6.66667,0.73177,0.79279,0.06102,0.21591,0.04137,7.23077,0.53846,1.65385,-0.14522,4.57692,-0.96154,-1.87821,0.04989,2.5,0.53846,2.59615,-0.13669,-0.15385,-0.96154,-0.9359,0.04137,7.57692,0.65385,1.55769,-0.14522,4.92308,-0.84615,-1.97436,0.04137,7.46154,0.53846,1.58974,-0.14522,4.80769,-0.96154,-1.94231,0.18658,2.65385,1.5,3.53205,0.0,0.0,0.0,0.0
