node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
DBN-GREY1-TSN231-UKZNW-PE,1,27,0.5562577811050758,3,1,6.333333333333333,random,0.5562577811050758,1.0,3.0,6.333333333333333
MTZ,2,26,0.5412311999939943,2,1,6.0,random,0.5487444905495351,1.0,2.5,6.166666666666666
DBN-GREY1-TSN222-TIA-PWC,3,25,0.5138227764372802,2,1,5.333333333333333,random,0.5371039191787834,1.0,2.3333333333333335,5.888888888888888
DBN-GREY1-TSN151-DUTC,4,24,0.34494399051651925,2,1,5.0,random,0.4890639370132174,1.0,2.25,5.666666666666666
DUR3,5,23,0.2960845455188452,4,1,5.0,random,0.4504680587143429,1.0,2.6,5.533333333333333
DBN-GREY1-TSN13-CAO,6,22,0.0,4,4,3.0,random,0.3753900489286191,1.5,2.8333333333333335,5.111111111111111
DBN-GREY1-TSN232-NMMS,7,21,0.0,5,4,4.333333333333333,random,0.32176289908167355,1.8571428571428572,3.142857142857143,5.0
CAPE2,8,20,0.0,5,5,3.0,random,0.28154253669646434,2.25,3.375,4.75
DBN-GREY1-TSN366-UKZNE-PE,9,19,0.0,6,5,4.0,random,0.2502600326190794,2.5555555555555554,3.6666666666666665,4.666666666666667
DUR1,10,18,-1.307285825810788e-16,5,5,3.0,random,0.22523402935717146,2.8,3.8,4.5
DBN-GREY1-TSN498-CAPRISA-ECRS,11,17,-1.2483080636635204e-17,4,8,2.0,random,0.20475820850651952,3.272727272727273,3.8181818181818183,4.2727272727272725
DUR2,12,16,0.0,3,8,1.0,random,0.18769502446430955,3.6666666666666665,3.75,4.0
DUR-TSN19-MUT,13,15,0.0,1,10,1.0,random,0.17325694565936267,4.153846153846154,3.5384615384615383,3.769230769230769
ELS,14,14,0.0,1,9,1.0,random,0.16088144954083677,4.5,3.357142857142857,3.5714285714285716
DBN-GREY1-TSN150-DUTB,15,13,0.0,1,8,1.0,random,0.15015601957144764,4.733333333333333,3.2,3.4
DBN-GREY1-TSN176-UNISAM,16,12,0.0,0,8,2.0,random,0.14077126834823217,4.9375,3.0,3.3125
ISANDO,17,11,0.0,0,7,2.0,random,0.1324906055042185,5.0588235294117645,2.823529411764706,3.235294117647059
DBN-GREY1-TSN497-CAPRISA-DDMRI,18,10,0.0,1,7,2.0,random,0.1251300163095397,5.166666666666667,2.7222222222222223,3.1666666666666665
DBN-GREY1-TSN97-CSIR,19,9,0.0,0,7,1.0,random,0.11854422597745867,5.2631578947368425,2.5789473684210527,3.0526315789473686
DBN-GREY1-TSN132-MRC,20,8,0.0,0,6,1.0,random,0.11261701467858573,5.3,2.45,2.95
PZB,21,7,0.0,0,6,1.0,random,0.10725429969389118,5.333333333333333,2.3333333333333335,2.857142857142857
PHU,22,6,0.0,0,5,1.0,random,0.10237910425325976,5.318181818181818,2.227272727272727,2.772727272727273
DBN-GREY1-TSN375-SANBI,23,5,0.0,0,4,1.0,random,0.09792783885094412,5.260869565217392,2.130434782608696,2.6956521739130435
DBN-TSN935-DHA-UMGENI,24,4,0.0,0,4,1.0,random,0.09384751223215478,5.208333333333333,2.0416666666666665,2.625
DBN-GREY1-TSN662-CAPRISA-KDH,25,3,0.0,0,3,1.0,random,0.09009361174286859,5.12,1.96,2.56
UTT,26,2,0.0,0,2,1.0,random,0.08662847282968134,5.0,1.8846153846153846,2.5
DUR3,1,27,0.5562577811050758,3,1,6.333333333333333,core influence,0.5562577811050758,1.0,3.0,6.333333333333333
DUR2,2,26,0.0,5,4,2.6666666666666665,core influence,0.2781288905525379,2.5,4.0,4.5
DUR1,3,25,0.0,2,6,2.0,core influence,0.18541926036835862,3.6666666666666665,3.3333333333333335,3.6666666666666665
DBN-GREY1-TSN497-CAPRISA-DDMRI,4,24,0.0,1,8,3.3333333333333335,core influence,0.13906444527626896,4.75,2.75,3.583333333333333
DBN-GREY1-TSN132-MRC,5,23,0.0,1,11,1.6666666666666667,core influence,0.11125155622101517,6.0,2.4,3.2
DBN-GREY1-TSN13-CAO,6,22,-1.664253475060471e-16,0,12,1.6666666666666667,core influence,0.09270963018417928,7.0,2.0,2.9444444444444446
DBN-GREY1-TSN11-DUTS,7,21,0.0,0,13,1.0,core influence,0.0794653973007251,7.857142857142857,1.7142857142857142,2.666666666666667
DBN-GREY1-TSN498-CAPRISA-ECRS,8,20,0.0,0,14,2.0,core influence,0.06953222263813447,8.625,1.5,2.5833333333333335
DBN-GREY1-TSN366-UKZNE-PE,9,19,0.0,0,15,1.0,core influence,0.06180642012278619,9.333333333333334,1.3333333333333333,2.4074074074074074
DBN-GREY1-TSN222-TIA-PWC,10,18,0.0,0,15,1.0,core influence,0.055625778110507576,9.9,1.2,2.2666666666666666
PZB,11,17,0.0,0,15,1.0,core influence,0.05056888919137052,10.363636363636363,1.0909090909090908,2.151515151515152
DBN-GREY1-TSN231-UKZNW-PE,12,16,0.0,0,14,1.0,core influence,0.04635481509208964,10.666666666666666,1.0,2.055555555555556
MTZ,13,15,0.0,0,13,1.0,core influence,0.042789060085005826,10.846153846153847,0.9230769230769231,1.9743589743589745
DBN-GREY1-TSN375-SANBI,14,14,0.0,0,12,1.0,core influence,0.03973269865036255,10.928571428571429,0.8571428571428571,1.9047619047619049
DBN-GREY1-TSN176-UNISAM,15,13,0.0,0,11,1.0,core influence,0.037083852073671715,10.933333333333334,0.8,1.8444444444444446
CAPE2,16,12,0.0,0,11,1.0,core influence,0.03476611131906723,10.9375,0.75,1.7916666666666667
DBN-GREY1-TSN150-DUTB,17,11,0.0,0,10,1.0,core influence,0.0327210459473574,10.882352941176471,0.7058823529411765,1.7450980392156863
DBN-GREY1-TSN151-DUTC,18,10,0.0,0,9,1.0,core influence,0.030903210061393096,10.777777777777779,0.6666666666666666,1.7037037037037037
DBN-GREY1-TSN97-CSIR,19,9,0.0,0,8,1.0,core influence,0.029276725321319776,10.631578947368421,0.631578947368421,1.6666666666666667
DBN-GREY1-TSN662-CAPRISA-KDH,20,8,0.0,0,8,1.0,core influence,0.027812889055253788,10.5,0.6,1.6333333333333333
ISANDO,21,7,0.0,0,7,1.0,core influence,0.02648846576690837,10.333333333333334,0.5714285714285714,1.603174603174603
DUR-TSN19-MUT,22,6,0.0,0,6,1.0,core influence,0.02528444459568526,10.136363636363637,0.5454545454545454,1.5757575757575757
DBN-GREY1-TSN232-NMMS,23,5,0.0,0,5,1.0,core influence,0.024185120917611987,9.91304347826087,0.5217391304347826,1.5507246376811594
UTT,24,4,0.0,0,4,1.0,core influence,0.02317740754604482,9.666666666666666,0.5,1.5277777777777777
DBN-TSN935-DHA-UMGENI,25,3,0.0,0,3,1.0,core influence,0.022250311244203028,9.4,0.48,1.5066666666666666
