graph,strategy,step,num_edges_added_this_step,edges_added,aG_before,aG_after,Delta_aG,aG_baseline0,AUC_aG__betweeness,AUC_e0_mult__betweeness,AUC_e1_mult__betweeness,AUC_CIS__betweeness,Delta_aG_vs_random__betweeness,Delta_e0_mult_vs_random__betweeness,Delta_e1_mult_vs_random__betweeness,Delta_CIS_vs_random__betweeness,AUC_aG__closeness,AUC_e0_mult__closeness,AUC_e1_mult__closeness,AUC_CIS__closeness,Delta_aG_vs_random__closeness,Delta_e0_mult_vs_random__closeness,Delta_e1_mult_vs_random__closeness,Delta_CIS_vs_random__closeness,AUC_aG__core_influence,AUC_e0_mult__core_influence,AUC_e1_mult__core_influence,AUC_CIS__core_influence,Delta_aG_vs_random__core_influence,Delta_e0_mult_vs_random__core_influence,Delta_e1_mult_vs_random__core_influence,Delta_CIS_vs_random__core_influence,AUC_aG__degree,AUC_e0_mult__degree,AUC_e1_mult__degree,AUC_CIS__degree,Delta_aG_vs_random__degree,Delta_e0_mult_vs_random__degree,Delta_e1_mult_vs_random__degree,Delta_CIS_vs_random__degree,AUC_aG__random,AUC_e0_mult__random,AUC_e1_mult__random,AUC_CIS__random,Delta_aG_vs_random__random,Delta_e0_mult_vs_random__random,Delta_e1_mult_vs_random__random,Delta_CIS_vs_random__random
dur,highest_degree_pair,1,1,DUR3--DBN-GREY1-TSN222-TIA-PWC,0.21591,0.21597,6e-05,0.21591,0.00831,9.38462,1.03846,1.47436,-0.00678,6.15385,-1.65385,-1.33333,0.14622,6.5,1.07692,1.87179,0.13114,3.26923,-1.61538,-0.9359,0.00831,9.57692,0.69231,1.37179,-0.00678,6.34615,-2.0,-1.4359,0.00831,9.19231,1.07692,1.64103,-0.00678,5.96154,-1.61538,-1.16667,0.01508,3.23077,2.69231,2.80769,0.0,0.0,0.0,0.0
dur,highest_degree_pair,2,1,DUR3--DBN-GREY1-TSN366-UKZNE-PE,0.21597,0.21671,0.00074,0.21591,0.00833,9.61538,1.0,1.46154,-0.01308,1.42308,-0.26923,-0.45513,0.14625,6.96154,1.07692,1.76923,0.12483,-1.23077,-0.19231,-0.14744,0.00833,9.65385,0.76923,1.37821,-0.01308,1.46154,-0.5,-0.53846,0.00833,9.19231,1.11538,1.65385,-0.01308,1.0,-0.15385,-0.26282,0.02142,8.19231,1.26923,1.91667,0.0,0.0,0.0,0.0
dur,highest_degree_pair,3,1,DUR3--DBN-GREY1-TSN11-DUTS,0.21671,0.21671,0.0,0.21591,0.00833,9.57692,0.92308,1.5,-0.01603,4.53846,-1.15385,-0.59615,0.14625,7.0,1.26923,1.78205,0.12189,1.96154,-0.80769,-0.3141,0.00833,9.57692,0.88462,1.51282,-0.01603,4.53846,-1.19231,-0.58333,0.00833,9.19231,1.07692,1.66667,-0.01603,4.15385,-1.0,-0.42949,0.02436,5.03846,2.07692,2.09615,0.0,0.0,0.0,0.0
dur,highest_degree_pair,4,1,DUR3--DBN-GREY1-TSN375-SANBI,0.21671,0.21696,0.00025,0.21591,0.00834,9.53846,0.92308,1.38462,-0.00348,6.38462,-0.84615,-0.46795,0.14626,7.0,1.34615,1.63462,0.13444,3.84615,-0.42308,-0.21795,0.01091,9.34615,1.11538,1.42949,-0.00091,6.19231,-0.65385,-0.42308,0.00834,9.19231,1.07692,1.55128,-0.00348,6.03846,-0.69231,-0.30128,0.01182,3.15385,1.76923,1.85256,0.0,0.0,0.0,0.0
dur,highest_degree_pair,5,1,DUR3--DBN-GREY1-TSN13-CAO,0.21696,0.21758,0.00062,0.21591,0.00837,9.38462,1.03846,1.40385,-0.02327,4.11538,-1.92308,-0.05513,0.14628,6.84615,1.46154,1.63462,0.11465,1.57692,-1.5,0.17564,0.00837,8.30769,1.26923,1.74359,-0.02327,3.03846,-1.69231,0.28462,0.00837,9.19231,1.07692,1.52564,-0.02327,3.92308,-1.88462,0.06667,0.03164,5.26923,2.96154,1.45897,0.0,0.0,0.0,0.0
dur,highest_degree_pair,6,1,DUR3--DBN-GREY1-TSN132-MRC,0.21758,0.21952,0.00194,0.21591,0.00844,9.53846,1.0,1.30769,-0.02034,7.57692,-4.42308,-0.69231,0.14636,7.15385,1.5,1.90385,0.11757,5.19231,-3.92308,-0.09615,0.00844,8.23077,1.07692,1.73077,-0.02034,6.26923,-4.34615,-0.26923,0.00844,9.19231,1.07692,1.52564,-0.02034,7.23077,-4.34615,-0.47436,0.02879,1.96154,5.42308,2.0,0.0,0.0,0.0,0.0
dur,highest_degree_pair,7,1,DUR3--DBN-GREY1-TSN150-DUTB,0.21952,0.21987,0.00035,0.21591,0.00846,9.26923,1.11538,1.35897,-0.09379,7.03846,-3.96154,0.02244,0.14637,7.07692,1.53846,1.87821,0.04412,4.84615,-3.53846,0.54167,0.00846,8.88462,1.19231,1.59615,-0.09379,6.65385,-3.88462,0.25962,0.00846,9.19231,1.07692,1.52564,-0.09379,6.96154,-4.0,0.1891,0.10225,2.23077,5.07692,1.33654,0.0,0.0,0.0,0.0
dur,highest_degree_pair,8,1,DUR3--DBN-GREY1-TSN151-DUTC,0.21987,0.3298,0.10993,0.21591,0.01268,9.42308,1.15385,1.35256,-0.08339,6.76923,-2.88462,-0.67949,0.08961,8.30769,1.0,1.89744,-0.00647,5.65385,-3.03846,-0.13462,0.01268,9.76923,0.65385,1.4359,-0.08339,7.11538,-3.38462,-0.59615,0.01268,9.26923,1.07692,1.52564,-0.08339,6.61538,-2.96154,-0.50641,0.09608,2.65385,4.03846,2.03205,0.0,0.0,0.0,0.0
dur,highest_degree_pair,9,1,DUR3--DBN-GREY1-TSN176-UNISAM,0.3298,0.33786,0.00806,0.21591,0.01299,9.34615,1.15385,1.35256,-0.09246,7.53846,-3.0,-1.5359,0.08992,8.11538,0.92308,1.85897,-0.01554,6.30769,-3.23077,-1.02949,0.01299,9.42308,0.80769,1.39744,-0.09246,7.61538,-3.34615,-1.49103,0.01299,9.26923,1.07692,1.52564,-0.09246,7.46154,-3.07692,-1.36282,0.10546,1.80769,4.15385,2.88846,0.0,0.0,0.0,0.0
dur,highest_degree_pair,10,1,DUR3--DBN-GREY1-TSN498-CAPRISA-ECRS,0.33786,0.46319,0.12533,0.21591,0.01781,9.69231,1.03846,1.32692,-0.12225,6.69231,-1.53846,-1.25,0.01781,8.73077,1.61538,1.71795,-0.12225,5.73077,-0.96154,-0.85897,0.01781,9.15385,1.07692,1.59615,-0.12225,6.15385,-1.5,-0.98077,0.01781,9.30769,1.07692,1.50641,-0.12225,6.30769,-1.5,-1.07051,0.14006,3.0,2.57692,2.57692,0.0,0.0,0.0,0.0
