node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
ELS,1,27,0.4631882964693148,5,1,3.0,random,0.4631882964693148,1.0,5.0,3.0
DBN-GREY1-TSN231-UKZNW-PE,2,26,0.4665331302602922,4,1,3.0,random,0.4648607133648035,1.0,4.5,3.0
DBN-GREY1-TSN11-DUTS,3,25,0.4676561764686398,4,1,3.0,random,0.4657925343994156,1.0,4.333333333333333,3.0
DBN-GREY1-TSN132-MRC,4,24,0.4714171624780863,4,1,2.3333333333333335,random,0.46719869141908327,1.0,4.25,2.8333333333333335
CAPE2,5,23,0.4756717316450917,5,1,3.0,random,0.46889329946428493,1.0,4.4,2.8666666666666667
DBN-GREY1-TSN151-DUTC,6,22,0.48038726229219686,4,1,3.0,random,0.4708089599356036,1.0,4.333333333333333,2.888888888888889
DBN-GREY1-TSN232-NMMS,7,21,0.4164706615679047,4,1,2.3333333333333335,random,0.4630463458830752,1.0,4.285714285714286,2.8095238095238098
DUR2,8,20,0.4002580957820346,3,1,3.5,random,0.4551978146204451,1.0,4.125,2.8958333333333335
DUR-TSN19-MUT,9,19,1.1102230246251526e-15,6,2,5.5,random,0.404620279662618,1.1111111111111112,4.333333333333333,3.185185185185185
DBN-GREY1-TSN662-CAPRISA-KDH,10,18,1.7146333238046008e-16,5,2,5.5,random,0.36415825169635624,1.2,4.4,3.4166666666666665
UTT,11,17,8.88178173541035e-16,4,2,5.5,random,0.33105295608759666,1.2727272727272727,4.363636363636363,3.606060606060606
ISANDO,12,16,2.786197107328922e-16,3,2,5.5,random,0.3034652097469636,1.3333333333333333,4.25,3.763888888888889
DBN-GREY1-TSN222-TIA-PWC,13,15,4.367787593179557e-16,2,2,5.5,random,0.2801217320741203,1.3846153846153846,4.076923076923077,3.8974358974358974
DUR1,14,14,-2.6400764242261433e-16,3,2,4.0,random,0.2601130369259688,1.4285714285714286,4.0,3.9047619047619047
PHU,15,13,-1.6814955077963504e-16,6,3,1.3333333333333333,random,0.24277216779757088,1.5333333333333334,4.133333333333334,3.7333333333333334
DUR3,16,12,-5.743002363827745e-17,5,3,1.0,random,0.2275989073102227,1.625,4.1875,3.5625
PZB,17,11,0.0,0,9,1.0,random,0.2142107362919743,2.0588235294117645,3.9411764705882355,3.411764705882353
DBN-GREY1-TSN150-DUTB,18,10,0.0,0,8,1.0,random,0.20231013983130908,2.388888888888889,3.7222222222222223,3.2777777777777777
DBN-GREY1-TSN97-CSIR,19,9,0.0,0,7,1.0,random,0.19166223773492438,2.6315789473684212,3.526315789473684,3.1578947368421053
DBN-TSN935-DHA-UMGENI,20,8,0.0,0,6,1.0,random,0.18207912584817815,2.8,3.35,3.05
DBN-GREY1-TSN13-CAO,21,7,0.0,0,5,1.0,random,0.1734086912839792,2.9047619047619047,3.1904761904761907,2.9523809523809526
DBN-GREY1-TSN176-UNISAM,22,6,0.0,0,5,1.0,random,0.16552647804379833,3.0,3.0454545454545454,2.8636363636363638
MTZ,23,5,0.0,0,4,1.0,random,0.1583296746505897,3.0434782608695654,2.9130434782608696,2.782608695652174
DBN-GREY1-TSN498-CAPRISA-ECRS,24,4,0.0,0,3,1.0,random,0.1517326048734818,3.0416666666666665,2.7916666666666665,2.7083333333333335
DBN-GREY1-TSN366-UKZNE-PE,25,3,0.0,0,3,1.0,random,0.14566330067854252,3.04,2.68,2.64
DBN-GREY1-TSN375-SANBI,26,2,0.0,0,2,1.0,random,0.1400608660370601,3.0,2.576923076923077,2.576923076923077
DUR3,1,27,0.4631882964693148,5,1,3.0,core influence,0.4631882964693148,1.0,5.0,3.0
DUR2,2,26,0.0,2,6,2.3333333333333335,core influence,0.2315941482346574,3.5,3.5,2.666666666666667
DUR1,3,25,0.0,2,9,1.3333333333333333,core influence,0.15439609882310493,5.333333333333333,3.0,2.2222222222222223
DBN-GREY1-TSN222-TIA-PWC,4,24,-5.696294837289027e-17,3,12,2.0,core influence,0.11579707411732869,7.0,3.0,2.1666666666666665
DBN-GREY1-TSN375-SANBI,5,23,0.0,3,13,1.3333333333333333,core influence,0.09263765929386295,8.2,3.0,2.0
DBN-GREY1-TSN132-MRC,6,22,0.0,3,13,1.6666666666666667,core influence,0.07719804941155246,9.0,3.0,1.9444444444444444
DBN-GREY1-TSN13-CAO,7,21,-7.759729469692427e-17,2,14,2.0,core influence,0.06616975663847353,9.714285714285714,2.857142857142857,1.9523809523809526
DBN-GREY1-TSN366-UKZNE-PE,8,20,-7.759729469692427e-17,1,14,1.0,core influence,0.05789853705866432,10.25,2.625,1.8333333333333335
DBN-GREY1-TSN176-UNISAM,9,19,-7.759729469692427e-17,1,14,2.0,core influence,0.051465366274368284,10.666666666666666,2.4444444444444446,1.851851851851852
DBN-GREY1-TSN11-DUTS,10,18,0.0,0,14,2.0,core influence,0.04631882964693145,11.0,2.2,1.8666666666666667
