graph,strategy,step,num_edges_added_this_step,edges_added,nr_aG_baseline,nr_e0_mult_baseline,nr_e1_mult_baseline,nr_CIS_baseline,nr_aG_before,nr_e0_mult_before,nr_e1_mult_before,nr_CIS_before,nr_aG_after,nr_e0_mult_after,nr_e1_mult_after,nr_CIS_after,nr_cumAUC_aG,nr_cumAUC_e0_mult,nr_cumAUC_e1_mult,nr_cumAUC_CIS,aG_before,aG_after,Delta_aG,aG_baseline0,AUC_aG__betweeness,AUC_e0_mult__betweeness,AUC_e1_mult__betweeness,AUC_CIS__betweeness,Delta_aG_vs_random__betweeness,Delta_e0_mult_vs_random__betweeness,Delta_e1_mult_vs_random__betweeness,Delta_CIS_vs_random__betweeness,AUC_aG__closeness,AUC_e0_mult__closeness,AUC_e1_mult__closeness,AUC_CIS__closeness,Delta_aG_vs_random__closeness,Delta_e0_mult_vs_random__closeness,Delta_e1_mult_vs_random__closeness,Delta_CIS_vs_random__closeness,AUC_aG__core_influence,AUC_e0_mult__core_influence,AUC_e1_mult__core_influence,AUC_CIS__core_influence,Delta_aG_vs_random__core_influence,Delta_e0_mult_vs_random__core_influence,Delta_e1_mult_vs_random__core_influence,Delta_CIS_vs_random__core_influence,AUC_aG__degree,AUC_e0_mult__degree,AUC_e1_mult__degree,AUC_CIS__degree,Delta_aG_vs_random__degree,Delta_e0_mult_vs_random__degree,Delta_e1_mult_vs_random__degree,Delta_CIS_vs_random__degree,AUC_aG__random,AUC_e0_mult__random,AUC_e1_mult__random,AUC_CIS__random,Delta_aG_vs_random__random,Delta_e0_mult_vs_random__random,Delta_e1_mult_vs_random__random,Delta_CIS_vs_random__random
dur,mrkc_heuristic,1,1,CAPE2--DUR1,0.21591,1,5,5.66667,0.21591,1,5,5.66667,0.21834,1,4,6.33333,0.21713,1.0,4.5,6.0,0.21591,0.21834,0.00244,0.21591,0.0084,9.23077,1.11538,1.53205,-0.00693,6.0,-1.0,-1.55769,0.08532,6.46154,1.26923,1.75641,0.07,3.23077,-0.84615,-1.33333,0.0084,9.34615,0.88462,1.55128,-0.00693,6.11538,-1.23077,-1.53846,0.0084,8.84615,1.15385,1.71154,-0.00693,5.61538,-0.96154,-1.37821,0.01532,3.23077,2.11538,3.08974,0.0,0.0,0.0,0.0
dur,mrkc_heuristic,2,1,DBN-TSN935-DHA-UMGENI--DUR3,0.21591,1,5,5.66667,0.21834,1,4,6.33333,0.21857,1,3,7.0,0.21761,1.0,4.0,6.33333,0.21834,0.21857,0.00023,0.21591,0.00841,9.23077,1.07692,1.55769,-0.01307,1.07692,0.03846,-0.38462,0.08533,6.15385,1.30769,1.9359,0.06386,-2.0,0.26923,-0.00641,0.00841,9.73077,0.88462,1.38462,-0.01307,1.57692,-0.15385,-0.55769,0.00841,8.84615,1.11538,1.73718,-0.01307,0.69231,0.07692,-0.20513,0.02147,8.15385,1.03846,1.94231,0.0,0.0,0.0,0.0
dur,mrkc_heuristic,3,1,ELS--DUR1,0.21591,1,5,5.66667,0.21857,1,3,7.0,0.21987,1,2,7.66667,0.21817,1.0,3.5,6.66667,0.21857,0.21987,0.0013,0.21591,0.00846,9.19231,1.07692,1.59615,-0.01451,4.07692,-0.88462,-0.22115,0.12384,5.80769,1.5,1.98718,0.10087,0.69231,-0.46154,0.16987,0.00846,9.5,0.69231,1.4359,-0.01451,4.38462,-1.26923,-0.38141,0.00846,8.80769,1.11538,1.77564,-0.01451,3.69231,-0.84615,-0.04167,0.02297,5.11538,1.96154,1.81731,0.0,0.0,0.0,0.0
dur,mrkc_heuristic,4,1,ISANDO--DUR1,0.21591,1,5,5.66667,0.21987,1,2,7.66667,0.22081,1,1,8.33333,0.2187,1.0,3.0,7.0,0.21987,0.22081,0.00094,0.21591,0.01058,9.07692,1.11538,1.63462,-0.00148,6.0,0.53846,-0.82692,0.12388,5.73077,1.53846,1.95513,0.11182,2.65385,0.96154,-0.50641,0.00849,9.57692,0.73077,1.4359,-0.00357,6.5,0.15385,-1.02564,0.00849,8.76923,1.11538,1.78846,-0.00357,5.69231,0.53846,-0.67308,0.01206,3.07692,0.57692,2.46154,0.0,0.0,0.0,0.0
dur,mrkc_heuristic,5,1,PHU--DUR1,0.21591,1,5,5.66667,0.22081,1,1,8.33333,0.22152,1,0,9.0,0.21917,1.0,2.5,7.33333,0.22081,0.22152,0.00071,0.21591,0.01061,9.07692,1.07692,1.66026,-0.02128,3.80769,-1.07692,-1.65385,0.126,5.38462,1.69231,1.99359,0.0941,0.11538,-0.46154,-1.32051,0.00852,9.5,0.73077,1.48718,-0.02338,4.23077,-1.42308,-1.82692,0.00852,8.73077,1.11538,1.8141,-0.02338,3.46154,-1.03846,-1.5,0.0319,5.26923,2.15385,3.3141,0.0,0.0,0.0,0.0
dur,mrkc_heuristic,6,1,UTT--DUR1,0.21591,1,5,5.66667,0.22152,1,0,9.0,0.22207,1,1,9.66667,0.21958,1.0,2.28571,7.66667,0.22152,0.22207,0.00055,0.21591,0.01063,9.11538,1.07692,1.66667,-0.01845,6.07692,-3.11538,-2.36538,0.12602,5.80769,1.65385,1.99359,0.09694,2.76923,-2.53846,-2.03846,0.01329,9.65385,0.84615,1.52564,-0.01579,6.61538,-3.34615,-2.50641,0.01329,8.69231,1.19231,1.85256,-0.01579,5.65385,-3.0,-2.17949,0.02908,3.03846,4.19231,4.03205,0.0,0.0,0.0,0.0
dur,mrkc_heuristic,7,1,CAPE2--DUR2,0.21591,1,5,5.66667,0.22207,1,1,9.66667,0.22401,1,1,1.4,0.22014,1.0,2.125,6.88333,0.22207,0.22401,0.00194,0.21591,0.01073,9.03846,1.11538,1.41923,-0.09204,6.73077,-2.23077,-1.43269,0.12612,5.76923,1.65385,1.70128,0.02334,3.46154,-1.69231,-1.15064,0.01928,7.92308,1.38462,1.4,-0.08349,5.61538,-1.96154,-1.45192,0.0137,8.5,1.23077,1.59872,-0.08908,6.19231,-2.11538,-1.25321,0.10278,2.30769,3.34615,2.85192,0.0,0.0,0.0,0.0
dur,mrkc_heuristic,8,1,DBN-GREY1-TSN11-DUTS--DUR3,0.21591,1,5,5.66667,0.22401,1,1,1.4,0.2262,1,1,1.4,0.22081,1.0,2.0,6.27407,0.22401,0.2262,0.00218,0.21591,0.01125,9.11538,1.07692,1.42564,-0.04361,6.19231,-0.57692,-0.60128,0.12917,5.0,1.88462,1.77821,0.0743,2.07692,0.23077,-0.24872,0.02315,8.42308,1.30769,1.25897,-0.03171,5.5,-0.34615,-0.76795,0.01378,8.46154,1.23077,1.63718,-0.04108,5.53846,-0.42308,-0.38974,0.05486,2.92308,1.65385,2.02692,0.0,0.0,0.0,0.0
dur,mrkc_heuristic,9,1,DBN-GREY1-TSN13-CAO--DUR3,0.21591,1,5,5.66667,0.2262,1,1,1.4,0.22656,1,1,1.66667,0.22139,1.0,1.9,5.81333,0.2262,0.22656,0.00036,0.21591,0.0138,9.11538,1.11538,1.39744,-0.03187,6.30769,-0.19231,-1.32051,0.12918,5.11538,1.73077,1.83974,0.08352,2.30769,0.42308,-0.87821,0.19152,5.15385,1.69231,1.83333,0.14586,2.34615,0.38462,-0.88462,0.0138,8.42308,1.23077,1.62821,-0.03187,5.61538,-0.07692,-1.08974,0.04566,2.80769,1.30769,2.71795,0.0,0.0,0.0,0.0
dur,mrkc_heuristic,10,1,DBN-GREY1-TSN132-MRC--DUR3,0.21591,1,5,5.66667,0.22656,1,1,1.66667,0.23034,1,0,2.0,0.2222,1.0,1.72727,5.46667,0.22656,0.23034,0.00378,0.21591,0.01394,9.26923,1.03846,1.33333,-0.0454,5.73077,0.23077,-0.74936,0.15186,5.30769,1.30769,1.61538,0.09252,1.76923,0.5,-0.46731,0.18973,5.03846,1.34615,2.33974,0.13039,1.5,0.53846,0.25705,0.01394,8.5,1.15385,1.64103,-0.0454,4.96154,0.34615,-0.44167,0.05934,3.53846,0.80769,2.08269,0.0,0.0,0.0,0.0
