node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
DUR-TSN19-MUT,1,27,0.22655796687832055,1,1,1.6666666666666667,random,0.22655796687832055,1.0,1.0,1.6666666666666667
DBN-TSN935-DHA-UMGENI,2,26,0.22646040077632504,1,1,1.5,random,0.2265091838273228,1.0,1.0,1.5833333333333335
DUR2,3,25,0.22789470736815237,1,1,1.0,random,0.22697102500759933,1.0,1.0,1.388888888888889
PHU,4,24,0.07113489487049092,1,1,6.666666666666667,random,0.18801199247332223,1.0,1.0,2.7083333333333335
DBN-GREY1-TSN11-DUTS,5,23,0.07164104154792561,1,1,5.0,random,0.16473780228824292,1.0,1.0,3.166666666666667
DBN-GREY1-TSN222-TIA-PWC,6,22,0.0724699710817587,0,1,5.333333333333333,random,0.14935983042049553,1.0,0.8333333333333334,3.527777777777778
DBN-GREY1-TSN231-UKZNW-PE,7,21,0.07161952690540636,1,1,4.666666666666667,random,0.1382540727754828,1.0,0.8571428571428571,3.6904761904761907
ELS,8,20,0.07261593471261929,0,1,5.0,random,0.13004930551762486,1.0,0.75,3.854166666666667
DBN-GREY1-TSN375-SANBI,9,19,0.07302936621494692,0,1,4.0,random,0.12371375670621619,1.0,0.6666666666666666,3.8703703703703707
DUR1,10,18,0.0737680391380406,1,1,4.0,random,0.11871918494939863,1.0,0.7,3.8833333333333337
UTT,11,17,-4.316782442239842e-16,5,2,3.6666666666666665,random,0.10792653177218053,1.0909090909090908,1.0909090909090908,3.8636363636363638
DBN-GREY1-TSN150-DUTB,12,16,7.206028578840258e-16,4,2,4.0,random,0.09893265412449888,1.1666666666666667,1.3333333333333333,3.875
DBN-GREY1-TSN13-CAO,13,15,9.08804163877121e-16,4,2,4.0,random,0.09132244996107595,1.2307692307692308,1.5384615384615385,3.8846153846153846
DBN-GREY1-TSN662-CAPRISA-KDH,14,14,-3.053558095570136e-16,4,3,3.5,random,0.08479941782099909,1.3571428571428572,1.7142857142857142,3.857142857142857
PZB,15,13,-7.285975956539314e-17,4,4,2.5,random,0.07914612329959915,1.5333333333333334,1.8666666666666667,3.7666666666666666
MTZ,16,12,4.9871617957435456e-17,3,4,1.6666666666666667,random,0.0741994905933742,1.6875,1.9375,3.6354166666666665
DBN-GREY1-TSN151-DUTC,17,11,-4.4203324128594195e-16,2,4,1.5,random,0.06983481467611687,1.8235294117647058,1.9411764705882353,3.5098039215686274
ISANDO,18,10,0.0,1,5,2.0,random,0.06595510274966593,2.0,1.8888888888888888,3.4259259259259256
DBN-GREY1-TSN497-CAPRISA-DDMRI,19,9,0.0,0,5,2.0,random,0.0624837815523151,2.1578947368421053,1.7894736842105263,3.350877192982456
DBN-GREY1-TSN232-NMMS,20,8,0.0,0,6,1.0,random,0.05935959247469934,2.35,1.7,3.2333333333333334
DUR3,21,7,0.0,0,6,1.0,random,0.056532945213999375,2.5238095238095237,1.619047619047619,3.1269841269841274
DBN-GREY1-TSN498-CAPRISA-ECRS,22,6,0.0,0,6,1.0,random,0.05396326588609031,2.6818181818181817,1.5454545454545454,3.0303030303030307
CAPE2,23,5,0.0,0,5,1.0,random,0.05161703693452117,2.782608695652174,1.4782608695652173,2.9420289855072466
DBN-GREY1-TSN132-MRC,24,4,0.0,0,4,1.0,random,0.04946632706224945,2.8333333333333335,1.4166666666666667,2.861111111111111
DBN-GREY1-TSN366-UKZNE-PE,25,3,0.0,0,3,1.0,random,0.047487673979759476,2.84,1.36,2.786666666666667
DBN-GREY1-TSN97-CSIR,26,2,0.0,0,2,1.0,random,0.04566122498053796,2.8076923076923075,1.3076923076923077,2.717948717948718
DBN-GREY1-TSN366-UKZNE-PE,1,27,0.22655796687832055,1,1,1.6666666666666667,core influence,0.22655796687832055,1.0,1.0,1.6666666666666667
DBN-GREY1-TSN13-CAO,2,26,0.22594165785337683,1,1,1.3333333333333333,core influence,0.22624981236584868,1.0,1.0,1.5
DUR1,3,25,0.2253340865683931,1,1,1.0,core influence,0.2259445704333635,1.0,1.0,1.3333333333333333
DUR3,4,24,0.06606998836564358,7,1,3.3333333333333335,core influence,0.18597592491643353,1.0,2.5,1.8333333333333335
DUR2,5,23,0.0,3,9,2.6666666666666665,core influence,0.14878073993314683,2.6,2.6,2.0
CAPE2,6,22,-4.1028272119953315e-16,2,12,2.0,core influence,0.12398394994428895,4.166666666666667,2.5,2.0
DBN-GREY1-TSN11-DUTS,7,21,-4.1028272119953315e-16,2,11,2.0,core influence,0.10627195709510474,5.142857142857143,2.4285714285714284,2.0
DBN-GREY1-TSN222-TIA-PWC,8,20,-7.759729469692427e-17,1,12,2.0,core influence,0.09298796245821665,6.0,2.25,2.0
DBN-GREY1-TSN231-UKZNW-PE,9,19,-4.1028272119953315e-16,2,12,2.0,core influence,0.08265596662952586,6.666666666666667,2.2222222222222223,2.0
DUR-TSN19-MUT,10,18,-4.4203324128594195e-16,2,11,1.3333333333333333,core influence,0.07439036996657324,7.1,2.2,1.9333333333333331
PZB,11,17,-4.4203324128594195e-16,2,10,1.5,core influence,0.06762760906052108,7.363636363636363,2.1818181818181817,1.8939393939393938
MTZ,12,16,-4.4203324128594195e-16,2,9,2.0,core influence,0.06199197497214429,7.5,2.1666666666666665,1.9027777777777777
ISANDO,13,15,-4.4203324128594195e-16,2,8,1.5,core influence,0.05722336151274854,7.538461538461538,2.1538461538461537,1.8717948717948718
PHU,14,14,-4.4203324128594195e-16,2,7,2.0,core influence,0.053135978547552185,7.5,2.142857142857143,1.880952380952381
DBN-GREY1-TSN375-SANBI,15,13,-4.4203324128594195e-16,2,6,1.3333333333333333,core influence,0.04959357997771534,7.4,2.1333333333333333,1.8444444444444446
ELS,16,12,-4.4203324128594195e-16,2,5,2.0,core influence,0.046493981229108104,7.25,2.125,1.8541666666666667
DBN-TSN935-DHA-UMGENI,17,11,-4.4203324128594195e-16,2,4,2.0,core influence,0.0437590411568076,7.0588235294117645,2.1176470588235294,1.8627450980392157
UTT,18,10,-4.4203324128594195e-16,2,3,2.0,core influence,0.04132798331476271,6.833333333333333,2.111111111111111,1.8703703703703702
DBN-GREY1-TSN662-CAPRISA-KDH,19,9,-4.4203324128594195e-16,2,2,2.0,core influence,0.039152826298196226,6.578947368421052,2.1052631578947367,1.8771929824561402
DBN-GREY1-TSN132-MRC,20,8,0.0,1,2,1.0,core influence,0.03719518498328642,6.35,2.05,1.8333333333333333
DBN-GREY1-TSN150-DUTB,21,7,0.0,1,2,2.0,core influence,0.035423985698368014,6.142857142857143,2.0,1.8412698412698412
DBN-GREY1-TSN97-CSIR,22,6,0.26794919243112225,1,1,2.0,core influence,0.04599331327712957,5.909090909090909,1.9545454545454546,1.8484848484848484
DBN-GREY1-TSN176-UNISAM,23,5,0.38196601125010493,0,1,2.0,core influence,0.060600821884650234,5.695652173913044,1.8695652173913044,1.8550724637681157
DBN-GREY1-TSN232-NMMS,24,4,0.585786437626905,0,1,2.0,core influence,0.08248355587391086,5.5,1.7916666666666667,1.861111111111111
DBN-GREY1-TSN151-DUTC,25,3,0.9999999999999997,1,1,2.0,core influence,0.1191842136389544,5.32,1.76,1.8666666666666665
DBN-GREY1-TSN498-CAPRISA-ECRS,26,2,2.0,0,1,1.0,core influence,0.19152328234514845,5.153846153846154,1.6923076923076923,1.8333333333333333
DUR3,1,27,0.22655796687832055,1,1,1.6666666666666667,degree,0.22655796687832055,1.0,1.0,1.6666666666666667
DUR1,2,26,0.13212725294968877,6,1,3.3333333333333335,degree,0.17934260991400466,1.0,3.5,2.5
DUR2,3,25,-6.707474531373343e-17,3,8,2.0,degree,0.11956173994266976,3.3333333333333335,3.3333333333333335,2.3333333333333335
CAPE2,4,24,-5.696294837289027e-17,3,12,2.0,degree,0.0896713049570023,5.5,3.25,2.25
DBN-GREY1-TSN11-DUTS,5,23,-4.174255692045674e-16,3,11,2.0,degree,0.07173704396560175,6.6,3.2,2.2
DBN-GREY1-TSN222-TIA-PWC,6,22,-7.759729469692427e-17,2,12,2.0,degree,0.059780869971334784,7.5,3.0,2.1666666666666665
DBN-GREY1-TSN13-CAO,7,21,0.0,3,12,2.0,degree,0.05124074568971553,8.142857142857142,3.0,2.142857142857143
DBN-GREY1-TSN366-UKZNE-PE,8,20,0.0,2,12,1.5,degree,0.04483565247850109,8.625,2.875,2.0625
DBN-GREY1-TSN375-SANBI,9,19,-4.1028272119953315e-16,2,12,2.0,degree,0.03985391331422314,9.0,2.7777777777777777,2.0555555555555554
DBN-GREY1-TSN132-MRC,10,18,-4.1028272119953315e-16,2,11,2.0,degree,0.035868521982800786,9.2,2.7,2.05
DBN-GREY1-TSN150-DUTB,11,17,-7.759729469692427e-17,1,12,2.0,degree,0.03260774725709162,9.454545454545455,2.5454545454545454,2.0454545454545454
DBN-GREY1-TSN662-CAPRISA-KDH,12,16,-7.759729469692427e-17,1,11,2.0,degree,0.02989043498566731,9.583333333333334,2.4166666666666665,2.0416666666666665
DBN-GREY1-TSN151-DUTC,13,15,-7.759729469692427e-17,1,10,2.0,degree,0.02759117075600059,9.615384615384615,2.3076923076923075,2.0384615384615383
DBN-GREY1-TSN176-UNISAM,14,14,0.0,0,11,2.0,degree,0.02562037284485769,9.714285714285714,2.142857142857143,2.0357142857142856
DBN-GREY1-TSN498-CAPRISA-ECRS,15,13,0.0,0,10,2.0,degree,0.023912347988533846,9.733333333333333,2.0,2.033333333333333
DBN-GREY1-TSN231-UKZNW-PE,16,12,0.0,1,10,1.5,degree,0.02241782623925048,9.75,1.9375,2.0
DBN-GREY1-TSN232-NMMS,17,11,0.0,1,9,1.3333333333333333,degree,0.0210991305781181,9.705882352941176,1.8823529411764706,1.9607843137254903
DBN-GREY1-TSN497-CAPRISA-DDMRI,18,10,0.0,0,10,1.0,degree,0.019926956657111538,9.722222222222221,1.7777777777777777,1.9074074074074074
DBN-GREY1-TSN97-CSIR,19,9,0.0,0,9,1.0,degree,0.018878169464631982,9.68421052631579,1.6842105263157894,1.8596491228070178
DBN-TSN935-DHA-UMGENI,20,8,0.0,0,8,1.0,degree,0.017934260991400382,9.6,1.6,1.8166666666666669
DUR-TSN19-MUT,21,7,0.0,0,7,1.0,degree,0.01708024856323846,9.476190476190476,1.5238095238095237,1.777777777777778
MTZ,22,6,0.0,0,6,1.0,degree,0.016303873628545802,9.318181818181818,1.4545454545454546,1.7424242424242424
PZB,23,5,0.0,0,5,1.0,degree,0.015595009557739464,9.130434782608695,1.391304347826087,1.710144927536232
ELS,24,4,0.0,0,4,1.0,degree,0.014945217492833653,8.916666666666666,1.3333333333333333,1.6805555555555556
ISANDO,25,3,0.0,0,3,1.0,degree,0.014347408793120306,8.68,1.28,1.6533333333333333
PHU,26,2,0.0,0,2,1.0,degree,0.013795585378000295,8.423076923076923,1.2307692307692308,1.6282051282051282
DUR3,1,27,0.22655796687832055,1,1,1.6666666666666667,betweeness,0.22655796687832055,1.0,1.0,1.6666666666666667
DUR1,2,26,0.13212725294968877,6,1,3.3333333333333335,betweeness,0.17934260991400466,1.0,3.5,2.5
DUR2,3,25,-6.707474531373343e-17,3,8,2.0,betweeness,0.11956173994266976,3.3333333333333335,3.3333333333333335,2.3333333333333335
DBN-GREY1-TSN176-UNISAM,4,24,-5.696294837289027e-17,3,12,2.0,betweeness,0.0896713049570023,5.5,3.25,2.25
DBN-GREY1-TSN97-CSIR,5,23,-2.098681535698057e-16,2,12,1.3333333333333333,betweeness,0.0717370439656018,6.8,3.0,2.066666666666667
DBN-GREY1-TSN222-TIA-PWC,6,22,-2.14607789970949e-17,2,12,2.0,betweeness,0.05978086997133483,7.666666666666667,2.8333333333333335,2.055555555555556
DBN-GREY1-TSN151-DUTC,7,21,0.0,2,13,1.3333333333333333,betweeness,0.051240745689715574,8.428571428571429,2.7142857142857144,1.9523809523809526
DBN-GREY1-TSN232-NMMS,8,20,0.0,3,13,2.0,betweeness,0.044835652478501124,9.0,2.75,1.9583333333333335
DBN-GREY1-TSN662-CAPRISA-KDH,9,19,0.0,2,13,2.0,betweeness,0.03985391331422322,9.444444444444445,2.6666666666666665,1.962962962962963
DBN-GREY1-TSN498-CAPRISA-ECRS,10,18,0.0,1,13,1.3333333333333333,betweeness,0.0358685219828009,9.8,2.5,1.9
DBN-GREY1-TSN11-DUTS,11,17,0.0,1,13,1.3333333333333333,betweeness,0.03260774725709173,10.090909090909092,2.3636363636363638,1.8484848484848484
DBN-GREY1-TSN497-CAPRISA-DDMRI,12,16,0.0,1,13,1.0,betweeness,0.029890434985667416,10.333333333333334,2.25,1.7777777777777777
DBN-GREY1-TSN150-DUTB,13,15,0.0,1,12,1.5,betweeness,0.02759117075600069,10.461538461538462,2.1538461538461537,1.7564102564102564
DBN-GREY1-TSN13-CAO,14,14,0.0,1,12,1.5,betweeness,0.025620372844857787,10.571428571428571,2.0714285714285716,1.738095238095238
DBN-GREY1-TSN231-UKZNW-PE,15,13,0.0,0,12,1.0,betweeness,0.023912347988533932,10.666666666666666,1.9333333333333333,1.6888888888888889
DBN-GREY1-TSN132-MRC,16,12,0.0,0,12,1.0,betweeness,0.022417826239250562,10.75,1.8125,1.6458333333333333
