graph,strategy,step,num_edges_added_this_step,edges_added,nr_aG_baseline,nr_e0_mult_baseline,nr_e1_mult_baseline,nr_CIS_baseline,nr_aG_before,nr_e0_mult_before,nr_e1_mult_before,nr_CIS_before,nr_aG_after,nr_e0_mult_after,nr_e1_mult_after,nr_CIS_after,nr_cumAUC_aG,nr_cumAUC_e0_mult,nr_cumAUC_e1_mult,nr_cumAUC_CIS,aG_before,aG_after,Delta_aG,aG_baseline0,AUC_aG__betweeness,AUC_e0_mult__betweeness,AUC_e1_mult__betweeness,AUC_CIS__betweeness,Delta_aG_vs_random__betweeness,Delta_e0_mult_vs_random__betweeness,Delta_e1_mult_vs_random__betweeness,Delta_CIS_vs_random__betweeness,AUC_aG__closeness,AUC_e0_mult__closeness,AUC_e1_mult__closeness,AUC_CIS__closeness,Delta_aG_vs_random__closeness,Delta_e0_mult_vs_random__closeness,Delta_e1_mult_vs_random__closeness,Delta_CIS_vs_random__closeness,AUC_aG__core_influence,AUC_e0_mult__core_influence,AUC_e1_mult__core_influence,AUC_CIS__core_influence,Delta_aG_vs_random__core_influence,Delta_e0_mult_vs_random__core_influence,Delta_e1_mult_vs_random__core_influence,Delta_CIS_vs_random__core_influence,AUC_aG__degree,AUC_e0_mult__degree,AUC_e1_mult__degree,AUC_CIS__degree,Delta_aG_vs_random__degree,Delta_e0_mult_vs_random__degree,Delta_e1_mult_vs_random__degree,Delta_CIS_vs_random__degree,AUC_aG__random,AUC_e0_mult__random,AUC_e1_mult__random,AUC_CIS__random,Delta_aG_vs_random__random,Delta_e0_mult_vs_random__random,Delta_e1_mult_vs_random__random,Delta_CIS_vs_random__random
dur,random_add,1,1,DUR-TSN19-MUT--DBN-GREY1-TSN222-TIA-PWC,0.21591,1,5,5.66667,0.21591,1,5,5.66667,0.21636,1,5,5.66667,0.21614,1.0,5.0,5.66667,0.21591,0.21636,0.00045,0.21591,0.00832,9.0,0.92308,1.58333,-0.08038,5.96154,-2.96154,-0.69872,0.12371,6.65385,1.0,1.83333,0.035,3.61538,-2.88462,-0.44872,0.01084,7.69231,1.42308,1.6859,-0.07786,4.65385,-2.46154,-0.59615,0.00832,8.80769,1.11538,1.70513,-0.08038,5.76923,-2.76923,-0.57692,0.0887,3.03846,3.88462,2.28205,0.0,0.0,0.0,0.0
dur,random_add,2,1,DBN-GREY1-TSN97-CSIR--DBN-GREY1-TSN132-MRC,0.21591,1,5,5.66667,0.21636,1,5,5.66667,0.25105,1,6,5.66667,0.22777,1.0,5.33333,5.66667,0.21636,0.25105,0.03469,0.21591,0.00966,8.92308,1.0,1.58333,-0.14445,6.42308,-2.76923,-1.09615,0.08658,6.76923,0.76923,1.78846,-0.06752,4.26923,-3.0,-0.89103,0.01569,9.23077,0.88462,1.42628,-0.13841,6.73077,-2.88462,-1.25321,0.00966,9.15385,0.65385,1.69551,-0.14445,6.65385,-3.11538,-0.98397,0.1541,2.5,3.76923,2.67949,0.0,0.0,0.0,0.0
dur,random_add,3,1,DBN-GREY1-TSN497-CAPRISA-DDMRI--DBN-GREY1-TSN150-DUTB,0.21591,1,5,5.66667,0.25105,1,6,5.66667,0.33607,1,5,5.66667,0.25485,1.0,5.25,5.66667,0.25105,0.33607,0.08501,0.21591,0.01293,9.03846,0.76923,1.46795,-0.02628,2.84615,-1.15385,-0.70513,0.12831,6.57692,1.0,2.10256,0.0891,0.38462,-0.92308,-0.07051,0.01965,9.46154,0.96154,1.47436,-0.01955,3.26923,-0.96154,-0.69872,0.01293,9.57692,0.76923,1.48718,-0.02628,3.38462,-1.15385,-0.6859,0.03921,6.19231,1.92308,2.17308,0.0,0.0,0.0,0.0
dur,random_add,4,1,DBN-GREY1-TSN497-CAPRISA-DDMRI--ELS,0.21591,1,5,5.66667,0.33607,1,5,5.66667,0.42637,1,4,6.0,0.28915,1.0,5.0,5.73333,0.33607,0.42637,0.09031,0.21591,0.0164,8.61538,1.07692,1.49359,-0.16739,4.80769,-1.53846,-1.16026,0.09332,6.65385,0.61538,1.42308,-0.09047,2.84615,-2.0,-1.23077,0.0164,9.0,1.11538,1.53846,-0.16739,5.19231,-1.5,-1.11538,0.0164,9.5,1.0,1.44872,-0.16739,5.69231,-1.61538,-1.20513,0.18379,3.80769,2.61538,2.65385,0.0,0.0,0.0,0.0
dur,random_add,5,1,DBN-GREY1-TSN375-SANBI--DUR2,0.21591,1,5,5.66667,0.42637,1,4,6.0,0.43176,1,4,6.33333,0.31292,1.0,4.83333,5.83333,0.42637,0.43176,0.00538,0.21591,0.01661,8.80769,1.11538,1.59615,-0.21958,6.5,-0.84615,-1.57051,0.09353,6.84615,0.80769,1.47436,-0.14265,4.53846,-1.15385,-1.69231,0.02403,9.30769,1.15385,1.46154,-0.21216,7.0,-0.80769,-1.70513,0.01661,9.46154,1.11538,1.58333,-0.21958,7.15385,-0.84615,-1.58333,0.23618,2.30769,1.96154,3.16667,0.0,0.0,0.0,0.0
dur,random_add,6,1,DBN-GREY1-TSN497-CAPRISA-DDMRI--DUR3,0.21591,1,5,5.66667,0.43176,1,4,6.33333,0.50167,1,4,6.66667,0.33988,1.0,4.71429,5.95238,0.43176,0.50167,0.06991,0.21591,0.01929,9.26923,0.88462,1.49359,-0.14401,6.76923,-1.07692,-1.51923,0.01929,7.11538,1.57692,1.62821,-0.14401,4.61538,-0.38462,-1.38462,0.01929,9.34615,1.07692,1.49359,-0.14401,6.84615,-0.88462,-1.51923,0.01929,9.46154,1.11538,1.59615,-0.14401,6.96154,-0.84615,-1.41667,0.16331,2.5,1.96154,3.01282,0.0,0.0,0.0,0.0
dur,random_add,7,1,ISANDO--DBN-GREY1-TSN13-CAO,0.21591,1,5,5.66667,0.50167,1,4,6.66667,0.50169,1,3,7.0,0.36011,1.0,4.5,6.08333,0.50167,0.50169,2e-05,0.21591,0.0193,8.69231,0.46154,1.8109,-0.02253,6.19231,-2.34615,-1.125,0.0193,6.53846,1.26923,1.90385,-0.02253,4.03846,-1.53846,-1.03205,0.0193,8.69231,0.84615,1.58654,-0.02253,6.19231,-1.96154,-1.34936,0.0193,9.03846,0.92308,1.61218,-0.02253,6.53846,-1.88462,-1.32372,0.04183,2.5,2.80769,2.9359,0.0,0.0,0.0,0.0
dur,random_add,8,1,DBN-GREY1-TSN366-UKZNE-PE--DBN-GREY1-TSN497-CAPRISA-DDMRI,0.21591,1,5,5.66667,0.50169,1,3,7.0,0.53036,1,4,7.0,0.37903,1.0,4.44444,6.18519,0.50169,0.53036,0.02867,0.21591,0.0204,9.0,0.42308,1.65705,-0.15015,5.34615,-0.80769,-1.43269,0.0204,6.92308,1.38462,1.91026,-0.15015,3.26923,0.15385,-1.17949,0.0204,9.07692,0.88462,1.58654,-0.15015,5.42308,-0.34615,-1.50321,0.0204,9.0,0.96154,1.65064,-0.15015,5.34615,-0.26923,-1.4391,0.17054,3.65385,1.23077,3.08974,0.0,0.0,0.0,0.0
dur,random_add,9,1,DUR2--DBN-GREY1-TSN11-DUTS,0.21591,1,5,5.66667,0.53036,1,4,7.0,0.53132,1,3,3.66667,0.39425,1.0,4.3,5.93333,0.53036,0.53132,0.00096,0.21591,0.02044,8.73077,0.5,1.53846,-0.01989,5.34615,-0.96154,-0.75641,0.02044,6.80769,1.30769,1.83974,-0.01989,3.42308,-0.15385,-0.45513,0.04097,6.42308,2.46154,1.67308,0.00064,3.03846,1.0,-0.62179,0.02044,8.80769,0.96154,1.54167,-0.01989,5.42308,-0.5,-0.75321,0.04033,3.38462,1.46154,2.29487,0.0,0.0,0.0,0.0
dur,random_add,10,1,MTZ--DUR-TSN19-MUT,0.21591,1,5,5.66667,0.53132,1,3,3.66667,0.53229,1,3,3.66667,0.4068,1.0,4.18182,5.72727,0.53132,0.53229,0.00097,0.21591,0.02047,8.38462,0.42308,1.5,-0.16317,4.84615,-1.46154,-0.87179,0.02047,6.73077,1.23077,1.85256,-0.16317,3.19231,-0.65385,-0.51923,0.02794,7.73077,1.5,1.59936,-0.15571,4.19231,-0.38462,-0.77244,0.02047,8.34615,0.96154,1.64103,-0.16317,4.80769,-0.92308,-0.73077,0.18365,3.53846,1.88462,2.37179,0.0,0.0,0.0,0.0
