node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
DBN-GREY1-TSN11-DUTS,1,27,0.2510539041540978,6,1,5.666666666666667,random,0.2510539041540978,1.0,6.0,5.666666666666667
MTZ,2,26,0.2519140697241759,6,1,5.333333333333333,random,0.25148398693913687,1.0,6.0,5.5
DBN-GREY1-TSN176-UNISAM,3,25,0.2482474066325615,6,1,4.666666666666667,random,0.2504051268369451,1.0,6.0,5.222222222222222
DUR2,4,24,0.10940109691270435,5,1,4.333333333333333,random,0.21515411935588488,1.0,5.75,5.0
DBN-TSN935-DHA-UMGENI,5,23,0.07260773341088855,6,1,1.6666666666666667,random,0.18664484216688562,1.0,5.8,4.333333333333334
DBN-GREY1-TSN231-UKZNW-PE,6,22,0.07347709650936546,5,1,2.0,random,0.1677835512239656,1.0,5.666666666666667,3.9444444444444446
DBN-GREY1-TSN232-NMMS,7,21,4.899391595887806e-16,5,2,1.3333333333333333,random,0.14381447247768486,1.1428571428571428,5.571428571428571,3.5714285714285716
UTT,8,20,4.090118168007566e-17,7,3,1.0,random,0.12583766341797425,1.375,5.75,3.25
DBN-GREY1-TSN97-CSIR,9,19,2.8216129250936914e-18,6,3,1.3333333333333333,random,0.11185570081597712,1.5555555555555556,5.777777777777778,3.0370370370370368
DBN-GREY1-TSN150-DUTB,10,18,3.3963500700784156e-16,5,3,2.0,random,0.10067013073437944,1.7,5.7,2.933333333333333
DBN-GREY1-TSN151-DUTC,11,17,4.890550714263295e-17,6,3,1.3333333333333333,random,0.09151830066761768,1.8181818181818181,5.7272727272727275,2.787878787878788
ELS,12,16,-5.069090296515776e-16,5,3,1.0,random,0.08389177561198284,1.9166666666666667,5.666666666666667,2.638888888888889
DUR1,13,15,-9.28321939546697e-17,4,3,1.0,random,0.07743856210336876,2.0,5.538461538461538,2.5128205128205128
DBN-GREY1-TSN497-CAPRISA-DDMRI,14,14,9.376445365184748e-17,3,4,4.0,random,0.07190723623884243,2.142857142857143,5.357142857142857,2.619047619047619
CAPE2,15,13,3.8463546467905146e-17,3,4,4.0,random,0.06711342048958627,2.2666666666666666,5.2,2.711111111111111
DBN-GREY1-TSN222-TIA-PWC,16,12,-6.309908698543976e-17,2,4,1.0,random,0.06291883170898713,2.375,5.0,2.6041666666666665
DUR-TSN19-MUT,17,11,-1.0905745684033376e-16,3,4,1.0,random,0.05921772396139963,2.4705882352941178,4.882352941176471,2.5098039215686274
