graph,strategy,step,num_edges_added_this_step,edges_added,nr_aG_baseline,nr_e0_mult_baseline,nr_e1_mult_baseline,nr_CIS_baseline,nr_aG_before,nr_e0_mult_before,nr_e1_mult_before,nr_CIS_before,nr_aG_after,nr_e0_mult_after,nr_e1_mult_after,nr_CIS_after,nr_cumAUC_aG,nr_cumAUC_e0_mult,nr_cumAUC_e1_mult,nr_cumAUC_CIS,aG_before,aG_after,Delta_aG,aG_baseline0,AUC_aG__betweeness,AUC_e0_mult__betweeness,AUC_e1_mult__betweeness,AUC_CIS__betweeness,Delta_aG_vs_random__betweeness,Delta_e0_mult_vs_random__betweeness,Delta_e1_mult_vs_random__betweeness,Delta_CIS_vs_random__betweeness,AUC_aG__closeness,AUC_e0_mult__closeness,AUC_e1_mult__closeness,AUC_CIS__closeness,Delta_aG_vs_random__closeness,Delta_e0_mult_vs_random__closeness,Delta_e1_mult_vs_random__closeness,Delta_CIS_vs_random__closeness,AUC_aG__core_influence,AUC_e0_mult__core_influence,AUC_e1_mult__core_influence,AUC_CIS__core_influence,Delta_aG_vs_random__core_influence,Delta_e0_mult_vs_random__core_influence,Delta_e1_mult_vs_random__core_influence,Delta_CIS_vs_random__core_influence,AUC_aG__degree,AUC_e0_mult__degree,AUC_e1_mult__degree,AUC_CIS__degree,Delta_aG_vs_random__degree,Delta_e0_mult_vs_random__degree,Delta_e1_mult_vs_random__degree,Delta_CIS_vs_random__degree,AUC_aG__random,AUC_e0_mult__random,AUC_e1_mult__random,AUC_CIS__random,Delta_aG_vs_random__random,Delta_e0_mult_vs_random__random,Delta_e1_mult_vs_random__random,Delta_CIS_vs_random__random
els,fiedler_greedy,1,1,BLOEM--BAAIIS,0.53404,1,5,3.0,0.53404,1,5,3.0,0.61885,1,4,4.0,0.57645,1.0,4.5,3.5,0.53404,0.61885,0.08481,0.53404,0.0476,5.69231,0.61538,1.38462,-0.09917,2.30769,-0.61538,-0.61538,0.0476,5.30769,0.61538,1.38462,-0.09917,1.92308,-0.61538,-0.61538,0.0476,5.38462,0.61538,1.38462,-0.09917,2.0,-0.61538,-0.61538,0.0476,5.61538,0.61538,1.38462,-0.09917,2.23077,-0.61538,-0.61538,0.14677,3.38462,1.23077,2.0,0.0,0.0,0.0,0.0
els,fiedler_greedy,2,1,UTE-TSN12-WSU-B-PE--UTT,0.53404,1,5,3.0,0.61885,1,4,4.0,0.68898,1,3,4.5,0.61396,1.0,4.0,3.83333,0.61885,0.68898,0.07012,0.53404,0.053,5.30769,0.38462,1.26923,-0.1021,2.76923,-1.30769,-1.61538,0.053,4.76923,0.38462,1.26923,-0.1021,2.23077,-1.30769,-1.61538,0.053,4.84615,0.46154,1.26923,-0.1021,2.30769,-1.23077,-1.61538,0.053,5.0,0.38462,1.26923,-0.1021,2.46154,-1.30769,-1.61538,0.15509,2.53846,1.69231,2.88462,0.0,0.0,0.0,0.0
els,fiedler_greedy,3,1,BLOEM2--BIY-TSN65-UFH-BHISHO-PE,0.53404,1,5,3.0,0.68898,1,3,4.5,0.80345,1,2,5.5,0.66133,1.0,3.5,4.25,0.68898,0.80345,0.11447,0.53404,0.0618,4.84615,0.23077,1.34615,-0.60741,3.69231,-0.61538,-1.76923,0.0618,4.15385,0.23077,1.34615,-0.60741,3.0,-0.61538,-1.76923,0.0618,4.30769,0.23077,1.34615,-0.60741,3.15385,-0.61538,-1.76923,0.0618,4.38462,0.23077,1.34615,-0.60741,3.23077,-0.61538,-1.76923,0.66921,1.15385,0.84615,3.11538,0.0,0.0,0.0,0.0
els,fiedler_greedy,4,1,ELS-GREY1-TSN177-UNISAE--PTD-TSN216-WSU-PTD-PE,0.53404,1,5,3.0,0.80345,1,2,5.5,0.8236,1,2,6.0,0.69378,1.0,3.2,4.6,0.80345,0.8236,0.02015,0.53404,0.08265,4.61538,0.30769,1.38462,-0.15385,2.76923,-0.15385,-0.65385,0.08265,3.53846,0.46154,1.46154,-0.15385,1.69231,0.0,-0.57692,0.2365,4.07692,0.30769,1.38462,-0.0,2.23077,-0.15385,-0.65385,0.08265,4.23077,0.30769,1.38462,-0.15385,2.38462,-0.15385,-0.65385,0.2365,1.84615,0.46154,2.03846,0.0,0.0,0.0,0.0
els,fiedler_greedy,5,1,UTT--BAAIIS,0.53404,1,5,3.0,0.8236,1,2,6.0,0.94097,1,2,6.0,0.73498,1.0,3.0,4.83333,0.8236,0.94097,0.11737,0.53404,0.09841,4.38462,0.38462,1.46154,-0.02188,1.92308,0.0,-0.23077,0.09841,2.84615,0.76923,1.69231,-0.02188,0.38462,0.38462,0.0,0.09841,4.38462,0.30769,1.53846,-0.02188,1.92308,-0.07692,-0.15385,0.09841,4.30769,0.30769,1.53846,-0.02188,1.84615,-0.07692,-0.15385,0.12029,2.46154,0.38462,1.69231,0.0,0.0,0.0,0.0
els,fiedler_greedy,6,1,BLOEM2--ELS-GREY1-TSN177-UNISAE,0.53404,1,5,3.0,0.94097,1,2,6.0,0.97999,1,1,6.0,0.76998,1.0,2.71429,5.0,0.94097,0.97999,0.03902,0.53404,0.10574,4.23077,0.23077,1.88462,-0.10688,1.92308,-0.15385,-0.34615,0.10574,2.84615,0.61538,2.19231,-0.10688,0.53846,0.23077,-0.03846,0.10574,4.15385,0.23077,1.96154,-0.10688,1.84615,-0.15385,-0.26923,0.10574,4.15385,0.23077,1.96154,-0.10688,1.84615,-0.15385,-0.26923,0.21262,2.30769,0.38462,2.23077,0.0,0.0,0.0,0.0
els,fiedler_greedy,7,1,ELS-GREY1-TSN108-WSU-CHS--UTE-TSN12-WSU-B-PE,0.53404,1,5,3.0,0.97999,1,1,6.0,1.13853,1,0,6.0,0.81605,1.0,2.375,5.125,0.97999,1.13853,0.15855,0.53404,0.12465,4.0,0.15385,1.69231,-0.25804,2.53846,-0.15385,-1.19231,0.27849,2.92308,0.53846,1.76923,-0.1042,1.46154,0.23077,-1.11538,0.12465,3.61538,0.07692,1.69231,-0.25804,2.15385,-0.23077,-1.19231,0.12465,3.53846,0.15385,1.84615,-0.25804,2.07692,-0.15385,-1.03846,0.38269,1.46154,0.30769,2.88462,0.0,0.0,0.0,0.0
els,fiedler_greedy,8,1,BLOEM--BIY-TSN65-UFH-BHISHO-PE,0.53404,1,5,3.0,1.13853,1,0,6.0,1.40788,1,0,3.0,0.88181,1.0,2.11111,4.88889,1.13853,1.40788,0.26934,0.53404,0.15598,3.61538,0.15385,1.57692,-0.35869,2.15385,0.15385,-0.88462,0.15598,3.07692,0.38462,1.65385,-0.35869,1.61538,0.38462,-0.80769,0.17505,3.38462,0.30769,1.84615,-0.33963,1.92308,0.30769,-0.61538,0.15598,3.23077,0.15385,1.73077,-0.35869,1.76923,0.15385,-0.73077,0.51468,1.46154,0.0,2.46154,0.0,0.0,0.0,0.0
els,fiedler_greedy,9,1,PTD-TSN216-WSU-PTD-PE--BAAIIS,0.53404,1,5,3.0,1.40788,1,0,3.0,1.507,1,0,3.5,0.94433,1.0,1.9,4.75,1.40788,1.507,0.09912,0.53404,0.16602,3.46154,0.38462,1.84615,-0.78491,2.30769,0.30769,-0.96154,0.16602,3.15385,0.38462,1.76923,-0.78491,2.0,0.30769,-1.03846,0.16602,3.07692,0.38462,1.84615,-0.78491,1.92308,0.30769,-0.96154,0.16602,3.15385,0.53846,2.0,-0.78491,2.0,0.46154,-0.80769,0.95094,1.15385,0.07692,2.80769,0.0,0.0,0.0,0.0
els,fiedler_greedy,10,1,BIY-TSN65-UFH-BHISHO-PE--UTE-TSN12-WSU-B-PE,0.53404,1,5,3.0,1.507,1,0,3.5,1.60749,1,0,3.5,1.00462,1.0,1.72727,4.63636,1.507,1.60749,0.10049,0.53404,0.17815,3.61538,0.23077,1.76923,-0.61556,2.23077,-0.15385,-0.10256,0.17815,3.23077,0.46154,1.84615,-0.61556,1.84615,0.07692,-0.02564,0.17815,3.53846,0.23077,1.92308,-0.61556,2.15385,-0.15385,0.05128,0.17815,3.53846,0.30769,1.84615,-0.61556,2.15385,-0.07692,-0.02564,0.79371,1.38462,0.38462,1.87179,0.0,0.0,0.0,0.0
