node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
BIY-TSN65-UFH-BHISHO-PE,1,14,0.6188544868978825,4,1,4.0,random,0.6188544868978825,1.0,4.0,4.0
ELS1,2,13,0.6606866979157021,3,1,4.0,random,0.6397705924067922,1.0,3.5,4.0
ELS3,3,12,-1.7347234759791432e-17,3,3,1.0,random,0.4265137282711948,1.6666666666666667,3.3333333333333335,3.0
ELS-GREY1-TSN108-WSU-CHS,4,11,0.0,1,6,2.5,random,0.3198852962033961,2.75,2.75,2.875
BLOEM,5,10,0.0,2,6,3.0,random,0.2559082369627169,3.4,2.6,2.9
UTE-TSN12-WSU-B-PE,6,9,0.0,2,5,3.0,random,0.2132568641355974,3.6666666666666665,2.5,2.9166666666666665
BLOEM2,7,8,0.0,2,4,3.0,random,0.18279159783051208,3.7142857142857144,2.4285714285714284,2.9285714285714284
ELS2,8,7,0.0,2,4,3.0,random,0.15994264810169806,3.75,2.375,2.9375
ELS-GREY1-TSN177-UNISAE,9,6,0.0,0,6,1.0,random,0.14217124275706494,4.0,2.111111111111111,2.7222222222222223
DUR,10,5,0.0,0,5,1.0,random,0.12795411848135846,4.1,1.9,2.55
PTD-TSN216-WSU-PTD-PE,11,4,0.0,0,4,1.0,random,0.11632192589214405,4.090909090909091,1.7272727272727273,2.409090909090909
BAAIIS,12,3,0.0,0,3,1.0,random,0.1066284320677987,4.0,1.5833333333333333,2.2916666666666665
ELS-GREY1-TSN393-WSU-CAM,13,2,0.0,0,2,1.0,random,0.09842624498566034,3.8461538461538463,1.4615384615384615,2.1923076923076925
ELS3,1,14,0.6188544868978825,4,1,4.0,core influence,0.6188544868978825,1.0,4.0,4.0
ELS1,2,13,0.0,3,2,1.0,core influence,0.30942724344894124,1.5,3.5,2.5
ELS2,3,12,0.0,1,7,1.0,core influence,0.20628482896596081,3.3333333333333335,2.6666666666666665,2.0
PTD-TSN216-WSU-PTD-PE,4,11,0.0,0,9,1.0,core influence,0.15471362172447062,4.75,2.0,1.75
BLOEM2,5,10,0.0,0,9,1.0,core influence,0.1237708973795765,5.6,1.6,1.6
DUR,6,9,0.0,0,8,1.0,core influence,0.10314241448298041,6.0,1.3333333333333333,1.5
ELS-GREY1-TSN393-WSU-CAM,7,8,0.0,0,7,1.0,core influence,0.08840778384255464,6.142857142857143,1.1428571428571428,1.4285714285714286
ELS-GREY1-TSN108-WSU-CHS,8,7,0.0,0,6,1.0,core influence,0.07735681086223531,6.125,1.0,1.375
ELS-GREY1-TSN177-UNISAE,9,6,0.0,0,6,1.0,core influence,0.06876160965532027,6.111111111111111,0.8888888888888888,1.3333333333333333
UTE-TSN12-WSU-B-PE,10,5,0.0,0,5,1.0,core influence,0.06188544868978825,6.0,0.8,1.3
BAAIIS,11,4,0.0,0,4,1.0,core influence,0.056259498808898405,5.818181818181818,0.7272727272727273,1.2727272727272727
BLOEM,12,3,0.0,0,3,1.0,core influence,0.051571207241490204,5.583333333333333,0.6666666666666666,1.25
UTT,13,2,0.0,0,2,1.0,core influence,0.04760419129983711,5.3076923076923075,0.6153846153846154,1.2307692307692308
ELS1,1,14,0.6188544868978825,4,1,4.0,degree,0.6188544868978825,1.0,4.0,4.0
ELS3,2,13,-1.2376331935902382e-16,3,4,1.3333333333333333,degree,0.3094272434489412,2.5,3.5,2.6666666666666665
ELS2,3,12,0.0,1,7,1.0,degree,0.2062848289659608,4.0,2.6666666666666665,2.111111111111111
BLOEM2,4,11,0.0,0,9,1.0,degree,0.1547136217244706,5.25,2.0,1.8333333333333333
DUR,5,10,0.0,0,9,1.0,degree,0.12377089737957647,6.0,1.6,1.6666666666666667
ELS-GREY1-TSN108-WSU-CHS,6,9,0.0,0,8,1.0,degree,0.1031424144829804,6.333333333333333,1.3333333333333333,1.5555555555555556
ELS-GREY1-TSN177-UNISAE,7,8,0.0,0,8,1.0,degree,0.08840778384255463,6.571428571428571,1.1428571428571428,1.4761904761904763
ELS-GREY1-TSN393-WSU-CAM,8,7,0.0,0,7,1.0,degree,0.0773568108622353,6.625,1.0,1.4166666666666667
PTD-TSN216-WSU-PTD-PE,9,6,0.0,0,6,1.0,degree,0.06876160965532026,6.555555555555555,0.8888888888888888,1.3703703703703705
BLOEM,10,5,0.0,0,5,1.0,degree,0.061885448689788236,6.4,0.8,1.3333333333333335
BIY-TSN65-UFH-BHISHO-PE,11,4,0.0,0,4,1.0,degree,0.0562594988088984,6.181818181818182,0.7272727272727273,1.303030303030303
UTE-TSN12-WSU-B-PE,12,3,0.0,0,3,1.0,degree,0.0515712072414902,5.916666666666667,0.6666666666666666,1.277777777777778
UTT,13,2,0.0,0,2,1.0,degree,0.047604191299837104,5.615384615384615,0.6153846153846154,1.2564102564102564
ELS1,1,14,0.6188544868978825,4,1,4.0,betweeness,0.6188544868978825,1.0,4.0,4.0
ELS3,2,13,-1.2376331935902382e-16,3,4,1.3333333333333333,betweeness,0.3094272434489412,2.5,3.5,2.6666666666666665
