graph,strategy,step,num_edges_added_this_step,edges_added,aG_before,aG_after,Delta_aG,aG_baseline0,AUC_aG__betweeness,AUC_e0_mult__betweeness,AUC_e1_mult__betweeness,AUC_CIS__betweeness,Delta_aG_vs_random__betweeness,Delta_e0_mult_vs_random__betweeness,Delta_e1_mult_vs_random__betweeness,Delta_CIS_vs_random__betweeness,AUC_aG__closeness,AUC_e0_mult__closeness,AUC_e1_mult__closeness,AUC_CIS__closeness,Delta_aG_vs_random__closeness,Delta_e0_mult_vs_random__closeness,Delta_e1_mult_vs_random__closeness,Delta_CIS_vs_random__closeness,AUC_aG__core_influence,AUC_e0_mult__core_influence,AUC_e1_mult__core_influence,AUC_CIS__core_influence,Delta_aG_vs_random__core_influence,Delta_e0_mult_vs_random__core_influence,Delta_e1_mult_vs_random__core_influence,Delta_CIS_vs_random__core_influence,AUC_aG__degree,AUC_e0_mult__degree,AUC_e1_mult__degree,AUC_CIS__degree,Delta_aG_vs_random__degree,Delta_e0_mult_vs_random__degree,Delta_e1_mult_vs_random__degree,Delta_CIS_vs_random__degree,AUC_aG__random,AUC_e0_mult__random,AUC_e1_mult__random,AUC_CIS__random,Delta_aG_vs_random__random,Delta_e0_mult_vs_random__random,Delta_e1_mult_vs_random__random,Delta_CIS_vs_random__random
els,highest_degree_pair,1,1,ELS1--ELS-GREY1-TSN108-WSU-CHS,0.53404,0.62096,0.08692,0.53404,0.04777,6.0,0.69231,1.30769,-0.41874,4.0,-1.07692,-1.38462,0.04777,6.0,0.69231,1.30769,-0.41874,4.0,-1.07692,-1.38462,0.04777,5.92308,0.76923,1.34615,-0.41874,3.92308,-1.0,-1.34615,0.04777,6.0,0.69231,1.30769,-0.41874,4.0,-1.07692,-1.38462,0.46651,2.0,1.76923,2.69231,0.0,0.0,0.0,0.0
els,highest_degree_pair,2,1,ELS1--ELS-GREY1-TSN177-UNISAE,0.62096,0.63385,0.01289,0.53404,0.04876,6.0,0.69231,1.14103,-0.38462,3.84615,-2.92308,-2.23077,0.04876,6.0,0.69231,1.14103,-0.38462,3.84615,-2.92308,-2.23077,0.04876,6.0,0.69231,1.14103,-0.38462,3.84615,-2.92308,-2.23077,0.04876,6.0,0.69231,1.14103,-0.38462,3.84615,-2.92308,-2.23077,0.43337,2.15385,3.61538,3.37179,0.0,0.0,0.0,0.0
els,highest_degree_pair,3,1,ELS1--BLOEM2,0.63385,0.7281,0.09424,0.53404,0.05601,6.0,0.61538,1.15385,-0.1135,3.07692,-0.84615,-1.19231,0.05601,6.0,0.61538,1.15385,-0.1135,3.07692,-0.84615,-1.19231,0.05601,5.23077,1.15385,1.53846,-0.1135,2.30769,-0.30769,-0.80769,0.05601,6.0,0.61538,1.15385,-0.1135,3.07692,-0.84615,-1.19231,0.16951,2.92308,1.46154,2.34615,0.0,0.0,0.0,0.0
els,highest_degree_pair,4,1,ELS1--UTT,0.7281,0.76138,0.03328,0.53404,0.05857,6.0,0.61538,1.15385,-0.23077,3.38462,-2.0,-0.76923,0.05857,6.0,0.61538,1.15385,-0.23077,3.38462,-2.0,-0.76923,0.05857,5.69231,0.84615,1.26923,-0.23077,3.07692,-1.76923,-0.65385,0.05857,6.0,0.61538,1.15385,-0.23077,3.38462,-2.0,-0.76923,0.28934,2.61538,2.61538,1.92308,0.0,0.0,0.0,0.0
els,highest_degree_pair,5,1,ELS1--BAAIIS,0.76138,1.0,0.23862,0.53404,0.07692,6.0,0.69231,1.15385,-0.76923,4.53846,-2.53846,-0.38462,0.07692,6.0,0.69231,1.15385,-0.76923,4.53846,-2.53846,-0.38462,0.07692,5.84615,0.84615,1.19231,-0.76923,4.38462,-2.38462,-0.34615,0.07692,6.0,0.69231,1.15385,-0.76923,4.53846,-2.53846,-0.38462,0.84615,1.46154,3.23077,1.53846,0.0,0.0,0.0,0.0
els,highest_degree_pair,6,1,ELS3--ELS-GREY1-TSN177-UNISAE,1.0,1.0,0.0,0.53404,0.07692,6.0,0.61538,1.26923,-0.15385,1.38462,-0.84615,-0.26923,0.07692,6.0,0.61538,1.26923,-0.15385,1.38462,-0.84615,-0.26923,0.07692,5.92308,0.69231,1.30769,-0.15385,1.30769,-0.76923,-0.23077,0.07692,6.0,0.61538,1.26923,-0.15385,1.38462,-0.84615,-0.26923,0.23077,4.61538,1.46154,1.53846,0.0,0.0,0.0,0.0
els,highest_degree_pair,7,1,ELS3--ELS-GREY1-TSN393-WSU-CAM,1.0,1.0,0.0,0.53404,0.07692,6.0,0.53846,1.38462,-0.23077,1.84615,-0.76923,-0.11538,0.07692,6.0,0.53846,1.38462,-0.23077,1.84615,-0.76923,-0.11538,0.07692,6.0,0.53846,1.38462,-0.23077,1.84615,-0.76923,-0.11538,0.07692,6.0,0.53846,1.38462,-0.23077,1.84615,-0.76923,-0.11538,0.30769,4.15385,1.30769,1.5,0.0,0.0,0.0,0.0
els,highest_degree_pair,8,1,ELS3--UTT,1.0,1.0,0.0,0.53404,0.07692,6.0,0.61538,1.53846,-1.0,5.0,-3.46154,-1.57692,0.07692,6.0,0.61538,1.53846,-1.0,5.0,-3.46154,-1.57692,0.07692,6.0,0.61538,1.53846,-1.0,5.0,-3.46154,-1.57692,0.07692,6.0,0.61538,1.53846,-1.0,5.0,-3.46154,-1.57692,1.07692,1.0,4.07692,3.11538,0.0,0.0,0.0,0.0
els,highest_degree_pair,9,1,ELS3--BLOEM,1.0,1.0,-0.0,0.53404,0.07692,5.92308,0.61538,1.53846,-0.46154,3.61538,-2.15385,-0.46154,0.07692,5.92308,0.61538,1.53846,-0.46154,3.61538,-2.15385,-0.46154,0.15385,5.69231,0.84615,1.53846,-0.38462,3.38462,-1.92308,-0.46154,0.07692,5.92308,0.61538,1.53846,-0.46154,3.61538,-2.15385,-0.46154,0.53846,2.30769,2.76923,2.0,0.0,0.0,0.0,0.0
els,highest_degree_pair,10,1,ELS3--BIY-TSN65-UFH-BHISHO-PE,1.0,1.0,-0.0,0.53404,0.07692,5.84615,0.61538,1.53846,-0.92308,4.61538,-0.61538,-0.15385,0.07692,5.84615,0.61538,1.53846,-0.92308,4.61538,-0.61538,-0.15385,0.07692,5.84615,0.61538,1.53846,-0.92308,4.61538,-0.61538,-0.15385,0.07692,5.84615,0.61538,1.53846,-0.92308,4.61538,-0.61538,-0.15385,1.0,1.23077,1.23077,1.69231,0.0,0.0,0.0,0.0
