node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
ELS1,1,14,0.7280960212114231,3,1,1.5,random,0.7280960212114231,1.0,3.0,1.5
BLOEM,2,13,-2.2806623196260948e-17,4,5,1.0,random,0.36404801060571157,3.0,3.5,1.25
UTE-TSN12-WSU-B-PE,3,12,-6.889047691724186e-18,4,4,1.0,random,0.24269867373714105,3.3333333333333335,3.6666666666666665,1.1666666666666667
ELS2,4,11,-1.5072607153078844e-16,4,3,1.0,random,0.18202400530285573,3.25,3.75,1.125
BAAIIS,5,10,0.0,2,5,4.0,random,0.14561920424228458,3.6,3.4,1.7
ELS-GREY1-TSN393-WSU-CAM,6,9,0.0,1,5,3.0,random,0.12134933686857048,3.8333333333333335,3.0,1.9166666666666667
DUR,7,8,0.0,1,4,3.0,random,0.10401371731591756,3.857142857142857,2.7142857142857144,2.0714285714285716
BLOEM2,8,7,0.0,0,4,2.0,random,0.09101200265142786,3.875,2.375,2.0625
UTT,9,6,0.0,1,4,2.0,random,0.08089955791238032,3.888888888888889,2.2222222222222223,2.0555555555555554
BIY-TSN65-UFH-BHISHO-PE,10,5,0.0,1,3,2.0,random,0.07280960212114229,3.8,2.1,2.05
ELS3,11,4,3.960290235698816e-17,1,2,2.0,random,0.06619054738285664,3.6363636363636362,2.0,2.0454545454545454
ELS-GREY1-TSN177-UNISAE,12,3,0.0,0,2,1.0,random,0.060674668434285255,3.5,1.8333333333333333,1.9583333333333333
PTD-TSN216-WSU-PTD-PE,13,2,0.0,0,2,1.0,random,0.05600738624703254,3.3846153846153846,1.6923076923076923,1.8846153846153846
ELS1,1,14,0.7280960212114231,3,1,1.5,core influence,0.7280960212114231,1.0,3.0,1.5
ELS-GREY1-TSN108-WSU-CHS,2,13,-2.2806623196260948e-17,4,5,1.0,core influence,0.36404801060571157,3.0,3.5,1.25
ELS-GREY1-TSN177-UNISAE,3,12,0.0,4,5,4.0,core influence,0.24269867373714105,3.6666666666666665,3.6666666666666665,2.1666666666666665
ELS3,4,11,-1.570358850957492e-17,3,5,3.5,core influence,0.18202400530285578,4.0,3.5,2.5
ELS2,5,10,0.0,1,8,2.0,core influence,0.14561920424228464,4.8,3.0,2.4
BLOEM2,6,9,0.0,0,9,1.0,core influence,0.12134933686857052,5.5,2.5,2.1666666666666665
DUR,7,8,0.0,0,8,1.0,core influence,0.10401371731591759,5.857142857142857,2.142857142857143,2.0
ELS-GREY1-TSN393-WSU-CAM,8,7,0.0,0,7,1.0,core influence,0.09101200265142789,6.0,1.875,1.875
UTE-TSN12-WSU-B-PE,9,6,0.0,0,6,1.0,core influence,0.08089955791238035,6.0,1.6666666666666667,1.7777777777777777
PTD-TSN216-WSU-PTD-PE,10,5,0.0,0,5,1.0,core influence,0.07280960212114232,5.9,1.5,1.7
BAAIIS,11,4,0.0,0,4,1.0,core influence,0.06619054738285665,5.7272727272727275,1.3636363636363635,1.6363636363636365
UTT,12,3,0.0,0,3,1.0,core influence,0.06067466843428526,5.5,1.25,1.5833333333333333
BLOEM,13,2,0.0,0,2,1.0,core influence,0.056007386247032546,5.230769230769231,1.1538461538461537,1.5384615384615385
ELS1,1,14,0.7280960212114231,3,1,1.5,degree,0.7280960212114231,1.0,3.0,1.5
ELS3,2,13,-2.2806623196260948e-17,4,5,1.0,degree,0.36404801060571157,3.0,3.5,1.25
