graph,strategy,step,num_edges_added_this_step,edges_added,nr_aG_baseline,nr_e0_mult_baseline,nr_e1_mult_baseline,nr_CIS_baseline,nr_aG_before,nr_e0_mult_before,nr_e1_mult_before,nr_CIS_before,nr_aG_after,nr_e0_mult_after,nr_e1_mult_after,nr_CIS_after,nr_cumAUC_aG,nr_cumAUC_e0_mult,nr_cumAUC_e1_mult,nr_cumAUC_CIS,aG_before,aG_after,Delta_aG,aG_baseline0,AUC_aG__betweeness,AUC_e0_mult__betweeness,AUC_e1_mult__betweeness,AUC_CIS__betweeness,Delta_aG_vs_random__betweeness,Delta_e0_mult_vs_random__betweeness,Delta_e1_mult_vs_random__betweeness,Delta_CIS_vs_random__betweeness,AUC_aG__closeness,AUC_e0_mult__closeness,AUC_e1_mult__closeness,AUC_CIS__closeness,Delta_aG_vs_random__closeness,Delta_e0_mult_vs_random__closeness,Delta_e1_mult_vs_random__closeness,Delta_CIS_vs_random__closeness,AUC_aG__core_influence,AUC_e0_mult__core_influence,AUC_e1_mult__core_influence,AUC_CIS__core_influence,Delta_aG_vs_random__core_influence,Delta_e0_mult_vs_random__core_influence,Delta_e1_mult_vs_random__core_influence,Delta_CIS_vs_random__core_influence,AUC_aG__degree,AUC_e0_mult__degree,AUC_e1_mult__degree,AUC_CIS__degree,Delta_aG_vs_random__degree,Delta_e0_mult_vs_random__degree,Delta_e1_mult_vs_random__degree,Delta_CIS_vs_random__degree,AUC_aG__random,AUC_e0_mult__random,AUC_e1_mult__random,AUC_CIS__random,Delta_aG_vs_random__random,Delta_e0_mult_vs_random__random,Delta_e1_mult_vs_random__random,Delta_CIS_vs_random__random
els,mrkc_heuristic,1,1,BAAIIS--ELS1,0.53404,1,5,3.0,0.53404,1,5,3.0,0.59913,1,4,4.0,0.56659,1.0,4.5,3.5,0.53404,0.59913,0.06509,0.53404,0.04609,6.0,0.69231,1.34615,-0.41874,4.0,-1.07692,-1.38462,0.04609,5.46154,0.69231,1.34615,-0.41874,3.46154,-1.07692,-1.38462,0.04609,5.61538,0.76923,1.34615,-0.41874,3.61538,-1.0,-1.38462,0.04609,5.92308,0.69231,1.34615,-0.41874,3.92308,-1.07692,-1.38462,0.46483,2.0,1.76923,2.73077,0.0,0.0,0.0,0.0
els,mrkc_heuristic,2,1,BIY-TSN65-UFH-BHISHO-PE--ELS3,0.53404,1,5,3.0,0.59913,1,4,4.0,0.64968,1,3,5.0,0.59428,1.0,4.0,4.0,0.59913,0.64968,0.05055,0.53404,0.04998,5.92308,0.69231,1.42308,-0.0,3.07692,-1.92308,-1.80769,0.04998,5.53846,0.69231,1.42308,-0.0,2.69231,-1.92308,-1.80769,0.04998,5.76923,0.69231,1.42308,0.0,2.92308,-1.92308,-1.80769,0.04998,5.76923,0.69231,1.42308,-0.0,2.92308,-1.92308,-1.80769,0.04998,2.84615,2.61538,3.23077,0.0,0.0,0.0,0.0
els,mrkc_heuristic,3,1,BLOEM--ELS3,0.53404,1,5,3.0,0.64968,1,3,5.0,0.68449,1,2,6.0,0.61683,1.0,3.5,4.5,0.64968,0.68449,0.03481,0.53404,0.05265,5.84615,0.69231,1.5,-0.18923,3.76923,-1.23077,-2.19231,0.05265,5.46154,0.69231,1.5,-0.18923,3.38462,-1.23077,-2.19231,0.05265,5.76923,0.69231,1.5,-0.18923,3.69231,-1.23077,-2.19231,0.05265,5.61538,0.69231,1.5,-0.18923,3.53846,-1.23077,-2.19231,0.24188,2.07692,1.92308,3.69231,0.0,0.0,0.0,0.0
els,mrkc_heuristic,4,1,BLOEM2--ELS1,0.53404,1,5,3.0,0.68449,1,2,6.0,0.6845,1,2,7.0,0.63037,1.0,3.2,5.0,0.68449,0.6845,1e-05,0.53404,0.05265,5.84615,0.69231,1.57692,-0.13378,3.46154,-1.61538,-0.75641,0.05265,5.38462,0.69231,1.57692,-0.13378,3.0,-1.61538,-0.75641,0.05265,5.53846,0.69231,1.57692,-0.13378,3.15385,-1.61538,-0.75641,0.05265,5.53846,0.69231,1.57692,-0.13378,3.15385,-1.61538,-0.75641,0.18644,2.38462,2.30769,2.33333,0.0,0.0,0.0,0.0
els,mrkc_heuristic,5,1,PTD-TSN216-WSU-PTD-PE--ELS3,0.53404,1,5,3.0,0.6845,1,2,7.0,0.70949,1,1,8.0,0.64355,1.0,2.83333,5.5,0.6845,0.70949,0.025,0.53404,0.05458,5.76923,0.69231,1.65385,-0.48619,4.15385,-1.76923,-0.34615,0.05458,5.23077,0.69231,1.65385,-0.48619,3.61538,-1.76923,-0.34615,0.05458,5.30769,0.69231,1.65385,-0.48619,3.69231,-1.76923,-0.34615,0.05458,5.46154,0.69231,1.65385,-0.48619,3.84615,-1.76923,-0.34615,0.54076,1.61538,2.46154,2.0,0.0,0.0,0.0,0.0
els,mrkc_heuristic,6,1,UTE-TSN12-WSU-B-PE--ELS3,0.53404,1,5,3.0,0.70949,1,1,8.0,0.73177,1,1,9.0,0.65616,1.0,2.57143,6.0,0.70949,0.73177,0.02227,0.53404,0.07835,5.69231,0.61538,1.75641,-0.02272,1.07692,-0.46154,-0.07692,0.08632,5.30769,0.76923,1.73077,-0.01476,0.69231,-0.30769,-0.10256,0.08632,5.61538,0.76923,1.73077,-0.01476,1.0,-0.30769,-0.10256,0.08632,5.38462,0.76923,1.73077,-0.01476,0.76923,-0.30769,-0.10256,0.10107,4.61538,1.07692,1.83333,0.0,0.0,0.0,0.0
els,mrkc_heuristic,7,1,UTT--ELS1,0.53404,1,5,3.0,0.73177,1,1,9.0,0.95326,1,1,9.5,0.69329,1.0,2.375,6.4375,0.73177,0.95326,0.22149,0.53404,0.10336,5.69231,0.76923,1.76923,-0.1359,1.53846,0.15385,-1.11538,0.2572,5.0,0.76923,1.76923,0.01795,0.84615,0.15385,-1.11538,0.10336,5.69231,0.76923,1.76923,-0.1359,1.53846,0.15385,-1.11538,0.10336,5.38462,0.76923,1.76923,-0.1359,1.23077,0.15385,-1.11538,0.23926,4.15385,0.61538,2.88462,0.0,0.0,0.0,0.0
els,mrkc_heuristic,8,1,BAAIIS--ELS2,0.53404,1,5,3.0,0.95326,1,1,9.5,0.98978,1,1,1.0,0.72624,1.0,2.22222,5.83333,0.95326,0.98978,0.03653,0.53404,0.11341,5.61538,0.76923,1.23077,-0.06509,4.0,-2.15385,-0.84615,0.26726,4.92308,0.76923,1.23077,0.08876,3.30769,-2.15385,-0.84615,0.11341,5.15385,0.76923,1.23077,-0.06509,3.53846,-2.15385,-0.84615,0.11341,5.23077,0.76923,1.23077,-0.06509,3.61538,-2.15385,-0.84615,0.1785,1.61538,2.92308,2.07692,0.0,0.0,0.0,0.0
els,mrkc_heuristic,9,1,BIY-TSN65-UFH-BHISHO-PE--ELS2,0.53404,1,5,3.0,0.98978,1,1,1.0,1.01372,1,1,2.0,0.75499,1.0,2.1,5.45,0.98978,1.01372,0.02394,0.53404,0.12147,5.53846,0.76923,1.42308,-0.24428,3.38462,-0.84615,-0.65385,0.27531,4.84615,0.76923,1.42308,-0.09043,2.69231,-0.84615,-0.65385,0.10915,4.84615,0.84615,1.74359,-0.25659,2.69231,-0.76923,-0.33333,0.12147,5.15385,0.76923,1.42308,-0.24428,3.0,-0.84615,-0.65385,0.36574,2.15385,1.61538,2.07692,0.0,0.0,0.0,0.0
els,mrkc_heuristic,10,1,BLOEM--ELS2,0.53404,1,5,3.0,1.01372,1,1,2.0,1.03022,1,1,3.0,0.78001,1.0,2.0,5.22727,1.01372,1.03022,0.01649,0.53404,0.1283,5.46154,0.76923,1.61538,-0.58163,4.38462,-0.30769,-1.0,0.28215,4.76923,0.76923,1.61538,-0.42779,3.69231,-0.30769,-1.0,0.1283,4.92308,0.76923,1.61538,-0.58163,3.84615,-0.30769,-1.0,0.1283,5.07692,0.76923,1.61538,-0.58163,4.0,-0.30769,-1.0,0.70993,1.07692,1.07692,2.61538,0.0,0.0,0.0,0.0
