node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
BLOEM,1,14,0.6844893942831829,2,1,6.0,random,0.6844893942831829,1.0,2.0,6.0
BLOEM2,2,13,0.6861018163462295,2,1,5.0,random,0.6852956053147061,1.0,2.0,5.5
PTD-TSN216-WSU-PTD-PE,3,12,0.6865034059150292,2,1,5.0,random,0.6856982055148139,1.0,2.0,5.333333333333333
BIY-TSN65-UFH-BHISHO-PE,4,11,0.7383177780100483,1,1,5.0,random,0.6988530986386224,1.0,1.75,5.25
BAAIIS,5,10,0.7450237782971342,1,1,4.0,random,0.7080872345703249,1.0,1.6,5.0
ELS-GREY1-TSN108-WSU-CHS,6,9,0.743507671686248,0,1,3.0,random,0.713990640756312,1.0,1.3333333333333333,4.666666666666667
ELS-GREY1-TSN393-WSU-CAM,7,8,0.6871566298103565,1,1,3.0,random,0.7101572106211754,1.0,1.2857142857142858,4.428571428571429
ELS-GREY1-TSN177-UNISAE,8,7,0.6150412522324753,1,1,2.0,random,0.698267715822588,1.0,1.25,4.125
DUR,9,6,0.6972243622680055,0,1,2.0,random,0.6981517876498566,1.0,1.1111111111111112,3.888888888888889
ELS1,10,5,0.6972243622680051,0,1,1.0,random,0.6980590451116715,1.0,1.0,3.6
UTE-TSN12-WSU-B-PE,11,4,3.960290235698816e-17,1,2,2.0,random,0.6345991319197014,1.0909090909090908,1.0,3.4545454545454546
ELS2,12,3,0.9999999999999997,1,1,2.0,random,0.6650492042597261,1.0833333333333333,1.0,3.3333333333333335
ELS3,13,2,0.0,0,2,1.0,random,0.6138915731628242,1.1538461538461537,0.9230769230769231,3.1538461538461537
ELS1,1,14,0.6844893942831829,2,1,6.0,core influence,0.6844893942831829,1.0,2.0,6.0
ELS3,2,13,1.9853597181893435e-16,6,3,1.0,core influence,0.34224469714159156,2.0,4.0,3.5
ELS2,3,12,0.0,1,8,2.5,core influence,0.2281631314277277,4.0,3.0,3.1666666666666665
BIY-TSN65-UFH-BHISHO-PE,4,11,0.0,0,10,1.0,core influence,0.17112234857079578,5.5,2.25,2.625
ELS-GREY1-TSN177-UNISAE,5,10,0.0,0,9,1.0,core influence,0.13689787885663662,6.2,1.8,2.3
BLOEM,6,9,0.0,0,9,1.0,core influence,0.11408156571386385,6.666666666666667,1.5,2.0833333333333335
ELS-GREY1-TSN108-WSU-CHS,7,8,0.0,0,8,1.0,core influence,0.09778419918331187,6.857142857142857,1.2857142857142858,1.9285714285714286
ELS-GREY1-TSN393-WSU-CAM,8,7,0.0,0,7,1.0,core influence,0.08556117428539789,6.875,1.125,1.8125
DUR,9,6,0.0,0,6,1.0,core influence,0.0760543771425759,6.777777777777778,1.0,1.7222222222222223
BAAIIS,10,5,0.0,0,5,1.0,core influence,0.06844893942831831,6.6,0.9,1.65
UTT,11,4,0.0,0,4,1.0,core influence,0.062226308571198465,6.363636363636363,0.8181818181818182,1.5909090909090908
BLOEM2,12,3,0.0,0,3,1.0,core influence,0.057040782856931926,6.083333333333333,0.75,1.5416666666666667
PTD-TSN216-WSU-PTD-PE,13,2,0.0,0,2,1.0,core influence,0.052653030329475624,5.769230769230769,0.6923076923076923,1.5
ELS1,1,14,0.6844893942831829,2,1,6.0,degree,0.6844893942831829,1.0,2.0,6.0
ELS3,2,13,1.9853597181893435e-16,6,3,1.0,degree,0.34224469714159156,2.0,4.0,3.5
ELS2,3,12,0.0,1,8,2.5,degree,0.2281631314277277,4.0,3.0,3.1666666666666665
BLOEM,4,11,0.0,0,10,1.0,degree,0.17112234857079578,5.5,2.25,2.625
BIY-TSN65-UFH-BHISHO-PE,5,10,0.0,0,9,1.0,degree,0.13689787885663662,6.2,1.8,2.3
DUR,6,9,0.0,0,8,1.0,degree,0.11408156571386385,6.5,1.5,2.0833333333333335
ELS-GREY1-TSN108-WSU-CHS,7,8,0.0,0,7,1.0,degree,0.09778419918331187,6.571428571428571,1.2857142857142858,1.9285714285714286
ELS-GREY1-TSN177-UNISAE,8,7,0.0,0,7,1.0,degree,0.08556117428539789,6.625,1.125,1.8125
ELS-GREY1-TSN393-WSU-CAM,9,6,0.0,0,6,1.0,degree,0.0760543771425759,6.555555555555555,1.0,1.7222222222222223
BAAIIS,10,5,0.0,0,5,1.0,degree,0.06844893942831831,6.4,0.9,1.65
BLOEM2,11,4,0.0,0,4,1.0,degree,0.062226308571198465,6.181818181818182,0.8181818181818182,1.5909090909090908
PTD-TSN216-WSU-PTD-PE,12,3,0.0,0,3,1.0,degree,0.057040782856931926,5.916666666666667,0.75,1.5416666666666667
