node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
ELS-GREY1-TSN177-UNISAE,1,14,0.7923221658279527,0,1,4.0,random,0.7923221658279527,1.0,0.0,4.0
ELS-GREY1-TSN393-WSU-CAM,2,13,0.7065972416389622,0,1,3.0,random,0.7494597037334574,1.0,0.0,3.5
ELS3,3,12,0.6304036134541874,1,1,3.0,random,0.7097743403070341,1.0,0.3333333333333333,3.3333333333333335
ELS1,4,11,0.4031481599845285,0,1,1.5,random,0.6331177952264077,1.0,0.25,2.875
ELS-GREY1-TSN108-WSU-CHS,5,10,-4.4103271420794736e-16,2,3,1.0,random,0.506494236181126,1.4,0.6,2.5
UTE-TSN12-WSU-B-PE,6,9,-8.00061454350284e-18,1,3,1.0,random,0.4220785301509384,1.6666666666666667,0.6666666666666666,2.25
BLOEM2,7,8,5.0589223851682424e-17,1,3,3.0,random,0.36178159727223286,1.8571428571428572,0.7142857142857143,2.357142857142857
UTT,8,7,0.0,0,3,2.0,random,0.31655889761320377,2.0,0.625,2.3125
BAAIIS,9,6,0.0,0,3,2.0,random,0.28138568676729225,2.111111111111111,0.5555555555555556,2.2777777777777777
DUR,10,5,0.0,1,3,2.0,random,0.253247118090563,2.2,0.6,2.25
BIY-TSN65-UFH-BHISHO-PE,11,4,0.0,0,3,1.0,random,0.23022465280960275,2.272727272727273,0.5454545454545454,2.1363636363636362
ELS2,12,3,0.0,0,2,1.0,random,0.2110392650754692,2.25,0.5,2.0416666666666665
PTD-TSN216-WSU-PTD-PE,13,2,2.0,0,1,1.0,random,0.3486516293004331,2.1538461538461537,0.46153846153846156,1.9615384615384615
ELS1,1,14,0.7923221658279527,0,1,4.0,core influence,0.7923221658279527,1.0,0.0,4.0
ELS3,2,13,0.30205768710379655,0,1,3.5,core influence,0.5471899264658746,1.0,0.0,3.75
PTD-TSN216-WSU-PTD-PE,3,12,0.15362899211082684,1,1,2.0,core influence,0.4160029483475254,1.0,0.3333333333333333,3.1666666666666665
DUR,4,11,1.8319433273730855e-16,1,2,1.5,core influence,0.31200221126064404,1.25,0.5,2.75
BLOEM,5,10,-8.145046358918289e-17,0,3,3.0,core influence,0.24960176900851522,1.6,0.4,2.8
