node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
CAPE,1,32,0.3787232139401649,4,1,6.5,random,0.3787232139401649,1.0,4.0,6.5
JNB2,2,31,0.3817244377032126,3,1,6.5,random,0.3802238258216888,1.0,3.5,6.5
JNB-TSN44-UJ-DF-PE,3,30,0.0,1,4,4.666666666666667,random,0.2534825505477925,2.0,2.6666666666666665,5.888888888888889
JNB-GREY2-TSN659-WITS-CLMDC,4,29,-2.244891583357742e-17,1,5,4.333333333333333,random,0.19011191291084437,2.75,2.25,5.5
JNB-TSN251-GIBS,5,28,-4.738072557122223e-16,1,5,4.333333333333333,random,0.1520895303286754,3.2,2.0,5.266666666666667
VDP,6,27,-1.1258967256023712e-15,1,5,4.333333333333333,random,0.12674127527389598,3.5,1.8333333333333333,5.111111111111111
JNB-GREY2-TSN171-UJSO,7,26,-5.974613468777245e-16,1,4,4.333333333333333,random,0.10863537880619648,3.5714285714285716,1.7142857142857142,5.0
THY-TSN87-UNIVEN-MC-PE,8,25,-4.289773023517205e-16,1,4,4.333333333333333,random,0.09505595645542186,3.625,1.625,4.916666666666666
BLOEM2,9,24,-3.6938686100278366e-16,1,4,3.6666666666666665,random,0.0844941835159305,3.6666666666666665,1.5555555555555556,4.777777777777778
JNB-GREY-TSN284-WITS-HJH,10,23,3.553332563461898e-17,1,3,3.6666666666666665,random,0.07604476516433746,3.6,1.5,4.666666666666666
JNB-GREY2-TSN42-UJBU,11,22,-4.2677783541381094e-16,1,3,3.0,random,0.06913160469485219,3.5454545454545454,1.4545454545454546,4.515151515151515
UNISA,12,21,-3.58525226117698e-17,3,4,3.0,random,0.06337063763694784,3.5833333333333335,1.5833333333333333,4.388888888888888
DURBS,13,20,-1.1209805843609646e-16,3,4,3.0,random,0.05849597320333645,3.6153846153846154,1.6923076923076923,4.282051282051282
BLOEM3,14,19,-1.9071546754858276e-16,3,4,3.0,random,0.05431768940309813,3.642857142857143,1.7857142857142858,4.190476190476191
JNB-TSN949-GIBS-NORTH,15,18,-3.3163989990411854e-17,3,5,1.5,random,0.050696510109558245,3.7333333333333334,1.8666666666666667,4.011111111111111
CPT1,16,17,-9.81364723900871e-17,3,5,2.5,random,0.047527978227710856,3.8125,1.9375,3.9166666666666665
JNB-TSN76-UNISA-FLORIDA-PE,17,16,-1.9403273348929954e-16,3,4,2.5,random,0.04473221480255138,3.823529411764706,2.0,3.8333333333333335
JNB-GREY2-TSN295-CSIR-CTF,18,15,-1.553795537847495e-16,3,4,2.5,random,0.04224709175796518,3.8333333333333335,2.0555555555555554,3.7592592592592595
MTZ,19,14,-2.477342421837148e-16,2,4,1.0,random,0.04002356061280911,3.8421052631578947,2.0526315789473686,3.6140350877192984
SDT-TSN535-UCT-GSB,20,13,-1.0879596250509316e-16,1,4,1.6666666666666667,random,0.03802238258216865,3.85,2.0,3.5166666666666666
JNB-GREY2-TSN99-CSMI,21,12,-4.4034960422114926e-17,1,4,1.6666666666666667,random,0.03621179293539871,3.857142857142857,1.9523809523809523,3.4285714285714284
JNB1,22,11,0.0,0,4,1.5,random,0.03456580234742604,3.8636363636363638,1.8636363636363635,3.340909090909091
ISD1,23,10,0.0,1,6,1.0,random,0.03306294137579882,3.9565217391304346,1.826086956521739,3.239130434782609
JNB-GREY-TSN285-WITS-RMH,24,9,0.0,0,7,1.0,random,0.03168531881847387,4.083333333333333,1.75,3.1458333333333335
JNB-TSN199-UNISA-SBL-PE,25,8,0.0,0,7,1.0,random,0.030417906065734916,4.2,1.68,3.06
JNB-NHLS-TSN677-SAND,26,7,0.0,0,6,1.0,random,0.029247986601668188,4.269230769230769,1.6153846153846154,2.980769230769231
JNB-GREY1-TSN690-NHLS-BRAAM,27,6,0.0,0,5,1.0,random,0.02816472783864344,4.296296296296297,1.5555555555555556,2.9074074074074074
JNB3,28,5,0.0,0,4,1.0,random,0.027158844701549032,4.285714285714286,1.5,2.8392857142857144
JNB-GREY1-TSN110-WITSE,29,4,0.0,0,3,1.0,random,0.02622233281528872,4.241379310344827,1.4482758620689655,2.7758620689655173
JNB5-TSN249,30,3,0.0,0,3,1.0,random,0.025348255054779098,4.2,1.4,2.716666666666667
JNB-GREY2-TSN42-UJBU-2,31,2,0.0,0,2,1.0,random,0.024530569407850738,4.129032258064516,1.3548387096774193,2.661290322580645
JNB2,1,32,0.3787232139401649,4,1,6.5,core influence,0.3787232139401649,1.0,4.0,6.5
ISD1,2,31,0.0,2,4,4.5,core influence,0.18936160697008245,2.5,3.0,5.5
JNB1,3,30,-4.0257944522009626e-16,2,7,3.3333333333333335,core influence,0.12624107131338816,4.0,2.6666666666666665,4.777777777777778
JNB-GREY1-TSN110-WITSE,4,29,-2.038292086213223e-16,2,10,1.6666666666666667,core influence,0.09468080348504107,5.5,2.5,4.0
JNB3,5,28,0.0,1,13,3.0,core influence,0.07574464278803286,7.0,2.2,3.8
JNB-GREY2-TSN42-UJBU,6,27,-3.6698231038716187e-17,2,14,1.0,core influence,0.06312053565669404,8.166666666666666,2.1666666666666665,3.3333333333333335
UNISA,7,26,-5.1827525106864316e-17,1,16,1.0,core influence,0.05410331627716631,9.285714285714286,2.0,3.0
THY-TSN87-UNIVEN-MC-PE,8,25,-5.1827525106864316e-17,1,16,1.75,core influence,0.04734040174252052,10.125,1.875,2.84375
JNB5-TSN249,9,24,-5.1827525106864316e-17,1,15,1.6666666666666667,core influence,0.04208035710446268,10.666666666666666,1.7777777777777777,2.7129629629629632
JNB-TSN44-UJ-DF-PE,10,23,-5.1827525106864316e-17,2,15,1.3333333333333333,core influence,0.0378723213940164,11.1,1.8,2.575
JNB-GREY2-TSN42-UJBU-2,11,22,0.0,1,17,1.3333333333333333,core influence,0.03442938308546946,11.636363636363637,1.7272727272727273,2.462121212121212
JNB-TSN76-UNISA-FLORIDA-PE,12,21,0.0,1,17,1.0,core influence,0.031560267828347005,12.083333333333334,1.6666666666666667,2.3402777777777777
JNB-NHLS-TSN677-SAND,13,20,0.0,1,17,1.0,core influence,0.02913255491847416,12.461538461538462,1.6153846153846154,2.2371794871794872
MTZ,14,19,0.0,1,16,1.5,core influence,0.027051658138583148,12.714285714285714,1.5714285714285714,2.1845238095238093
BLOEM3,15,18,0.0,1,15,1.3333333333333333,core influence,0.025248214262677603,12.866666666666667,1.5333333333333334,2.1277777777777778
JNB-GREY2-TSN99-CSMI,16,17,0.0,1,14,1.3333333333333333,core influence,0.023670200871260254,12.9375,1.5,2.078125
DURBS,17,16,0.0,1,13,1.3333333333333333,core influence,0.022277836114127297,12.941176470588236,1.4705882352941178,2.0343137254901964
JNB-GREY1-TSN690-NHLS-BRAAM,18,15,0.0,1,12,1.5,core influence,0.021040178552231337,12.88888888888889,1.4444444444444444,2.0046296296296298
JNB-GREY1-TSN112-WITSM,19,14,0.0,1,11,1.5,core influence,0.019932800733692847,12.789473684210526,1.4210526315789473,1.9780701754385965
JNB-GREY2-TSN659-WITS-CLMDC,20,13,0.0,1,10,1.3333333333333333,core influence,0.0189361606970082,12.65,1.4,1.9458333333333333
SDT-TSN535-UCT-GSB,21,12,0.0,1,9,1.0,core influence,0.018034438759055433,12.476190476190476,1.380952380952381,1.9007936507936507
JNB-TSN251-GIBS,22,11,0.0,0,9,1.0,core influence,0.01721469154273473,12.318181818181818,1.3181818181818181,1.8598484848484846
JNB-TSN949-GIBS-NORTH,23,10,0.0,0,9,1.0,core influence,0.01646622669305061,12.173913043478262,1.2608695652173914,1.822463768115942
JNB-GREY-TSN284-WITS-HJH,24,9,0.0,0,8,1.0,core influence,0.015780133914173503,12.0,1.2083333333333333,1.7881944444444444
JNB-GREY2-TSN171-UJSO,25,8,0.0,0,8,1.0,core influence,0.015148928557606562,11.84,1.16,1.7566666666666666
JNB-GREY2-TSN295-CSIR-CTF,26,7,0.0,0,7,1.0,core influence,0.01456627745923708,11.653846153846153,1.1153846153846154,1.7275641025641024
JNB-GREY-TSN285-WITS-RMH,27,6,0.0,0,6,1.0,core influence,0.014026785701487557,11.444444444444445,1.0740740740740742,1.7006172839506173
