node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
JNB-GREY2-TSN659-WITS-CLMDC,1,32,0.7305755258867278,1,1,7.5,random,0.7305755258867278,1.0,1.0,7.5
UNISA,2,31,0.6781325819626457,2,1,7.25,random,0.7043540539246868,1.0,1.5,7.375
JNB5-TSN249,3,30,0.6485842555784109,2,1,7.666666666666667,random,0.6857641211425948,1.0,1.6666666666666667,7.472222222222222
JNB-GREY2-TSN99-CSMI,4,29,0.5695759405154661,2,1,7.0,random,0.6567170759858126,1.0,1.75,7.354166666666667
JNB-TSN251-GIBS,5,28,0.5429558811521928,3,1,6.666666666666667,random,0.6339648370190887,1.0,2.0,7.216666666666667
CPT1,6,27,0.44389239397635183,3,1,6.333333333333333,random,0.6022860965119659,1.0,2.1666666666666665,7.069444444444444
SDT-TSN535-UCT-GSB,7,26,0.45852612623685235,3,1,5.666666666666667,random,0.5817489579012353,1.0,2.2857142857142856,6.8690476190476195
BLOEM2,8,25,0.3797237462175718,3,1,5.666666666666667,random,0.5564958064407775,1.0,2.375,6.71875
ISD1,9,24,0.3416861408537105,3,1,5.333333333333333,random,0.5326280658199922,1.0,2.4444444444444446,6.564814814814815
JNB-TSN76-UNISA-FLORIDA-PE,10,23,1.936471665907071e-16,2,3,3.3333333333333335,random,0.479365259237993,1.2,2.4,6.241666666666666
JNB-TSN199-UNISA-SBL-PE,11,22,1.0401574449949161e-16,3,3,2.6666666666666665,random,0.4357865993072663,1.3636363636363635,2.4545454545454546,5.916666666666666
BLOEM3,12,21,7.138412339097556e-17,2,3,2.6666666666666665,random,0.3994710493649942,1.5,2.4166666666666665,5.645833333333333
JNB-GREY1-TSN110-WITSE,13,20,4.3082360649456917e-16,2,2,3.0,random,0.36874250710614853,1.5384615384615385,2.3846153846153846,5.4423076923076925
JNB3,14,19,6.727400281034178e-16,2,2,3.0,random,0.34240375659856653,1.5714285714285714,2.357142857142857,5.267857142857143
JNB-NHLS-TSN677-SAND,15,18,1.808874356758982e-16,3,3,3.5,random,0.31957683949199545,1.6666666666666667,2.4,5.15
JNB-GREY-TSN285-WITS-RMH,16,17,-1.8606387269067464e-16,4,3,3.5,random,0.2996032870237457,1.75,2.5,5.046875
MTZ,17,16,1.0005180004476999e-17,3,3,1.0,random,0.28197956425764303,1.8235294117647058,2.5294117647058822,4.8088235294117645
JNB-GREY-TSN284-WITS-HJH,18,15,8.030491160391369e-17,2,3,1.0,random,0.2663140329099962,1.8888888888888888,2.5,4.597222222222222
DURBS,19,14,6.688039211302227e-17,2,3,4.0,random,0.2522975048621017,1.9473684210526316,2.473684210526316,4.565789473684211
