graph,strategy,step,num_edges_added_this_step,edges_added,aG_before,aG_after,Delta_aG,aG_baseline0,AUC_aG__betweeness,AUC_e0_mult__betweeness,AUC_e1_mult__betweeness,AUC_CIS__betweeness,Delta_aG_vs_random__betweeness,Delta_e0_mult_vs_random__betweeness,Delta_e1_mult_vs_random__betweeness,Delta_CIS_vs_random__betweeness,AUC_aG__closeness,AUC_e0_mult__closeness,AUC_e1_mult__closeness,AUC_CIS__closeness,Delta_aG_vs_random__closeness,Delta_e0_mult_vs_random__closeness,Delta_e1_mult_vs_random__closeness,Delta_CIS_vs_random__closeness,AUC_aG__core_influence,AUC_e0_mult__core_influence,AUC_e1_mult__core_influence,AUC_CIS__core_influence,Delta_aG_vs_random__core_influence,Delta_e0_mult_vs_random__core_influence,Delta_e1_mult_vs_random__core_influence,Delta_CIS_vs_random__core_influence,AUC_aG__degree,AUC_e0_mult__degree,AUC_e1_mult__degree,AUC_CIS__degree,Delta_aG_vs_random__degree,Delta_e0_mult_vs_random__degree,Delta_e1_mult_vs_random__degree,Delta_CIS_vs_random__degree,AUC_aG__random,AUC_e0_mult__random,AUC_e1_mult__random,AUC_CIS__random,Delta_aG_vs_random__random,Delta_e0_mult_vs_random__random,Delta_e1_mult_vs_random__random,Delta_CIS_vs_random__random
jnb,highest_degree_pair,1,1,JNB2--JNB-GREY2-TSN42-UJBU,0.2236,0.25655,0.03295,0.2236,0.00828,11.19355,0.67742,1.41129,-0.0,7.70968,-4.54839,-0.82796,0.07279,8.64516,1.06452,1.79301,0.06452,5.16129,-4.16129,-0.44624,0.00828,10.87097,1.51613,1.63172,-0.0,7.3871,-3.70968,-0.60753,0.00828,11.35484,1.09677,1.58333,-0.0,7.87097,-4.12903,-0.65591,0.00828,3.48387,5.22581,2.23925,0.0,0.0,0.0,0.0
jnb,highest_degree_pair,2,1,JNB2--JNB-TSN44-UJ-DF-PE,0.25655,0.28965,0.0331,0.2236,0.00934,11.6129,0.58065,1.39247,-0.04842,6.09677,-2.03226,-1.22581,0.00934,9.48387,1.64516,1.65591,-0.04842,3.96774,-0.96774,-0.96237,0.00934,11.16129,1.80645,1.69355,-0.04842,5.64516,-0.80645,-0.92473,0.00934,11.35484,1.09677,1.5914,-0.04842,5.83871,-1.51613,-1.02688,0.05776,5.51613,2.6129,2.61828,0.0,0.0,0.0,0.0
jnb,highest_degree_pair,3,1,JNB2--JNB-GREY2-TSN42-UJBU-2,0.28965,0.29909,0.00944,0.2236,0.00965,11.67742,0.54839,1.40054,-0.0376,9.06452,-3.32258,-2.45161,0.00965,9.41935,1.58065,1.70699,-0.0376,6.80645,-2.29032,-2.14516,0.00965,11.16129,1.70968,1.70699,-0.0376,8.54839,-2.16129,-2.14516,0.00965,11.35484,1.06452,1.59946,-0.0376,8.74194,-2.80645,-2.25269,0.04725,2.6129,3.87097,3.85215,0.0,0.0,0.0,0.0
jnb,highest_degree_pair,4,1,JNB2--JNB-NHLS-TSN677-SAND,0.29909,0.31705,0.01796,0.2236,0.01023,11.67742,0.54839,1.31183,-0.02792,6.16129,-2.93548,-1.53495,0.01023,9.22581,1.45161,1.54839,-0.02792,3.70968,-2.03226,-1.29839,0.01023,9.41935,2.64516,1.30914,-0.02792,3.90323,-0.83871,-1.53763,0.01023,11.29032,1.03226,1.52151,-0.02792,5.77419,-2.45161,-1.32527,0.03815,5.51613,3.48387,2.84677,0.0,0.0,0.0,0.0
jnb,highest_degree_pair,5,1,JNB2--JNB-GREY-TSN284-WITS-HJH,0.31705,0.32277,0.00572,0.2236,0.01041,12.06452,0.58065,1.33871,-0.01829,6.29032,-3.67742,-0.7414,0.01041,9.64516,1.51613,1.75269,-0.01829,3.87097,-2.74194,-0.32742,0.01953,8.48387,3.54839,1.33065,-0.00917,2.70968,-0.70968,-0.74946,0.01041,11.32258,1.0,1.52151,-0.01829,5.54839,-3.25806,-0.5586,0.0287,5.77419,4.25806,2.08011,0.0,0.0,0.0,0.0
jnb,highest_degree_pair,6,1,JNB2--JNB-GREY-TSN285-WITS-RMH,0.32277,0.32444,0.00167,0.2236,0.01047,11.67742,0.74194,1.30108,-0.07303,9.19355,-2.77419,-1.43011,0.01047,9.64516,1.3871,1.6828,-0.07303,7.16129,-2.12903,-1.04839,0.01047,9.77419,2.80645,1.69355,-0.07303,7.29032,-0.70968,-1.03763,0.01047,11.25806,1.0,1.52688,-0.07303,8.77419,-2.51613,-1.2043,0.08349,2.48387,3.51613,2.73118,0.0,0.0,0.0,0.0
jnb,highest_degree_pair,7,1,JNB2--JNB-GREY1-TSN110-WITSE,0.32444,0.35666,0.03222,0.2236,0.01151,11.64516,0.74194,1.2914,-0.03649,7.90323,-2.41935,-1.12473,0.01151,10.58065,0.87097,1.45,-0.03649,6.83871,-2.29032,-0.96613,0.01151,10.06452,2.3871,1.71075,-0.03649,6.32258,-0.77419,-0.70538,0.01151,11.3871,0.87097,1.51989,-0.03649,7.64516,-2.29032,-0.89624,0.04799,3.74194,3.16129,2.41613,0.0,0.0,0.0,0.0
jnb,highest_degree_pair,8,1,JNB2--JNB-GREY1-TSN112-WITSM,0.35666,0.36121,0.00456,0.2236,0.01165,11.51613,0.67742,1.29301,-0.13502,9.58065,-4.19355,-0.9543,0.07617,10.19355,0.93548,1.49194,-0.0705,8.25806,-3.93548,-0.75538,0.01165,9.29032,2.80645,1.79839,-0.13502,7.35484,-2.06452,-0.44892,0.01165,11.32258,0.83871,1.49731,-0.13502,9.3871,-4.03226,-0.75,0.14667,1.93548,4.87097,2.24731,0.0,0.0,0.0,0.0
jnb,highest_degree_pair,9,1,JNB2--JNB-GREY2-TSN295-CSIR-CTF,0.36121,0.364,0.00278,0.2236,0.01174,11.32258,0.6129,1.35484,-0.02633,3.67742,-0.58065,-0.35215,0.07626,10.06452,0.96774,1.57527,0.03819,2.41935,-0.22581,-0.13172,0.01174,9.29032,2.48387,1.86559,-0.02633,1.64516,1.29032,0.1586,0.01174,11.25806,0.80645,1.55376,-0.02633,3.6129,-0.3871,-0.15323,0.03807,7.64516,1.19355,1.70699,0.0,0.0,0.0,0.0
jnb,highest_degree_pair,10,1,JNB2--JNB-GREY2-TSN99-CSMI,0.364,0.36534,0.00134,0.2236,0.01179,11.29032,0.6129,1.37903,-0.08255,7.74194,-4.51613,-0.60484,0.0763,10.12903,1.12903,1.63172,-0.01804,6.58065,-4.0,-0.35215,0.01179,10.41935,1.87097,1.80914,-0.08255,6.87097,-3.25806,-0.17473,0.01179,11.22581,0.77419,1.59409,-0.08255,7.67742,-4.35484,-0.38978,0.09434,3.54839,5.12903,1.98387,0.0,0.0,0.0,0.0
