node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
JNB-NHLS-TSN677-SAND,1,32,0.2990887860823401,7,1,6.5,random,0.2990887860823401,1.0,7.0,6.5
VDP,2,31,0.2854886807820777,7,1,6.25,random,0.29228873343220885,1.0,7.0,6.375
JNB-GREY2-TSN171-UJSO,3,30,0.28610678789628574,6,1,7.0,random,0.2902280849202345,1.0,6.666666666666667,6.583333333333333
JNB-TSN199-UNISA-SBL-PE,4,29,0.2863646044829283,6,1,6.666666666666667,random,0.28926221481090797,1.0,6.5,6.604166666666667
JNB3,5,28,0.3076564461777212,5,1,6.666666666666667,random,0.2929410610842706,1.0,6.2,6.616666666666667
JNB-GREY1-TSN690-NHLS-BRAAM,6,27,1.402213894697407e-16,5,2,3.6666666666666665,random,0.24411755090355883,1.1666666666666667,6.0,6.125
DURBS,7,26,-1.9160880931411256e-20,5,2,3.3333333333333335,random,0.2092436150601933,1.2857142857142858,5.857142857142857,5.726190476190476
JNB-GREY2-TSN659-WITS-CLMDC,8,25,-5.806494544370981e-16,4,2,3.5,random,0.18308816317766907,1.375,5.625,5.447916666666667
JNB-GREY1-TSN110-WITSE,9,24,-6.018212060781436e-16,4,2,3.0,random,0.16274503393570577,1.4444444444444444,5.444444444444445,5.1759259259259265
MTZ,10,23,-1.65209610169313e-18,5,2,3.0,random,0.14647053054213519,1.5,5.4,4.958333333333334
JNB-TSN949-GIBS-NORTH,11,22,4.457199556430619e-16,5,2,2.6666666666666665,random,0.1331550277655775,1.5454545454545454,5.363636363636363,4.75
JNB-GREY-TSN285-WITS-RMH,12,21,-1.3741889712224987e-17,5,2,3.6666666666666665,random,0.12205877545177936,1.5833333333333333,5.333333333333333,4.659722222222222
SDT-TSN535-UCT-GSB,13,20,-2.2043720442635842e-16,5,2,4.5,random,0.11266963887856554,1.6153846153846154,5.3076923076923075,4.647435897435897
THY-TSN87-UNIVEN-MC-PE,14,19,1.2771456717186311e-15,5,2,4.5,random,0.10462180753009667,1.6428571428571428,5.285714285714286,4.636904761904762
CAPE,15,18,1.6521571889980072e-16,4,2,4.5,random,0.09764702036142356,1.6666666666666667,5.2,4.627777777777778
JNB1,16,17,2.3818105260127386e-17,3,2,4.5,random,0.0915440815888346,1.6875,5.0625,4.619791666666667
JNB-GREY2-TSN42-UJBU,17,16,0.0,5,3,2.5,random,0.0861591356130208,1.7647058823529411,5.0588235294117645,4.495098039215686
JNB-TSN44-UJ-DF-PE,18,15,0.0,4,5,1.5,random,0.08137251696785298,1.9444444444444444,5.0,4.328703703703704
JNB-GREY-TSN284-WITS-HJH,19,14,0.0,5,6,4.5,random,0.07708975291691335,2.1578947368421053,5.0,4.337719298245614
JNB-GREY2-TSN99-CSMI,20,13,-7.448740401378809e-18,5,5,4.5,random,0.07323526527106769,2.3,5.0,4.345833333333333
JNB-GREY2-TSN42-UJBU-2,21,12,0.0,5,4,4.5,random,0.06974787168673113,2.380952380952381,5.0,4.353174603174604
JNB-GREY2-TSN295-CSIR-CTF,22,11,-3.6387213703209326e-17,4,4,4.0,random,0.06657751388278879,2.4545454545454546,4.954545454545454,4.337121212121212
UNISA,23,10,-1.4352635356709388e-30,4,3,5.0,random,0.0636828393661458,2.4782608695652173,4.913043478260869,4.365942028985508
BLOEM2,24,9,0.0,3,3,5.0,random,0.06102938772588973,2.5,4.833333333333333,4.392361111111112
JNB5-TSN249,25,8,0.0,2,3,4.0,random,0.05858821221685414,2.52,4.72,4.376666666666667
CPT1,26,7,0.0,1,3,3.0,random,0.05633481943928283,2.5384615384615383,4.576923076923077,4.323717948717949
JNB-TSN76-UNISA-FLORIDA-PE,27,6,0.0,0,3,2.0,random,0.054248344645235314,2.5555555555555554,4.407407407407407,4.237654320987654
ISD1,28,5,0.0,1,3,2.0,random,0.052310903765048336,2.5714285714285716,4.285714285714286,4.157738095238096
BLOEM3,29,4,0.0,0,4,1.0,random,0.05050707949728805,2.6206896551724137,4.137931034482759,4.0488505747126435
JNB2,30,3,0.0,0,3,1.0,random,0.04882351018071178,2.6333333333333333,4.0,3.9472222222222224
JNB-GREY1-TSN112-WITSM,31,2,0.0,0,2,1.0,random,0.0472485582393985,2.6129032258064515,3.870967741935484,3.852150537634409
JNB2,1,32,0.2990887860823401,7,1,6.5,core influence,0.2990887860823401,1.0,7.0,6.5
JNB1,2,31,0.0,6,4,3.25,core influence,0.14954439304117004,2.5,6.5,4.875
JNB3,3,30,0.0,7,7,4.666666666666667,core influence,0.09969626202744669,4.0,6.666666666666667,4.805555555555556
JNB-GREY2-TSN42-UJBU,4,29,-1.9021669210701278e-16,7,8,3.3333333333333335,core influence,0.07477219652058498,5.0,6.75,4.4375
JNB-TSN44-UJ-DF-PE,5,28,-2.220446049250313e-16,7,9,3.3333333333333335,core influence,0.05981775721646794,5.8,6.8,4.216666666666667
ISD1,6,27,-4.4203324128594195e-16,8,11,4.0,core influence,0.04984813101372321,6.666666666666667,7.0,4.180555555555556
JNB-GREY2-TSN42-UJBU-2,7,26,0.0,1,18,1.3333333333333333,core influence,0.042726969440334175,8.285714285714286,6.142857142857143,3.773809523809524
JNB5-TSN249,8,25,0.0,1,18,1.3333333333333333,core influence,0.037386098260292405,9.5,5.5,3.46875
JNB-TSN76-UNISA-FLORIDA-PE,9,24,0.0,2,18,1.3333333333333333,core influence,0.03323208734248214,10.444444444444445,5.111111111111111,3.2314814814814814
JNB-GREY1-TSN690-NHLS-BRAAM,10,23,0.0,2,18,1.3333333333333333,core influence,0.029908878608233925,11.2,4.8,3.041666666666667
SDT-TSN535-UCT-GSB,11,22,0.0,2,17,1.3333333333333333,core influence,0.02718988964384902,11.727272727272727,4.545454545454546,2.8863636363636362
JNB-TSN949-GIBS-NORTH,12,21,0.0,1,17,1.3333333333333333,core influence,0.024924065506861603,12.166666666666666,4.25,2.7569444444444446
JNB-GREY-TSN285-WITS-RMH,13,20,0.0,1,17,1.3333333333333333,core influence,0.02300682969864148,12.538461538461538,4.0,2.6474358974358974
JNB-GREY1-TSN112-WITSM,14,19,0.0,1,17,1.5,core influence,0.021363484720167088,12.857142857142858,3.7857142857142856,2.5654761904761902
MTZ,15,18,0.0,0,17,1.0,core influence,0.019939252405489282,13.133333333333333,3.533333333333333,2.461111111111111
JNB-GREY-TSN284-WITS-HJH,16,17,0.0,0,16,1.0,core influence,0.018693049130146203,13.3125,3.3125,2.3697916666666665
JNB-NHLS-TSN677-SAND,17,16,0.0,0,15,1.0,core influence,0.017593458004843486,13.411764705882353,3.1176470588235294,2.2892156862745097
JNB-GREY1-TSN110-WITSE,18,15,0.0,0,14,1.0,core influence,0.01661604367124107,13.444444444444445,2.9444444444444446,2.2175925925925926
JNB-GREY2-TSN99-CSMI,19,14,0.0,0,14,1.0,core influence,0.015741515056965222,13.473684210526315,2.789473684210526,2.1535087719298245
JNB-TSN251-GIBS,20,13,0.0,0,13,1.0,core influence,0.014954439304116962,13.45,2.65,2.095833333333333
JNB-GREY2-TSN659-WITS-CLMDC,21,12,0.0,0,12,1.0,core influence,0.01424232314677806,13.380952380952381,2.5238095238095237,2.0436507936507935
