node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
JNB-GREY2-TSN99-CSMI,1,32,0.2451093230791432,4,1,7.5,random,0.2451093230791432,1.0,4.0,7.5
JNB-GREY2-TSN295-CSIR-CTF,2,31,0.2371311105027629,4,1,7.25,random,0.24112021679095305,1.0,4.0,7.375
DURBS,3,30,0.2010860909507887,3,1,8.333333333333334,random,0.22777550817756495,1.0,3.6666666666666665,7.6944444444444455
ISD1,4,29,0.20300684677414793,2,1,8.333333333333334,random,0.2215833428267107,1.0,3.25,7.854166666666667
JNB-GREY2-TSN659-WITS-CLMDC,5,28,-2.81166610608616e-17,5,4,4.666666666666667,random,0.17726667426136852,1.6,3.6,7.216666666666667
JNB-GREY1-TSN112-WITSM,6,27,2.1801779612758453e-16,5,4,4.333333333333333,random,0.14772222855114048,2.0,3.8333333333333335,6.736111111111112
VDP,7,26,-5.110504276689155e-16,5,5,4.333333333333333,random,0.12661905304383464,2.4285714285714284,4.0,6.392857142857143
JNB5-TSN249,8,25,-3.2444496216385197e-16,4,5,4.333333333333333,random,0.11079167141335526,2.75,4.0,6.135416666666667
JNB1,9,24,3.531790741932538e-17,4,5,3.3333333333333335,random,0.09848148570076024,3.0,4.0,5.8240740740740735
JNB-GREY-TSN285-WITS-RMH,10,23,-3.411184472307092e-16,6,7,2.6666666666666665,random,0.08863333713068418,3.4,4.2,5.508333333333334
CPT1,11,22,-1.9957288435566926e-16,6,7,2.0,random,0.08057576102789468,3.727272727272727,4.363636363636363,5.1893939393939394
JNB-GREY1-TSN690-NHLS-BRAAM,12,21,-2.79124158544454e-16,5,7,1.75,random,0.07386111427557011,4.0,4.416666666666667,4.902777777777778
JNB-GREY1-TSN110-WITSE,13,20,-7.847466225395003e-17,5,7,1.6666666666666667,random,0.06817949010052625,4.230769230769231,4.461538461538462,4.653846153846154
JNB-GREY2-TSN42-UJBU-2,14,19,-2.628987754763138e-16,5,6,2.0,random,0.06330952652191721,4.357142857142857,4.5,4.464285714285714
JNB-TSN44-UJ-DF-PE,15,18,-1.3321997667464273e-33,6,7,2.5,random,0.05908889142045606,4.533333333333333,4.6,4.333333333333333
JNB-TSN76-UNISA-FLORIDA-PE,16,17,-1.956828451190301e-16,6,6,2.0,random,0.05539583570667755,4.625,4.6875,4.1875
JNB3,17,16,-6.336949380711673e-17,6,6,4.0,random,0.05213725713569651,4.705882352941177,4.764705882352941,4.176470588235294
BLOEM2,18,15,-6.883382752675973e-17,5,8,3.5,random,0.049240742850380034,4.888888888888889,4.777777777777778,4.138888888888889
THY-TSN87-UNIVEN-MC-PE,19,14,0.0,4,8,1.5,random,0.04664912480562319,5.052631578947368,4.7368421052631575,4.0
BLOEM3,20,13,0.0,4,7,3.0,random,0.044316668565342034,5.15,4.7,3.95
JNB-TSN251-GIBS,21,12,0.0,3,7,1.5,random,0.04220635101461146,5.238095238095238,4.619047619047619,3.8333333333333335
JNB-TSN199-UNISA-SBL-PE,22,11,0.0,2,7,1.0,random,0.0402878805139473,5.318181818181818,4.5,3.7045454545454546
JNB-NHLS-TSN677-SAND,23,10,0.0,2,6,3.0,random,0.038536233535080025,5.3478260869565215,4.391304347826087,3.6739130434782608
JNB-GREY2-TSN171-UJSO,24,9,0.0,2,5,1.0,random,0.03693055713778503,5.333333333333333,4.291666666666667,3.5625
SDT-TSN535-UCT-GSB,25,8,0.0,1,5,2.0,random,0.03545333485227362,5.32,4.16,3.5
MTZ,26,7,0.0,1,5,2.0,random,0.034089745050263104,5.3076923076923075,4.038461538461538,3.4423076923076925
JNB-GREY2-TSN42-UJBU,27,6,0.0,0,5,1.0,random,0.03282716190025336,5.296296296296297,3.888888888888889,3.3518518518518516
CAPE,28,5,0.0,0,4,1.0,random,0.0316547632609586,5.25,3.75,3.267857142857143
JNB2,29,4,0.0,0,4,1.0,random,0.030563219700235886,5.206896551724138,3.6206896551724137,3.189655172413793
JNB-GREY-TSN284-WITS-HJH,30,3,0.0,0,3,1.0,random,0.02954444571022802,5.133333333333334,3.5,3.1166666666666667
JNB-TSN949-GIBS-NORTH,31,2,0.0,0,2,1.0,random,0.028591399074414214,5.032258064516129,3.3870967741935485,3.0483870967741935
JNB2,1,32,0.2451093230791432,4,1,7.5,core influence,0.2451093230791432,1.0,4.0,7.5
ISD1,2,31,0.0,8,2,3.0,core influence,0.1225546615395716,1.5,6.0,5.25
JNB1,3,30,-2.1616012044948358e-16,0,11,3.0,core influence,0.08170310769304766,4.666666666666667,4.0,4.5
JNB3,4,29,-3.141692646100895e-16,0,14,1.5,core influence,0.06127733076978567,7.0,3.0,3.75
JNB-GREY2-TSN42-UJBU,5,28,0.0,0,15,1.5,core influence,0.04902186461582854,8.6,2.4,3.3
JNB5-TSN249,6,27,0.0,0,16,1.6666666666666667,core influence,0.04085155384652378,9.833333333333334,2.0,3.027777777777778
JNB-TSN44-UJ-DF-PE,7,26,0.0,1,16,1.3333333333333333,core influence,0.03501561758273467,10.714285714285714,1.8571428571428572,2.7857142857142856
JNB-GREY2-TSN42-UJBU-2,8,25,0.0,2,18,1.3333333333333333,core influence,0.030638665384892835,11.625,1.875,2.6041666666666665
JNB-TSN76-UNISA-FLORIDA-PE,9,24,0.0,2,18,1.3333333333333333,core influence,0.027234369231015854,12.333333333333334,1.8888888888888888,2.4629629629629632
BLOEM3,10,23,0.0,2,18,1.3333333333333333,core influence,0.02451093230791427,12.9,1.9,2.35
MTZ,11,22,0.0,2,17,1.3333333333333333,core influence,0.022282665734467518,13.272727272727273,1.9090909090909092,2.2575757575757573
JNB-NHLS-TSN677-SAND,12,21,0.0,2,16,1.6666666666666667,core influence,0.02042577692326189,13.5,1.9166666666666667,2.2083333333333335
JNB-GREY1-TSN112-WITSM,13,20,0.0,2,15,1.0,core influence,0.018854563313780208,13.615384615384615,1.9230769230769231,2.1153846153846154
SDT-TSN535-UCT-GSB,14,19,0.0,1,15,1.3333333333333333,core influence,0.017507808791367336,13.714285714285714,1.8571428571428572,2.0595238095238093
JNB-GREY2-TSN99-CSMI,15,18,0.0,0,15,1.0,core influence,0.01634062153860951,13.8,1.7333333333333334,1.9888888888888887
JNB-GREY1-TSN690-NHLS-BRAAM,16,17,0.0,0,14,1.0,core influence,0.015319332692446418,13.8125,1.625,1.9270833333333333
JNB-GREY1-TSN110-WITSE,17,16,0.0,0,13,1.0,core influence,0.014418195475243686,13.764705882352942,1.5294117647058822,1.8725490196078431
BLOEM2,18,15,0.0,0,13,1.0,core influence,0.013617184615507927,13.722222222222221,1.4444444444444444,1.8240740740740742
JNB-GREY2-TSN171-UJSO,19,14,0.0,0,12,1.0,core influence,0.012900490688375931,13.631578947368421,1.368421052631579,1.7807017543859651
CAPE,20,13,0.0,0,11,1.0,core influence,0.012255466153957135,13.5,1.3,1.7416666666666667
JNB-TSN949-GIBS-NORTH,21,12,0.0,0,10,1.0,core influence,0.011671872527578222,13.333333333333334,1.2380952380952381,1.7063492063492065
JNB-GREY-TSN284-WITS-HJH,22,11,0.0,0,10,1.0,core influence,0.011141332867233759,13.181818181818182,1.1818181818181819,1.6742424242424243
JNB-GREY2-TSN659-WITS-CLMDC,23,10,0.0,0,10,1.0,core influence,0.010656927090397507,13.043478260869565,1.1304347826086956,1.6449275362318843
CPT1,24,9,0.0,0,9,1.0,core influence,0.010212888461630945,12.875,1.0833333333333333,1.6180555555555556
JNB-TSN251-GIBS,25,8,0.0,0,8,1.0,core influence,0.009804372923165708,12.68,1.04,1.5933333333333335
JNB-GREY-TSN285-WITS-RMH,26,7,0.0,0,7,1.0,core influence,0.009427281656890104,12.461538461538462,1.0,1.5705128205128207
JNB-GREY2-TSN295-CSIR-CTF,27,6,0.0,0,6,1.0,core influence,0.009078123077005285,12.222222222222221,0.9629629629629629,1.5493827160493827
VDP,28,5,0.0,0,5,1.0,core influence,0.008753904395683668,11.964285714285714,0.9285714285714286,1.5297619047619049
UNISA,29,4,0.0,0,4,1.0,core influence,0.008452045623418713,11.689655172413794,0.896551724137931,1.5114942528735633
DURBS,30,3,0.0,0,3,1.0,core influence,0.008170310769304755,11.4,0.8666666666666667,1.4944444444444445
THY-TSN87-UNIVEN-MC-PE,31,2,0.0,0,2,1.0,core influence,0.007906752357391699,11.096774193548388,0.8387096774193549,1.478494623655914
JNB2,1,32,0.2451093230791432,4,1,7.5,degree,0.2451093230791432,1.0,4.0,7.5
ISD1,2,31,0.0,8,2,3.0,degree,0.1225546615395716,1.5,6.0,5.25
JNB1,3,30,-2.1616012044948358e-16,0,11,3.0,degree,0.08170310769304766,4.666666666666667,4.0,4.5
JNB3,4,29,-3.141692646100895e-16,0,14,1.5,degree,0.06127733076978567,7.0,3.0,3.75
JNB-GREY2-TSN42-UJBU,5,28,0.0,0,15,1.5,degree,0.04902186461582854,8.6,2.4,3.3
JNB-TSN44-UJ-DF-PE,6,27,0.0,0,16,1.6666666666666667,degree,0.04085155384652378,9.833333333333334,2.0,3.027777777777778
JNB-TSN76-UNISA-FLORIDA-PE,7,26,0.0,1,18,1.3333333333333333,degree,0.03501561758273467,11.0,1.8571428571428572,2.7857142857142856
JNB-GREY2-TSN42-UJBU-2,8,25,0.0,1,18,1.3333333333333333,degree,0.030638665384892835,11.875,1.75,2.6041666666666665
JNB5-TSN249,9,24,0.0,1,18,1.3333333333333333,degree,0.027234369231015854,12.555555555555555,1.6666666666666667,2.4629629629629632
BLOEM2,10,23,0.0,2,18,1.3333333333333333,degree,0.02451093230791427,13.1,1.7,2.35
BLOEM3,11,22,0.0,2,17,1.3333333333333333,degree,0.022282665734467518,13.454545454545455,1.7272727272727273,2.2575757575757573
CPT1,12,21,0.0,2,16,1.6666666666666667,degree,0.02042577692326189,13.666666666666666,1.75,2.2083333333333335
CAPE,13,20,0.0,2,15,1.0,degree,0.018854563313780208,13.76923076923077,1.7692307692307692,2.1153846153846154
JNB-NHLS-TSN677-SAND,14,19,0.0,2,14,1.5,degree,0.017507808791367336,13.785714285714286,1.7857142857142858,2.0714285714285716
MTZ,15,18,0.0,2,13,1.3333333333333333,degree,0.01634062153860951,13.733333333333333,1.8,2.022222222222222
JNB-GREY-TSN284-WITS-HJH,16,17,0.0,2,12,1.5,degree,0.015319332692446418,13.625,1.8125,1.9895833333333333
JNB-GREY-TSN285-WITS-RMH,17,16,0.0,2,12,2.0,degree,0.014418195475243686,13.529411764705882,1.8235294117647058,1.9901960784313726
JNB-GREY1-TSN110-WITSE,18,15,0.0,2,11,2.0,degree,0.013617184615507927,13.38888888888889,1.8333333333333333,1.990740740740741
JNB-GREY1-TSN112-WITSM,19,14,0.0,1,12,1.3333333333333333,degree,0.012900490688375931,13.31578947368421,1.7894736842105263,1.9561403508771928
JNB-GREY2-TSN295-CSIR-CTF,20,13,0.0,1,11,1.5,degree,0.012255466153957135,13.2,1.75,1.9333333333333331
JNB-GREY1-TSN690-NHLS-BRAAM,21,12,0.0,1,10,1.5,degree,0.011671872527578222,13.047619047619047,1.7142857142857142,1.9126984126984126
JNB-GREY2-TSN171-UJSO,22,11,0.0,1,9,1.5,degree,0.011141332867233759,12.863636363636363,1.6818181818181819,1.8939393939393938
